Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C4H6(54),C4H5X(365),C4H5X(364),C6H8(56),C2H2(37),C6H7X(480),C8H10(439),C6H7X(479),C6H7X(478),C4H4(421),C8H9X(637),S(632)
6.94328158591202e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281760371785,0.66999999588300185,8.1024018955626089e-41,0.0,6.9931134114406178e-24,2.847089871748971e-53,0.0,0.0,0.0,0.0,0.0,4.1169982135684909e-09,4.1169982135623954e-09,3.7183847607061621e-26,4.9372895894110453e-35,2.4686447944975361e-35,1.0265131768049362e-50,3.0508569217661831e-21,7.6930331002759176e-60,1.5004828583098608e-68,3.84651655014366e-60,3.8465165502129135e-60,3.3516982584566863e-46,1.3092224616761846e-77,2.8922660356300061e-94
8.363498274473895e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281591949142,0.66999999504088859,1.6008646647527338e-40,0.0,9.9588269363595386e-24,4.0545825956173907e-53,0.0,0.0,0.0,0.0,0.0,4.9591114529438604e-09,4.9591114529351816e-09,6.2930144161509876e-26,9.5419049443370068e-35,4.7709524717608918e-35,2.6572391561990368e-50,4.3447703895854765e-21,2.1933353854456674e-59,3.0932245768789695e-68,1.0966676927247395e-59,1.0966676927434067e-59,7.2900858535073638e-46,2.8247120424368871e-77,7.7362892721853488e-94
1.1203931651597645e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281255103852,0.66999999335666216,5.1083119367140448e-40,0.0,1.7545242067092724e-23,7.1435435715227123e-53,0.0,0.0,0.0,0.0,0.0,6.6433378973036225e-09,6.6433378972883321e-09,1.4965570090954734e-25,3.0025508989255465e-34,1.5012754493363395e-34,1.6442800477746724e-49,7.6548098491892177e-21,1.9153078680090177e-58,3.900840342736217e-68,9.5765393400887964e-59,9.5765393401951635e-59,3.0543120739753691e-45,6.9259533162920603e-77,4.3253277959169052e-93
1.4044365028721395e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332280918258572,0.66999999167243574,1.2320247706175277e-39,0.0,2.7331268045636593e-23,1.1128337032705918e-52,0.0,0.0,0.0,0.0,0.0,8.3275642959516973e-09,8.3275642959278761e-09,2.9227188196019346e-25,7.2127163493955112e-34,3.6063581744006836e-34,5.950075061574834e-49,1.1924797410842923e-20,8.380691680678135e-58,3.1392252804495002e-67,4.1903458403657959e-58,4.1903458403951795e-58,8.9400098069265279e-45,3.5336173582466109e-76,2.3996198342800913e-92
1.9725231782968893e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332280244568041,0.669999988303983,4.9121156227973497e-39,0.0,5.3505261254368823e-23,2.1787207719552121e-52,0.0,0.0,0.0,0.0,0.0,1.1696016956021584e-08,1.1696016955974946e-08,8.1731958797200881e-25,2.9027067334028931e-33,1.4513533665915803e-33,5.2143406112042085e-48,2.3346532045879197e-20,1.1451132128040118e-56,4.0825945696130475e-67,5.7255660640964153e-57,5.7255660640564197e-57,5.2811479828771806e-44,1.165130819662914e-75,2.2877208457517001e-91
3.1086965291463894e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733227889718709,0.6699999815670783,3.2259009349053528e-38,0.0,1.3225376671631431e-22,5.3862474257271607e-52,0.0,0.0,0.0,0.0,0.0,1.8432921727236113e-08,1.8432921727120804e-08,3.2892126575335608e-24,1.9640479477540559e-32,9.8202397381875146e-33,1.0110027003738526e-46,5.7717464129134179e-20,4.1538593494953986e-55,1.1670159927111036e-64,2.0769296748104063e-55,2.0769296747260892e-55,6.2444577166239776e-43,4.0373257921466223e-73,2.1549145329725227e-88
5.381043230845389e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332276202425615,0.669999968093271,3.094782074670045e-37,0.0,3.9529055006081546e-22,1.6104472769595885e-51,0.0,0.0,0.0,0.0,0.0,3.1906729073879119e-08,3.1906729073534344e-08,1.7659136580152408e-23,1.9579902411364501e-31,9.78995120541803e-32,3.3871413923050641e-45,1.7257096966579682e-19,2.7383927662315139e-53,1.4276988455672224e-64,1.3691963832034873e-53,1.369196383055678e-53,1.1889201694059003e-41,1.4778364791797549e-72,2.9935695568701135e-87
9.925736634243388e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733227081290443,0.66999994114566508,3.7528441932793116e-36,0.0,1.3429958994953512e-21,5.4753638421746224e-51,0.0,0.0,0.0,0.0,0.0,5.8854334983988116e-08,5.8854334982815782e-08,1.1392180373406351e-22,2.4496657423411558e-30,1.224832871212771e-30,1.5469813293086128e-43,5.867252681530974e-19,2.4880981336508417e-51,2.9747015226456028e-64,1.2440490669889329e-51,1.244049066687463e-51,2.9261574067836849e-40,6.1744944488624349e-72,5.2736146311136376e-86
1.901512344103939e-14,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332260033869099,0.66999988725048831,5.1897958682101564e-35,0.0,4.9207151454509304e-21,2.0090262871471839e-50,0.0,0.0,0.0,0.0,0.0,1.1274951167144735e-07,1.12749511667145e-07,8.1509782545840887e-22,3.4586339935435386e-29,1.7293169970383265e-29,8.3324276583059182e-42,2.152824338903926e-18,2.6745483221248257e-49,1.8758230675653844e-62,1.3372741614179765e-49,1.3372741607346887e-49,8.2070214148360612e-39,5.2527446702888074e-70,3.4713641165993481e-83
3.7193897054631384e-14,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332238475826531,0.66999977946027556,7.6906840279062669e-34,0.0,1.8771775091384078e-20,7.6860041806445923e-50,0.0,0.0,0.0,0.0,0.0,2.2053972451554747e-07,2.2053972449908157e-07,6.1604421214756594e-21,5.1956534940272065e-28,2.5978267480311006e-28,4.8872175927233034e-40,8.2361818912848003e-18,3.134369682423111e-47,8.3845033673218166e-60,1.5671848420494928e-47,1.5671848404068287e-47,2.4582486818691345e-37,4.6290935444021354e-67,1.2102959716861616e-79
