Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C4H7X(141),C4H6(54),C2H2X(348),C2H6(343),C2H2(37),C4H5X(380),C4H5X(379),C4H7X(140),C6H9X(429),C6H8(498),C6H9X(428),C6H8(56)
4.1028482087882704e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282097217092,0.66999999756722839,8.5439208547638198e-40,0.0,2.6521424789030755e-24,1.0277112149203712e-50,1.0637188250892336e-57,0.0,0.0,1.6482419319660538e-74,0.0,2.4327717017744871e-09,2.432771701774334e-09,2.6515759970538991e-24,5.6649151380729571e-28,7.6585353213806426e-23,4.121207386305778e-44,1.2768031424366153e-27,5.4893163043009724e-37,2.7446581521504866e-37,4.5024355771387247e-34,8.3696996748523008e-52,1.0399012531727794e-56,8.3698036119036739e-52,6.0454526908783512e-59
5.523064897350146e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281928794439,0.66999999672511512,2.3897762747920577e-39,0.0,4.569351117501936e-24,1.770633847458647e-50,3.893300837938161e-57,0.0,0.0,7.8099304524910642e-74,0.0,3.2748849629389516e-09,3.2748849629386877e-09,4.5681417895384682e-24,1.2093493501698391e-27,1.3194817814008962e-22,1.1527745044273206e-43,2.199792023498251e-27,1.4194784696512404e-36,7.0973923482562061e-37,9.6118194345291903e-34,2.9252265860752669e-51,4.1300345888294346e-56,2.9252678653424623e-51,2.5883411547303343e-58
6.94328158591202e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281760371785,0.66999999588300185,5.3509057453171546e-39,0.0,6.9938485292659652e-24,2.7101319715479216e-50,1.0450879138346493e-56,0.0,0.0,2.4311520458891947e-73,0.0,4.1169982135656413e-09,4.1169982135652384e-09,6.991649576904564e-24,2.1989924570321496e-27,2.0195987244794698e-22,2.5812534182789992e-43,3.3670015336459003e-27,3.006026813307294e-36,1.5030134066536483e-36,1.7477420254606038e-33,7.6182642950057038e-51,1.212315046971769e-55,7.6183854646367015e-51,7.6492197471380464e-58
8.363498274473895e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281591949142,0.66999999504088859,1.057199763238196e-38,0.0,9.9600429497991569e-24,3.8595388339158207e-50,2.4200514783832864e-56,0.0,0.0,6.4511402109418861e-73,0.0,4.9591114529398039e-09,4.9591114529392282e-09,9.9564055866149148e-24,3.6374310773084346e-27,2.8761403526237249e-22,5.1000806729559541e-43,4.7949965993835876e-27,5.6868913711814608e-36,2.8434456855907331e-36,2.8910005558257544e-33,1.7217391154231925e-50,3.0536588240946508e-55,1.7217696364262557e-50,1.9427573529107888e-57
1.1203931651597645e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281255103852,0.66999999335666216,3.3732533015996442e-38,0.0,1.7548046938534877e-23,6.7999068155272116e-50,1.0539115144306612e-55,0.0,0.0,3.8536560483993241e-72,0.0,6.643337897296474e-09,6.6433378972954615e-09,1.7539657462649322e-23,8.3896374494482519e-27,5.0673120407932229e-22,1.6274788391909224e-42,8.4480384242580281e-27,1.7234670499418483e-35,8.6173352497092587e-36,6.6680114743750667e-33,7.420287888015887e-50,1.8142658986922605e-54,7.4204692220091705e-50,1.1473087483535592e-56
1.4044365028721395e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332280918258572,0.66999999167243574,8.1351374893046962e-38,0.0,2.7336656096348907e-23,1.0593013688028416e-49,3.130742936085372e-55,0.0,0.0,1.3864488084598605e-71,0.0,8.3275642959405618e-09,8.3275642959389835e-09,2.7320541154794688e-23,1.6115257187281042e-26,7.8939477512789078e-22,3.925278552943734e-42,1.3160502835871412e-26,4.0533154587751354e-35,2.026657729387573e-35,1.2808263193242001e-32,2.18191186147504e-49,6.4952792737076442e-54,2.1819767811169872e-49,4.0660987960277452e-56
1.9725231782968893e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332280244568041,0.669999988303983,3.2430195441597948e-37,0.0,5.3520080318098939e-23,2.0739144484818729e-49,1.7934183545571819e-54,0.0,0.0,1.1556436562861875e-70,0.0,1.1696016955999783e-08,1.1696016955996693e-08,5.347576437871005e-23,4.4316822289874427e-26,1.545487898123817e-21,1.5651357261579231e-41,2.5765813087800884e-26,1.5911897859504138e-34,7.9559489297521065e-35,3.5222604654095003e-32,1.2564662534201716e-48,5.6677618975502204e-53,1.2565229021114268e-48,3.4612355388252634e-55
3.1086965291463894e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733227889718709,0.6699999815670783,2.1290766375215407e-36,0.0,1.3231272575315175e-22,5.1271445625775553e-49,1.9216585387676389e-53,0.0,0.0,2.0604287541752052e-69,0.0,1.8432921727182214e-08,1.8432921727174574e-08,1.3213646317800026e-22,1.7626612857911387e-25,3.8207661343247544e-21,1.028028488167655e-40,6.3698428089100038e-26,1.0571111540341471e-33,5.2855557701707858e-34,1.4009467217552067e-31,1.379151409139604e-47,1.1283406110548177e-51,1.3792641856091533e-47,6.5910827239779978e-54
5.381043230845389e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332276202425615,0.669999968093271,2.0411685831498118e-35,0.0,3.9560530525239558e-22,1.5329774788897281e-48,3.2641996129264302e-52,0.0,0.0,6.3626188606271578e-68,0.0,3.1906729073717971e-08,3.1906729073695128e-08,3.9466491479481544e-22,9.4040953093050524e-25,1.1423808649301475e-20,9.8657641653474109e-40,1.9045361169969459e-25,1.0441783063614915e-32,5.2208915318075609e-33,7.4742861779939631e-31,2.4237886537345333e-46,3.854074162473078e-50,2.4241738644201468e-46,2.1910841890191446e-52
9.925736634243388e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733227081290443,0.66999994114566508,2.4718408291828508e-34,0.0,1.3450212494993637e-21,5.2119740762945978e-48,7.3775859029168345e-51,0.0,0.0,2.7465261772688914e-66,0.0,5.8854334983440238e-08,5.8854334983362549e-08,1.3389779112066984e-21,6.043461257886973e-24,3.88398822902864e-20,1.1971749392029604e-38,6.4752459009768003e-25,1.3002537168496039e-31,6.5012685842482855e-32,4.8032856497192689e-30,5.6349001555332918e-45,1.7742106466142815e-48,5.6366734603969426e-45,9.9691600088910852e-51
