Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25)
8.593383905108814e-12,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756393198331103,0.11866650154357437,0.022821484382887169,0.0,3.2937437163062393e-19,1.1524644353303833e-17,3.2279598638990265e-19,1.4716782083852091e-21,5.6778060014838224e-46,8.8317220607723196e-13,3.6554386673793484e-48,8.7376424027643054e-13,1.5442389215828952e-32,2.74239633697376e-23,1.4537857542259693e-35,8.7051516762783135e-37,1.0219325004103463e-17,2.5106576557635899e-36,3.4644212478194882e-06,1.6662029636523884e-07,4.8707062805293655e-11,3.7858776463210662e-14,1.1084677475085235e-10,2.4552156680139619e-19,3.3719267095175924e-15,3.6810061577111048e-14,1.5512753955108265e-11,1.5054890319047532e-18
8.713766964761227e-12,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756388112854269,0.11866645302501405,0.022821483215825979,0.0,3.4505431669406134e-19,1.1835598790255177e-17,3.4474165520790667e-19,1.5260161876312908e-21,6.2415540402061252e-46,8.9565352559566631e-13,3.9589886569315942e-48,8.8600382944903257e-13,1.6254266618740681e-32,2.8850403492554509e-23,1.5754289340455692e-35,9.4323567496538621e-37,1.0634767476032968e-17,2.6815713765526281e-36,3.5129388949501111e-06,1.6895441777789838e-07,4.9208260678307885e-11,3.8830702518530418e-14,1.1294489122880527e-10,2.5321966182735466e-19,3.4072393690398701e-15,3.7188944159015386e-14,1.5911864507129596e-11,1.5844238218176062e-18
8.83415002441364e-12,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756383027417075,0.1186664045068615,0.022821482048765194,0.0,3.6122200507807623e-19,1.2150348091894896e-17,3.6782906879076931e-19,1.5814678363558594e-21,6.852116803944793e-46,9.0813729083982236e-13,4.2828570108330617e-48,8.9824339734824855e-13,1.70958780032858e-32,3.0328098395191385e-23,1.7052985092203447e-35,1.0208626087150541e-36,1.1060794114307913e-17,2.8614018201036374e-36,3.5614561342624786e-06,1.7128853835795354e-07,4.9705399984480498e-11,3.9812549327087327e-14,1.1505524018438822e-10,2.6102603104833265e-19,3.4409052296759496e-15,3.7566259818883061e-14,1.6315051683110434e-11,1.6662316156207718e-18
8.954533084066052e-12,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756377942019522,0.11866635598911676,0.022821480881704825,0.0,3.7788423963080205e-19,1.2468879632543297e-17,3.9209944862804797e-19,1.6380352969666578e-21,7.5126364050218045e-46,9.2062348193919509e-13,4.628080642109147e-48,9.1048294400864586e-13,1.7967827048643409e-32,3.1858040425888514e-23,1.8438207379375466e-35,1.103649270634119e-36,1.1497511974587255e-17,3.050472951719059e-36,3.6099729657600217e-06,1.7362265810548813e-07,5.0198513730194299e-11,4.0804238311305548e-14,1.1717771994404134e-10,2.6893991921675956e-19,3.475998490695982e-15,3.7938652442918877e-14,1.6722282778339372e-11,1.7509696405983452e-18
9.074916143718465e-12,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756372856661632,0.11866630747177982,0.02282147971464487,0.0,3.9504777616286352e-19,1.2791183466122311e-17,4.1759482962892132e-19,1.6957205148175777e-21,8.2264165339832234e-46,9.3311207918488528e-13,4.9957328826182293e-48,9.2272246946451233e-13,1.8870718535141005e-32,3.3441222006164382e-23,1.9914372483347236e-35,1.1918580348102244e-36,1.1945027268443178e-17,3.2491152543326723e-36,3.6584893894461684e-06,1.7595677702058433e-07,5.0687634653386721e-11,4.1805692360952805e-14,1.1931223585182109e-10,2.7696057108576603e-19,3.5086840201723193e-15,3.831037062976706e-14,1.7133524661007148e-11,1.8386951841186298e-18
9.183260897405635e-12,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375636827987345,0.11866626380652524,0.022821478664291253,0.0,4.1092911480968549e-19,1.3084471620376482e-17,4.4162350208682465e-19,1.7485943324079219e-21,8.9172334577493647e-46,9.4435385781176619e-13,5.3467158840620018e-48,9.3373802427301557e-13,1.9710277376657923e-32,3.4912425456730933e-23,2.1324464412987753e-35,1.2761067656700145e-36,1.2357109892425391e-17,3.4363555298004446e-36,3.7021538220877923e-06,1.7805748333250416e-07,5.1124456446251003e-11,4.2715286432504398e-14,1.2124350754433241e-10,2.8426981694548408e-19,3.539539480378559e-15,3.8640513481750156e-14,1.7507045099253631e-11,1.9202498851342623e-18
9.291605651092805e-12,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756363703117404,0.11866622014160094,0.02282147761393798,0.0,4.2722680022471701e-19,1.3380797745047794e-17,4.6671093659751081e-19,1.8023760998997997e-21,9.6566540688699729e-46,9.5559755544233739e-13,5.7176012513341803e-48,9.4475356195800285e-13,2.0575832500141568e-32,3.6428280050418551e-23,2.281536917371169e-35,1.3651719903650979e-36,1.277810003574495e-17,3.6318716617482325e-36,3.7458179244074631e-06,1.8015818897027456e-07,5.1558093843266728e-11,4.3632672380225079e-14,1.2318437852921427e-10,2.9166438038920382e-19,3.5693145633280586e-15,3.896919414825418e-14,1.7883764560734766e-11,2.0043127280955399e-18
9.399950404779975e-12,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756359126393498,0.11866617647700699,0.022821476563585037,0.0,4.4394566085305597e-19,1.3680153162822469e-17,4.9288945059028145e-19,1.8570668484634709e-21,1.0447442138936442e-45,9.6684315803569791e-13,6.1092489947873832e-48,9.5576908254390531e-13,2.1467826638350001e-32,3.7989508806215883e-23,2.4390634283902751e-35,1.4592643306481013e-36,1.3208073421634205e-17,3.8359180081125756e-36,3.7894816964076816e-06,1.8225889393395499e-07,5.198857016739901e-11,4.4557794669862312e-14,1.2513477745405818e-10,2.9914371238628411e-19,3.5996343917147253e-15,3.9294643268143003e-14,1.8263659880679316e-11,2.0909255402784779e-18
9.508295158467145e-12,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756354549701756,0.11866613281274332,0.022821475513232426,0.0,4.6109049328864337e-19,1.398253048990947e-17,5.2019191542602994e-19,1.912667486215958e-21,1.1292486097911134e-45,9.7809065165750364e-13,6.522545570734073e-48,9.6678458605497087e-13,2.23867030164276e-32,3.9596834347099039e-23,2.6053919374642139e-35,1.5586010171554646e-36,1.3647105217750283e-17,4.0487533798978897e-36,3.8331451380909483e-06,1.8435959822360345e-07,5.2415908564611877e-11,4.5490598947719925e-14,1.2709463644519314e-10,3.0670726480286058e-19,3.6288449511091257e-15,3.9618700776745983e-14,1.8646707741051146e-11,2.1801301659164882e-18
9.616639912154314e-12,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756349973042155,0.11866608914880994,0.022821474462880149,0.0,4.7866606325754491e-19,1.4287921193890828e-17,5.4865174051130425e-19,1.9691788046015795e-21,1.219479941832125e-45,9.8934002247606204e-13,6.9584035491879338e-48,9.7780007251527099e-13,2.3332905274952976e-32,4.1250978889378149e-23,2.7808994921954216e-35,1.6634058128715716e-36,1.4095270058054913e-17,4.2706409171942084e-36,3.8768082494597615e-06,1.864603018392782e-07,5.2840132010354602e-11,4.6431030807956137e-14,1.2906388519907746e-10,3.1435449064296182e-19,3.6585627927198728e-15,3.9939606466622957e-14,1.9032885323802438e-11,2.2719684506067285e-18
9.724984665841484e-12,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756345396414733,0.11866604548520687,0.022821473412528204,0.0,4.9667710598836409e-19,1.4596317930886356e-17,5.7830286805007917e-19,2.0266014821886262e-21,1.3157523306632178e-45,1.0005912567605352e-12,7.4177617789646985e-48,9.8881554194870241e-13,2.4306877406646397e-32,4.2952664075196566e-23,2.9659743069846277e-35,1.7739090596509557e-36,1.4552642052615206e-17,4.5018480506802875e-36,3.9204710305166208e-06,1.8856100478103635e-07,5.3261263312547601e-11,4.7379036736222008e-14,1.3104245662081023e-10,3.2208484422271555e-19,3.6873943053931976e-15,4.0258913364086745e-14,1.9422169675241771e-11,2.3664822419035892e-18
9.833329419528654e-12,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756340819819475,0.1186660018219341,0.022821472362176593,0.0,5.1512832626032746e-19,1.4907712420104199e-17,6.0917977355218927e-19,2.0849360869565865e-21,1.4183930629740057e-45,1.0118443408803018e-12,7.9015858160126985e-48,9.9983099437898903e-13,2.5309063701912291e-32,4.4702610938465592e-23,3.1610159567549742e-35,1.890347790240579e-36,1.5019294791018466e-17,4.7426465093342911e-36,3.96413348126403e-06,1.9066170704893536e-07,5.3679325112640112e-11,4.8334563155537395e-14,1.3303028168974996e-10,3.2989778131628579e-19,3.7166423866375616e-15,4.0575206226537136e-14,1.9814538279808014e-11,2.463713377058402e-18
9.941674173215824e-12,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756336243256391,0.11866595815899161,0.022821471311825315,0.0,5.3402439840965541e-19,1.5222097379705389e-17,6.4131746703690332e-19,2.144183078325243e-21,1.5277430036724881e-45,1.0230992613044836e-12,8.4108683827136483e-48,1.0108464298296827e-12,2.6339908696909174e-32,4.6501539759505785e-23,3.3664355843445528e-35,2.012965848286653e-36,1.5495301344904593e-17,4.9933123337286037e-36,4.0077956017044854e-06,1.9276240864303164e-07,5.4094339886399178e-11,4.9297557337363049e-14,1.3502729413174886e-10,3.3779275928915939e-19,3.7451075530201905e-15,4.0889824119917356e-14,2.0209968535594588e-11,2.5637036842806803e-18
1e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756333779543368,0.11866593465381654,0.022821470746384076,0.0,5.443826517557381e-19,1.5392577400503809e-17,6.5915283621322617e-19,2.1764557527321077e-21,1.5895123618257673e-45,1.0291589401339511e-12,8.6959323523405229e-48,1.0167764227211491e-12,2.6906871676830313e-32,4.7490501049681702e-23,3.4814656377013886e-35,2.0816220329612801e-36,1.575545112713752e-17,5.1324386514226981e-36,4.0313003342265919e-06,1.9389329059999329e-07,5.4316503204327664e-11,4.9819045005713585e-14,1.3610613726487184e-10,3.4207668736365178e-19,3.7604917766658117e-15,4.1058083732002382e-14,2.0424102637766384e-11,2.6186891546878749e-18
1.0050018926902994e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756331666725503,0.11866591449637942,0.02282147026147437,0.0,5.5336996639522223e-19,1.5539464739076222e-17,6.747514933615908e-19,2.2043428093391569e-21,1.644156996930959e-45,1.0343560046013169e-12,8.9466297882432145e-48,1.0218618483241645e-12,2.7399857121862639e-32,4.835017003598393e-23,3.5826560920059921e-35,2.1420139989376098e-36,1.5980734271602664e-17,5.254125882305252e-36,4.0514573918404898e-06,1.9486310956338169e-07,5.4506329944952522e-11,5.0267966587339764e-14,1.3703342610042347e-10,3.4576923723869229e-19,3.7738875530693512e-15,4.1201577339332378e-14,2.0608438236773281e-11,2.666494971785888e-18
