Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(40),HX(39),CH3X(38),CH2X(175),CHX(176)
1.2871960132455931e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33705409318825658,0.11816787620243042,0.022821567693054285,0.0,8.5963347670107918e-26,1.6077748494801537e-10,0.0,7.8547292545946789e-10,0.0,1.6592755704459587e-07,9.3014117751079529e-27,2.8203257667444207e-10,1.4199210160782046e-18,1.9034239987150675e-30,0.0,0.0,1.226183739424384e-22,3.8248487736659939e-20,0.00049644039194740174,1.1547682711330309e-05,2.5324814679179602e-06,6.0521779025001276e-11,2.9493950948336552e-06
1.2972855271826263e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33705021939389601,0.11816411488377961,0.022821567693054285,0.0,8.9768500987828403e-26,1.653021188552322e-10,0.0,7.9768855070661771e-10,0.0,1.6791889616276858e-07,9.7345727980339719e-27,2.857639326426263e-10,1.4553466192545995e-18,2.0123352226898504e-30,0.0,0.0,1.2706086861589996e-22,3.9548058402488435e-20,0.00050015806720567647,1.1662174191421393e-05,2.5386784086740701e-06,6.1016470114647819e-11,2.9848252815695885e-06
1.3073750411196594e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33704634807601525,0.11816035619576906,0.022821567693054285,0.0,9.3710839806634481e-26,1.6991650393133731e-10,0.0,8.099634649584414e-10,0.0,1.6991500332699054e-07,1.018379200797998e-26,2.8952186605765018e-10,1.4913177117736393e-18,2.1265242751744164e-30,0.0,0.0,1.3162784575335555e-22,4.0879899950208531e-20,0.00050387312350397783,1.1776824718609269e-05,2.5447733141062215e-06,6.1514425116848094e-11,3.0203409334217388e-06
1.3174645550566925e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33704247923555253,0.11815660013656845,0.022821567693054285,0.0,9.7794187203127642e-26,1.7462164694722607e-10,0.0,8.2229683108136028e-10,0.0,1.7191579862762534e-07,1.0649507908353974e-26,2.9330641030684676e-10,1.5278368580086236e-18,2.246200643393954e-30,0.0,0.0,1.3632176299555128e-22,4.2244506660658419e-20,0.00050758556268655193,1.1891631442787818e-05,2.5507676690008112e-06,6.2015680101136204e-11,3.0559406332788307e-06
1.3275540689937257e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33703861287340592,0.11815284670434811,0.022821567693054285,0.0,1.0202244122396446e-25,1.794185560464509e-10,0.0,8.3468781926714067e-10,0.0,1.7392120331839273e-07,1.1132166420762753e-26,2.9711759810154094e-10,1.5649065846200153e-18,2.3715802731035364e-30,0.0,0.0,1.4114510538424441e-22,4.3642375115783455e-20,0.00051129538659637475,1.2006591555696903e-05,2.55666293686871e-06,6.2520270466165501e-11,3.0916229846785612e-06
1.3376435829307588e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33703474899043434,0.11814909589727911,0.022821567693054285,0.0,1.0639957571249675e-25,1.8430824069646625e-10,0.0,8.4713560707535386e-10,0.0,1.7593113979969767e-07,1.1632220919969771e-26,3.0095546148700641e-10,1.6025293808905737e-18,2.5028857087980736e-30,0.0,0.0,1.4610038539814514e-22,4.507400416469529e-20,0.00051500259707515351,1.2121702290320727e-05,2.5624605602486161e-06,6.3028230949663017e-11,3.1273866115114272e-06
1.347733096867792e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33703088758745792,0.11814534771353323,0.022821567693054285,0.0,1.109296411363704e-25,1.8929171164070017e-10,0.0,8.5963937947091447e-10,0.0,1.7794553160219695e-07,1.2150132268048439e-26,3.0482003185227858e-10,1.6407076990622157e-18,2.6403462355942097e-30,0.0,0.0,1.5119014298753991e-22,4.653989489003485e-20,0.0005187071959633253,1.2236960920294745e-05,2.5681619610060527e-06,6.3539595638269944e-11,3.1632301577287766e-06
1.357822610804825e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33702702866525841,0.11814160215128308,0.022821567693054285,0.0,1.1561676541604354e-25,1.9436998085144385e-10,0.0,8.7219832885689073e-10,0.0,1.7996430337060018e-07,1.2686368847738266e-26,3.0871133993982844e-10,1.679443954674387e-18,2.7841980227839618e-30,0.0,0.0,1.5641694560761777e-22,4.8040550574640476e-20,0.00052240918510005957,1.235236475932098e-05,2.573768540628072e-06,6.4054397977267817e-11,3.1991522870550258e-06
1.3679121247418582e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33702317222458006,0.11813785920870196,0.022821567693054285,0.0,1.2046515475418414e-25,1.9954406148354836e-10,0.0,8.848116551027746e-10,0.0,1.8198738084770142e-07,1.324140659501126e-26,3.1262941585509544e-10,1.7187405269037401e-18,2.9346842690598032e-30,0.0,0.0,1.61783388250521e-22,4.9576476668522634e-20,0.00052610856632325702,1.2467911160591665e-05,2.5792816805137294e-06,6.4572670780191448e-11,3.2351516827039875e-06
1.3780016386788913e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33701931826613013,0.1181341188839639,0.022821567693054285,0.0,1.2547909446590956e-25,2.048149678289213e-10,0.0,8.9747856556839344e-10,0.0,1.8401469085863855e-07,1.3815729030856227e-26,3.1657428907588339e-10,1.7585997589049228e-18,3.0920553494107258e-30,0.0,0.0,1.6729209347614459e-22,5.1148180756146103e-20,0.00052980534146955017,1.2583597516221083e-05,2.5847027422603894e-06,6.5094446238328492e-11,3.271227047099241e-06
1.3880911526159244e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33701546679057953,0.1181303811752438,0.022821567693054285,0.0,1.3066294980982937e-25,2.1018371527181196e-10,0.0,9.1019827512363888e-10,0.0,1.8604616129537751e-07,1.4409827292288576e-26,3.2054598846162265e-10,1.7990239581522883e-18,3.2565689636887652e-30,0.0,0.0,1.7294571144170329e-22,5.2756172524020717e-20,0.00053349951237430509,1.2699421256685466e-05,2.5900330679459304e-06,6.5619755930106447e-11,3.3073771015984912e-06
1.3981806665529576e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33701161779856265,0.11812664608071728,0.022821567693054285,0.0,1.3602116681985497e-25,2.1565132024487732e-10,0.0,9.2297000616418339e-10,0.0,1.8808172110141668e-07,1.5024200162593695e-26,3.2454454226249635e-10,1.8400153967823492e-18,3.4284902868452958e-30,0.0,0.0,1.7874691993009003e-22,5.4400963728601371e-20,0.00053719108087161985,1.2815379850270849e-05,2.5952739804068952e-06,6.6148630830367103e-11,3.3436005862218623e-06
1.4082701804899907e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33700777129067894,0.1181229135985607,0.022821567693054285,0.0,1.4155827313773921e-25,2.2121880018601875e-10,0.0,9.3579298862334876e-10,0.0,1.9012130025670984e-07,1.5659354100811534e-26,3.2856997812843815e-10,1.8815763119367951e-18,3.6080921208363571e-30,0.0,0.0,1.8469842437704545e-22,5.6083068164497915e-20,0.00054088004879432653,1.2931470802528809e-05,2.6004267835126675e-06,6.6681101319529587e-11,3.3798962593840681e-06
1.4183596944270238e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33700392726749284,0.11811918372695131,0.022821567693054285,0.0,1.4727887884631034e-25,2.2688717349597995e-10,0.0,9.486664599802845e-10,0.0,1.9216482976280406e-07,1.6315803270470728e-26,3.32622323117998e-10,1.9237089061059196e-18,3.7956550481961233e-30,0.0,0.0,1.9080295789716018e-22,5.7803001632995118e-20,0.00054456641797399072,1.3047691655739907e-05,2.6054927624357113e-06,6.7217197192641801e-11,3.4162628976303926e-06
1.428449208364057e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33700008572953422,0.11811545646406713,0.022821567693054285,0.0,1.5318767730336517e-25,2.3265745949669734e-10,0.0,9.6158966526461202e-10,0.0,1.942122416281888e-07,1.6994069567580216e-26,3.367016037070816e-10,1.9664153474722802e-18,3.991467587277574e-30,0.0,0.0,1.9706328130873021e-22,5.9561281910883531e-20,0.00054825019024091256,1.3164039988384765e-05,2.610473183917947e-06,6.7756947668321412e-11,3.4526992953764499e-06
1.43853872230109e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33699624667729938,0.11811173180808698,0.022821567693054285,0.0,1.5928944597618683e-25,2.3853067839039357e-10,0.0,9.7456185705768238e-10,0.0,1.9626346885385431e-07,1.7694682647886683e-26,3.408078457975631e-10,2.0096977702544592e-18,4.1958263491592389e-30,0.0,0.0,2.0348218315748609e-22,6.1358428719600823e-20,0.00055193136742412744,1.3280513414622689e-05,2.6153692965333173e-06,6.8300381397586746e-11,3.4892042646516451e-06
1.4486282362381232e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33699241011125125,0.11810800975719053,0.022821567693054285,0.0,1.6558904727665321e-25,2.4450785121940392e-10,0.0,9.8758229549058862e-10,0.0,1.9831844541905551e-07,1.8418179953406022e-26,3.4494107472577498e-10,2.0535582750507618e-18,4.4090361962169208e-30,0.0,0.0,2.1006247973921547e-22,6.3194963694683922e-20,0.00055560995135140541,1.3397109583777674e-05,2.6201823309465885e-06,6.8847526472577932e-11,3.5257766348462938e-06
1.4587177501751563e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33698857603181959,0.11810429030955819,0.022821567693054285,0.0,1.720914293969032e-25,2.5058999982672795e-10,0.0,1.0006502482390788e-09,0.0,2.0037710626727834e-07,1.9165106738237241e-26,3.4910131527087402e-10,2.097998929182714e-18,4.6314104023590728e-30,0.0,0.0,2.1680701512130006e-22,6.5071410355531816e-20,0.0005592859438492522,1.3513826179831754e-05,2.6249135001684616e-06,6.9398410435169549e-11,3.5624152524623532e-06
