Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),HX(5),C2H3X(75),C4H6(49),C4H5X(118),C6H8(51),C4H5X(117),C6H8(233)
8.94593684767372e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281555510302,0.66999999481755568,0.0,0.0,5.1824444504225403e-09,5.1001667555078528e-09,4.1138847327224184e-11,5.6991235289068484e-20,6.6670233342164271e-22,2.8717730340943803e-20,1.1177155370660381e-22
9.435219451870559e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281500225902,0.66999999453411085,0.0,0.0,5.4658893089944049e-09,5.3695658002889797e-09,4.8161754191881762e-11,7.0328349111698318e-20,9.1457202582313082e-22,3.5468729368849496e-20,1.5342554599649213e-22
9.924502056067398e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281445089357,0.66999999425066603,0.0,0.0,5.749334166271606e-09,5.637486515264307e-09,5.5923825306999603e-11,8.5845007324909057e-20,1.2342780894168132e-21,4.3333336068356196e-20,2.0719884908463796e-22
9.999999999999999e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281436595179,0.66999999420692957,0.0,0.0,5.7930706566000745e-09,5.6786917428470484e-09,5.7189456673848476e-11,8.8447007027768352e-20,1.290968478992856e-21,4.4653175322460769e-20,2.1673879589381154e-22
1.0413784660264237e-10,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281390107133,0.66999999396722121,0.0,0.0,6.0327790222560405e-09,5.9038638663142846e-09,6.4457577732774237e-11,1.0375588182660732e-19,1.641318557481339e-21,5.2424007980199818e-20,2.7572469546650455e-22
1.0903067264461076e-10,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281335285591,0.66999999368377638,0.0,0.0,6.3162238769497705e-09,6.1686344580295057e-09,7.3794709174389366e-11,1.2428314132471722e-19,2.1534776882426744e-21,6.2857700365639905e-20,3.6203066967527103e-22
1.1392349868657915e-10,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281280630882,0.66999999340033156,0.0,0.0,6.5996687303550186e-09,6.4317365842782137e-09,8.3966072698264168e-11,1.4765600671289779e-19,2.7910139340450525e-21,7.4755703880280136e-20,4.6957272501766686e-22
1.1881632472854753e-10,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281226149036,0.66999999311688674,0.0,0.0,6.8831135824741754e-09,6.6931102757301084e-09,9.5001652970144686e-11,1.7411030315154768e-19,3.5768467158163594e-21,8.8243479921737944e-20,6.0226928083712599e-22
1.2370915077051592e-10,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281171845846,0.66999999283344192,0.0,0.0,7.1665584333097795e-09,6.9526973467307007e-09,1.0693054281792904e-10,2.0388800861715432e-19,4.5367441300438083e-21,1.0345049444610501e-19,7.6453555117543335e-22
1.286019768124843e-10,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281117726953,0.66999999254999709,0.0,0.0,7.4500032828645267e-09,7.2104414360507816e-09,1.1978092285693184e-10,2.3723679279286345e-19,5.6995101036079323e-21,1.2051004621009518e-19,9.6131834040756528e-22
