Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),CO2X(24),COX(50)
9.13420051654446e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33466842423099485,0.11594636549864251,0.022734015323439886,4.0991529187966037e-13,1.8144945542361758e-11,3.032303992336527e-10,1.5362536010910255e-08,6.2415933925176642e-19,3.3140307484763594e-28,9.1274668800193253e-10,1.8381831989597714e-36,8.983258625451573e-10,6.3432903927499913e-27,1.0333213367934183e-17,6.9681763687969962e-21,5.8883563822770203e-23,7.029675139427944e-12,1.2574922337226117e-27,0.0027234827635202333,0.00017508813497516746,6.4448443808040604e-11,4.6620047400297103e-07,4.4626285256523895e-15,1.310522639428866e-11,1.0057675612381788e-07,3.7792112016459436e-10,4.7632061852156914e-15,8.3778153461465201e-10,1.5452799558500187e-15,1.2654901670553721e-14
9.260348371900175e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33463925144681628,0.11591959499824411,0.022732818008198537,4.3447763849043835e-13,1.9240087501874199e-11,3.1880258670888278e-10,1.6053167421100096e-08,6.4671756019352324e-19,3.5887229408635137e-28,9.2512785870730423e-10,1.9727535728958622e-36,9.1055000471585575e-10,6.6353341681731604e-27,1.0885904903146235e-17,7.441003932861089e-21,6.2387800089801642e-23,7.3510946400642144e-12,1.3308285830929189e-27,0.0027502509709932282,0.00017748203511220456,6.4961407368942333e-11,4.752747272500763e-07,4.4981640766264077e-15,1.3563569897217444e-11,1.0213985164337186e-07,3.9034803371116884e-10,4.9541955564486034e-15,8.6360228688921128e-10,1.6147705607535534e-15,1.3222865742986182e-14
9.38649622725589e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.334610313869942,0.11589305919167132,0.022731620963894732,4.6013608457290383e-13,2.038840522082647e-11,3.3497677239240175e-10,1.6764327294902907e-08,6.6982215727208371e-19,3.8818508224112162e-28,9.3750376672013205e-10,2.1153780609839554e-36,9.2277543117312171e-10,6.9372173852629281e-27,1.1461189828954486e-17,7.9384629819850464e-21,6.604756799536006e-23,7.6829468752576768e-12,1.4075211697829952e-27,0.0027767844667734242,0.00017987537214098751,6.547415733130951e-11,4.8441888219232864e-07,4.5336857121111974e-15,1.4031378137509718e-11,1.0369989400214426e-07,4.030270108926602e-10,5.1512609028849865e-15,8.8980985086522121e-10,1.6862971117049839e-15,1.3807660596602698e-14
9.512644082611606e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33458160944062759,0.11586675602201023,0.022730424188799121,4.869224642641414e-13,2.1591892487665826e-11,3.5176908497043059e-10,1.7496292352707613e-08,6.934796961984495e-19,4.1943629018674066e-28,9.4987444343741963e-10,2.266433511547606e-36,9.3500237494839997e-10,7.2491485908157589e-27,1.205972320144431e-17,8.4614428134257097e-21,6.9867412290267468e-23,8.0254391893674472e-12,1.4876823812279329e-27,0.0028030853077836153,0.00018226814924160019,6.5986696383599983e-11,4.9363286402811749e-07,4.5691936428322534e-15,1.4508679029061398e-11,1.0525659997870443e-07,4.1596022405951715e-10,5.3545667068499407e-15,9.1640168014281904e-10,1.7598837229637254e-15,1.4409511188406422e-14
9.638791937967321e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33455313611721116,0.11584068345040459,0.022729227681197828,5.1486898257674472e-13,2.2852597155337673e-11,3.6919590952368356e-10,1.8249336340501122e-08,7.1769673573482554e-19,4.5272414069355478e-28,9.6223992014506373e-10,2.4263095160608887e-36,9.4723106814807047e-10,7.5713379227583235e-27,1.2682171803747907e-17,9.0108495043124375e-21,7.385193684298064e-23,8.3787806139720207e-12,1.5714269709743238e-27,0.0028291555328889681,0.00018466036956622548,6.6499027180577952e-11,5.0291659781950506e-07,4.6046880774084316e-15,1.499549753059982e-11,1.0680968955751927e-07,4.2914984159468937e-10,5.5642814373520577e-15,9.4337511905962228e-10,1.8355540302427527e-15,1.5028640004375892e-14
9.764939793323037e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33452489187595369,0.11581483945589642,0.022728031439392289,5.4400820788063976e-13,2.4172622073534276e-11,3.8727388904547158e-10,1.9023729944886718e-08,7.4247982776446481e-19,4.8815029045617833e-28,9.7460022802018055e-10,2.5954086711968762e-36,9.5946174195742346e-10,7.9039970919274858e-27,1.3329214235383028e-17,9.5876058272555552e-21,7.8005803956424961e-23,8.7431818632056139e-12,1.6588720765607942e-27,0.0028549971630560961,0.00018705203623951009,6.7011152343735552e-11,5.1227000848111122e-07,4.6401692223727358e-15,1.5491855643107401e-11,1.0835888601014484e-07,4.4259802789946687e-10,5.7805776192592661e-15,9.7072740493207145e-10,1.9133311815380741e-15,1.5665266991090193e-14
9.891087648678752e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3344968747108813,0.11578922203526866,0.022726835461699138,5.7437306424573313e-13,2.5554126027835114e-11,4.060199259499388e-10,1.98197407102731e-08,7.6783551736109323e-19,5.2581989178082522e-28,9.8695539813341841e-10,2.7741468425050295e-36,9.7169462664456948e-10,8.2473393641291945e-27,1.4001541001355408e-17,1.0192651158596408e-20,8.2333733667397957e-23,9.1188553290855992e-12,1.7501372371941897e-27,0.0028806122015107255,0.00018944315235892438,6.752307446170962e-11,5.2169302076908157e-07,4.6756372821926066e-15,1.5997772409234315e-11,1.0990391597422394e-07,4.5630694337873095e-10,6.0036319029277852e-15,9.984556703387065e-10,1.9932378283872445e-15,1.6319609489137528e-14
9.999999999999999e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33447286664458414,0.11576728543585582,0.022725803100872015,6.016006097201468e-13,2.6798028628879483e-11,4.2275525219546502e-10,2.0524584655904661e-08,7.901924862633701e-19,5.6023069553675946e-28,9.9761837995352789e-10,2.9365469662674478e-36,9.8225809432630954e-10,8.5525292469350389e-27,1.4602885663793212e-17,1.0738518357115383e-20,8.6214021289318388e-23,9.4524323210108162e-12,1.832099278324143e-27,0.0029025467298878014,0.00019150713124919274,6.7964891610892221e-11,5.2988450161112919e-07,4.7062489926812535e-15,1.6442267388258046e-11,1.1123429063831238e-07,4.6835420170626467e-10,6.201785298272917e-15,1.0226955964672349e-09,2.0639568401605335e-15,1.6898964633737245e-14
1.0017235504034468e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33446908263362857,0.11576382920288865,0.022725639746450046,6.05996823652076e-13,2.6999324685702595e-11,4.2545118357033786e-10,2.0637632958263452e-08,7.9377034285792538e-19,5.6584165390512029e-28,9.9930546145125176e-10,2.9629534296933868e-36,9.839299515642789e-10,8.6015795424736175e-27,1.4699854601023646e-17,1.0826941379428371e-20,8.6840503029023386e-23,9.5060150768304965e-12,1.8453444112245366e-27,0.0029060026338939555,0.00019183372099511697,6.8034796090693219e-11,5.3118555927014275e-07,4.7110924592897145e-15,1.6513263914688123e-11,1.114445095302612e-07,4.7027874442562517e-10,6.2336251342803675e-15,1.0265569454435088e-09,2.075296117560248e-15,1.6991882168330183e-14
1.0143383359390183e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33444151367328262,0.11573865899055343,0.022724444291991594,6.3891309807430296e-13,2.8510491549296145e-11,4.4558508764725572e-10,2.1477667709272467e-08,8.202908359162805e-19,6.0832790392476028e-28,1.011650448838258e-09,3.1622716334920354e-36,9.9616794516175675e-10,8.966933949983945e-27,1.5424869616725166e-17,1.1491448769521999e-20,9.1530945376740609e-23,9.9048768401680443e-12,1.9446179934219056e-27,0.0029311704284171397,0.00019422374519226492,6.8546319754841949e-11,5.4074754839073902e-07,4.7465349540592472e-15,1.703834329158609e-11,1.1298040027615018e-07,4.8451558340565215e-10,6.4707424253304754e-15,1.0550281603574261e-09,2.1595276831856825e-15,1.7682296964747472e-14
1.0269531214745899e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33441416587623007,0.11571370944733617,0.022723249096685126,6.7315583144712723e-13,3.0089958915067187e-11,4.6643932780669556e-10,2.2340102606397256e-08,8.4740352159380805e-19,6.5339464730191209e-28,1.0239903910593774e-09,3.3725587240748497e-36,1.0084088349763512e-09,9.3436204124762979e-27,1.6177312802162054e-17,1.2187161894291112e-20,9.6409949578321015e-23,1.0315658016632863e-11,2.0480848320582353e-27,0.0029561175360153921,0.00019661322796841888,6.9057647946675548e-11,5.5037891234625183e-07,4.7819649648887304e-15,1.7573020723754497e-11,1.1451132539942747e-07,4.9901960864019461e-10,6.7151732251480211e-15,1.0838661475361798e-09,2.2459536393147164e-15,1.8391063019627224e-14
1.0395679070101614e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33438703730600378,0.11568897863943393,0.02272205415890665,7.0875929151872523e-13,3.1740118840096549e-11,4.8803185902792157e-10,2.3225191841566507e-08,8.7511491841233327e-19,7.0116162793076747e-28,1.0363253187821566e-09,3.5942863110170708e-36,1.0206528476451974e-09,9.7318582417082546e-27,1.695792317054514e-17,1.2915085484940326e-20,1.014824592684063e-22,1.0738577662853228e-11,2.1558742457971867e-27,0.0029808458904997301,0.00019900217231584303,6.9568783127474103e-11,5.600795751503031e-07,4.8173826881763805e-15,1.8117303453958199e-11,1.1603702574723159e-07,5.137929643894731e-10,6.9671113912631772e-15,1.1130676442124435e-09,2.3345945729249336e-15,1.9118386620124497e-14
1.052182692545733e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33436012604313203,0.1156644646500171,0.022720859477046648,7.4575806159885865e-13,3.3463424115135572e-11,5.1038090310097069e-10,2.4133186083990624e-08,9.0343153842533205e-19,7.5175238773621975e-28,1.0486552625789752e-09,3.8279406147668109e-36,1.0329002089067941e-09,1.0131868218793503e-26,1.776745208249499e-17,1.3676240311937804e-20,1.0675347206806916e-22,1.1173856489826514e-11,2.2681180403950275e-27,0.0030053574087078741,0.00020139058120135055,7.0079727727669734e-11,5.6984946060413618e-07,4.8527883183490104e-15,1.8671195793041227e-11,1.1755724589394554e-07,5.2883779083493707e-10,7.2267552615044855e-15,1.1426292948604816e-09,2.4254705373657476e-15,1.9864471141955248e-14
1.0647974780813045e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33433343018498879,0.1156401655790797,0.022719665049509997,7.8418703220862177e-13,3.5262389244311089e-11,5.335049500737325e-10,2.5064332410933699e-08,9.3235988728504247e-19,8.0529432578217587e-28,1.060980252929254e-09,4.0740227396091146e-36,1.0451511436045208e-09,1.0543872577880174e-26,1.8606663333698183e-17,1.4471663051960519e-20,1.1222803878990004e-22,1.1621716858182779e-11,2.3849505252155631e-27,0.0030296539906537034,0.00020377845756663405,7.0590484147233076e-11,5.7968849228608189e-07,4.888182047879482e-15,1.9234699130958759e-11,1.1907173420650352e-07,5.4415622406110156e-10,7.4943077262664686e-15,1.1725476536913126e-09,2.5186010462466694e-15,2.0629516993941067e-14
1.077412263616876e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33430694784564463,0.11561607954329138,0.022718470874715801,8.2408139263869906e-13,3.713959143145418e-11,5.5742275968850499e-10,2.6018874240826603e-08,9.6190646430922784e-19,8.6191875686658791e-28,1.0733003202216505e-09,4.3330489481017314e-36,1.0574058756900877e-09,1.0968094990090465e-26,1.9476333242317334e-17,1.5302406148462311e-20,1.1791126262912793e-22,1.2082382773436079e-11,2.5065085295620685e-27,0.0030537375196753973,0.000206165804328591,7.1101054756055119e-11,5.895965935411007e-07,4.923564067303742e-15,1.9807811949678394e-11,1.2058024290734478e-07,5.597503960368265e-10,7.7699763012040534e-15,1.2028191871764695e-09,2.6140050677693216e-15,2.1413721564469824e-14
