Time (s),Volume (m^3),Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),C2H4X(64),C2H4(48),HeX(49),C4H8a(86),HX(12),C2H3X(58),C2H2X(98)
5.857677417387926e-12,0.004023131612903226,0.0,0.0,0.01094222701210929,0.49999976935948121,3.4858230140990096e-75,7.152474319269204e-27,3.8830010017756369e-45,3.8571090493859522e-53,4.5464159050428574e-78,3.6004858090133917e-21,4.5445759906300915e-23,0.0,0.49994689640043338,1.4077967331131949e-07,5.2835277478006607e-05,2.306405189193513e-07,9.3740450860126302e-09,2.107604691706941e-07,6.8281829970997431e-09,1.0196614308679892e-07
5.908781479442183e-12,0.004023131612903226,0.0,0.0,0.010942224164386206,0.49999976935881124,3.809700735117609e-75,7.3473709355438598e-27,4.0956855248930924e-45,4.1046372772876739e-53,5.0131486820718772e-78,3.6650212247907137e-21,4.6673555410767408e-23,0.0,0.49994644409630584,1.407795092102487e-07,5.3286306786102792e-05,2.3064118887808134e-07,9.5370019936652179e-09,2.1265861661043352e-07,6.8281751321463913e-09,1.0291522073914539e-07
5.959885541496439e-12,0.004023131612903226,0.0,0.0,0.010942221316729272,0.49999976935820339,4.1604162829814954e-75,7.5457779891771312e-27,4.3179884513559142e-45,4.3656613231003098e-53,5.5230496239431465e-78,3.7301243357629157e-21,4.7923252603255701e-23,0.0,0.49994599195852951,1.4077934515715497e-07,5.3737166981496824e-05,2.3064179668485984e-07,9.7013402602231058e-09,2.1455676135671987e-07,6.8281672557340395e-09,1.0386429705049473e-07
6.010989603550696e-12,0.004023131612903226,0.0,0.0,0.010942218469133196,0.4999997693576525,4.5399282680489258e-75,7.7477268081326708e-27,4.550254263485387e-45,4.6407887435290457e-53,6.0796796392844248e-78,3.7957949490655305e-21,4.919504310434391e-23,0.0,0.49994553998704211,1.4077918115193734e-07,5.4187858127655673e-05,2.3064234763153852e-07,9.8670593062796101e-09,2.1645490340842119e-07,6.8281593696500604e-09,1.0481337201938745e-07
6.062093665604953e-12,0.004023131612903226,0.0,0.0,0.01094221562159314,0.49999976935715351,4.9503191878400792e-75,7.9532487202314807e-27,4.7928365839571814e-45,4.9306487565289774e-53,6.6868583404824373e-78,3.8620328719019419e-21,5.0489118466591792e-23,0.0,0.49994508818178152,1.4077901719450177e-07,5.4638380288022414e-05,2.3064284655939547e-07,1.0034158552649854e-08,2.1835304276463617e-07,6.828151475449336e-09,1.0576244564459532e-07
6.113197727659209e-12,0.004023131612903226,0.0,0.0,0.010942212774104671,0.49999976935670215,5.3938020770372542e-75,8.1623750531522725e-27,5.0460983344414806e-45,5.2358928134832766e-53,7.3486803346036187e-78,3.9288379115434081e-21,5.1805670174565078e-23,0.0,0.49994463654268528,1.4077885328476087e-07,5.5088733526016354e-05,2.3064329789748154e-07,1.0202637420370657e-08,2.2025117942466393e-07,6.8281435744844364e-09,1.0671151792509168e-07
6.164301789713466e-12,0.004023131612903226,0.0,0.0,0.010942209926663742,0.49999976935629425,5.8727274511172405e-75,8.3751371344317685e-27,5.3104118955424874e-45,5.5571951812396093e-53,8.0695323833617365e-78,3.9962098753291135e-21,5.3144889644859843e-23,0.0,0.49994418506969129,1.4077868942263318e-07,5.5538917905033011e-05,2.3064370569773352e-07,1.0372495330700464e-08,2.2214931338797781e-07,6.8281356679319408e-09,1.0766058886002491e-07
6.215405851767723e-12,0.004023131612903226,0.0,0.0,0.010942207079266641,0.49999976935592638,6.3895905544647567e-75,8.5915662914649762e-27,5.5861592680398306e-45,5.8952535341131704e-53,8.8541114719784675e-78,4.0641485706661808e-21,5.4506968226126947e-23,0.0,0.49994373376273732,1.4077852560804264e-07,5.5988933488444062e-05,2.3064407366709955e-07,1.0543731705119274e-08,2.2404744465420282e-07,6.8281277568153431e-09,1.0860965844869575e-07
6.266509913821979e-12,0.004023131612903226,0.0,0.0,0.010942204231909981,0.49999976935559481,6.9470389236427743e-75,8.8116938515054417e-27,5.8737322354314903e-45,6.250789555944194e-53,9.7074438269393458e-78,4.1326538050296988e-21,5.5892097199096429e-23,0.0,0.49994328262176102,1.4077836184091819e-07,5.6438780339597421e-05,2.3064440519691594e-07,1.0716345965328527e-08,2.2594557322309552e-07,6.8281198420249442e-09,1.0955872669053732e-07
6.317613975876236e-12,0.004023131612903226,0.0,0.0,0.010942201384590658,0.49999976935529666,7.5478802766301409e-75,9.0355511416654653e-27,6.1735325277767156e-45,6.62454955229143e-53,1.0634904923675469e-77,4.2017253859627347e-21,5.7300467776601892e-23,0.0,0.49994283164670045,1.4077819812119342e-07,5.6888458521817243e-05,2.3064470338977229e-07,1.0890337533251038e-08,2.2784369909452711e-07,6.82811192433515e-09,1.1050779358509806e-07
6.368718037930493e-12,0.004023131612903226,0.0,0.0,0.010942198537305835,0.49999976935502899,8.1950907389307287e-75,9.2631694889163169e-27,6.4859719868360552e-45,7.0173050728334454e-53,1.1642240526142742e-77,4.271363121076342e-21,5.8732271103604953e-23,0.0,0.49994238083749326,1.4077803444880584e-07,5.7337968098403874e-05,2.3064497108409077e-07,1.1065705831030913e-08,2.2974182226846832e-07,6.8281040044195144e-09,1.1145685913202653e-07
6.419822099984749e-12,0.004023131612903226,0.0,0.0,0.010942195690052916,0.49999976935478924,8.8918234178541915e-75,9.4945802200883861e-27,6.811472732506387e-45,7.4298535440551663e-53,1.273558880202402e-77,4.3415668180495614e-21,6.0187698257219622e-23,0.0,0.49994193019407751,1.4077787082369708e-07,5.7787309132633921e-05,2.306452108766182e-07,1.1242450281033455e-08,2.3163994274497647e-07,6.828096082863851e-09,1.1240592333105845e-07
