Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),HOX(22),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49)
8.240512503038361e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31894269420683463,0.11278105387779898,0.016494348159574224,0.0,1.0076169516061272e-13,0.00059339661306491887,4.382422516990243e-06,8.5286183243723298e-12,1.0117113984328596e-20,1.6358072954058255e-07,5.1956856275981651e-24,1.3275481136459461e-07,1.1745398506034064e-18,2.2190023557362683e-18,7.4014873689013335e-16,1.5980824440110409e-18,1.3722502374185533e-13,1.9993030739896539e-17,0.0055600119251227268,0.01265005575950294,1.1432581437891242e-08,8.1711876757858634e-05,8.6668473897617823e-13,6.800249735166586e-10,2.8966149761733014e-05,0.00029537506053623418,8.8383484612162952e-10,8.7352241767303409e-06
8.268600196270586e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.318906057807956,0.11277970382888228,0.016476790453808746,0.0,1.018832467470301e-13,0.0005972304400240256,4.4242753690418104e-06,8.6096255467936785e-12,1.0303735520517943e-20,1.6418004522013088e-07,5.2929374230951306e-24,1.3310501356935471e-07,1.1879151585977433e-18,2.2518013218238291e-18,7.4922893302094544e-16,1.619409644140193e-18,1.3816175822249527e-13,2.0290291113837547e-17,0.0055593048360587354,0.0126851293103208,1.1465085635106374e-08,8.1911576877422875e-05,8.7131143337929363e-13,6.8759176699911088e-10,2.9213983658057547e-05,0.00029714186436552735,8.9168919867448826e-10,8.7907755264706777e-06
8.296687889502811e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31886946155158657,0.11277834797333795,0.016459255462660867,0.0,1.0301245325190876e-13,0.00060107436537862292,4.4663616860622496e-06,8.6911121035812301e-12,1.0493115841277196e-20,1.6477909650335327e-07,5.391654318763743e-24,1.3345493171586996e-07,1.2013962467111073e-18,2.2849442127622913e-18,7.5838514614977697e-16,1.6409401822324495e-18,1.3910030226460254e-13,2.0590930741564113e-17,0.0055585981789709046,0.012720157198398871,1.1497570637753718e-08,8.2111086355221029e-05,8.7594564895755677e-13,6.9521572993276915e-10,2.946303613614713e-05,0.00029891259098539276,8.9958314228364047e-10,8.8464643223851737e-06
8.324775582735036e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31883290537198666,0.11277698632042693,0.016441743148520396,0.0,1.0414932966834682e-13,0.00060492837127083094,4.5086817282641052e-06,8.7730791491287796e-12,1.0685285465821073e-20,1.6537788351202836e-07,5.4918530287133937e-24,1.3380456692944776e-07,1.2149835929976926e-18,2.3184330372765328e-18,7.6761769806618495e-16,1.6626751905883634e-18,1.400406415815054e-13,2.0894976302914269e-17,0.005557891953236224,0.012755139498697323,1.1530036718929861e-08,8.2310405788111381e-05,8.8058735857182285e-13,7.0289708018005844e-10,2.9713308352440103e-05,0.00030068723034063269,9.0751670291719291e-10,8.9022902685183996e-06
8.352863275967262e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31879638920355996,0.11277561887939298,0.016424253473858012,0.0,1.0529389087511693e-13,0.00060879243988073235,4.5512357533107172e-06,8.8555278387886257e-12,1.0880275132747602e-20,1.6597640639980227e-07,5.5935503972325429e-24,1.3415392032276029e-07,1.2286776763719179e-18,2.3522698042791426e-18,7.7692691025112455e-16,1.6846158027650232e-18,1.4098276193347415e-13,2.1202454598132789e-17,0.0055571861582329879,0.012790076286017107,1.1562484152248519e-08,8.2509535768106738e-05,8.8523653516934531e-13,7.1063603544518494e-10,2.9964801454258011e-05,0.00030246577240357228,9.154899061426977e-10,8.9582530696675875e-06
8.380950969199487e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31875991298085338,0.11277424565946263,0.01640678640122506,0.0,1.0644615163704201e-13,0.00061266655342624601,4.5940240163281086e-06,8.9384593289216652e-12,1.107811580066373e-20,1.6657466535190812e-07,5.6967633993746438e-24,1.3450299299606376e-07,1.242478976615811e-18,2.386456522835209e-18,7.8631310387350405e-16,1.7067631535636817e-18,1.4192664912777853e-13,2.1513392548088363e-17,0.0055564807933408036,0.012824967635000356,1.1594913211837781e-08,8.2708476882464407e-05,8.8989315178322072e-13,7.1843281327197369e-10,3.0217516579823286e-05,0.00030424820717399223,9.2350277712923271e-10,9.0143524313799887e-06
8.409038662431712e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31872347663855688,0.11277286666984535,0.016389341893253351,0.0,1.0760612660537126e-13,0.00061655069416300464,4.6370467699168094e-06,9.0218747769475472e-12,1.12788386488079e-20,1.6717266058488887e-07,5.8015091415466063e-24,1.3485178603741161e-07,1.2563879743864864e-18,2.4209952021275951e-18,7.9577659978676361e-16,1.7291183790174485e-18,1.4287228901873946e-13,2.1827817194492827e-17,0.0055557758579405725,0.012859813620130844,1.1627324172338119e-08,8.2907229713730023e-05,8.9455718153218508e-13,7.262876310427635e-10,3.0471454858321635e-05,0.00030603452467901736,9.315553406495698e-10,9.070588059950166e-06
8.437126355663937e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31868708011150204,0.11277148191973346,0.016371919912654923,0.0,1.0877383031815701e-13,0.00062044484438422947,4.6803042641636325e-06,9.105775341394881e-12,1.1482475077669797e-20,1.6777039234632349e-07,5.9078048620996717e-24,1.3520030052286261e-07,1.2704051512237031e-18,2.4558878514226806e-18,8.0531771852546736e-16,1.7516826163790417e-18,1.4381966750777662e-13,2.2145755700122377e-17,0.0055550713514144912,0.012894614315734377,1.1659717308899824e-08,8.3105794839816603e-05,8.9922859762012302e-13,7.3420070597645729e-10,3.0726617409927481e-05,0.00030782471497304361,9.3964762108225799e-10,9.1269596624173293e-06
8.465214048896163e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31865072333466293,0.11277009141830238,0.016354520422221821,0.0,1.0994927720063141e-13,0.00062434898642060952,4.723796746653404e-06,9.1901621819514677e-12,1.1689056709607551e-20,1.6836786091455713e-07,6.0156679319225949e-24,1.3554853751668579e-07,1.284530989557492e-18,2.4911364800365094e-18,8.149367803019281e-16,1.7744570041085993e-18,1.4476877054345158e-13,2.246723534904065e-17,0.0055543672731460545,0.012929369795979254,1.1692092897180882e-08,8.3304172834050078e-05,9.039073733358118e-13,7.4217225512728981e-10,3.0983005345859861e-05,0.00030961876813763266,9.477796424137592e-10,9.1834669465626742e-06
8.493301742128388e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31861440624315462,0.11276869517471043,0.016337143384825888,0.0,1.1113248156558364e-13,0.00062826310264017923,4.7675244624806248e-06,9.2750364595146159e-12,1.1898615389462328e-20,1.6896506659843302e-07,6.1251158550371149e-24,1.3589649807155985e-07,1.2987659727158668e-18,2.5267430973013516e-18,8.2463410500287027e-16,1.7974426818615412e-18,1.4571958412150794e-13,2.2792283546823628e-17,0.0055536636225200367,0.012964080134876661,1.1724451213344436e-08,8.3502364265244434e-05,9.0859348205244492e-13,7.502024953829411e-10,3.1240619768409085e-05,0.00031141667428143777,9.5595142824051193e-10,9.2401096209067712e-06
8.521389435360613e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3185781287722334,0.11276729319809903,0.016319788763418563,0.0,1.1232345761373749e-13,0.0006321871754481986,4.8114876542611071e-06,9.3603993362414548e-12,1.2111183185170233e-20,1.6956200973702862e-07,6.2361662691958856e-24,1.36244183228769e-07,1.31311058493261e-18,2.5627097125327036e-18,8.3441001218612781e-16,1.8206407904764834e-18,1.4667209428490612e-13,2.3120927820786518e-17,0.0055529603989224992,0.012998745406281121,1.1756792534056694e-08,8.3700369697746308e-05,9.1328689722739001e-13,7.5829164346334312e-10,3.1499461770992196e-05,0.00031321842354009995,9.6416300177104894e-10,9.2968873947069503e-06
8.549477128592838e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31854189085729606,0.11276588549759267,0.016302456521030618,0.0,1.1352221943412888e-13,0.00063612118728703301,4.85568656214354e-06,9.4462519755993352e-12,1.2326792388371445e-20,1.7015869069939436e-07,6.3488369464828883e-24,1.3659159401839445e-07,1.3275653113551441e-18,2.5990383349967173e-18,8.4426482107736771e-16,1.8440524719632257e-18,1.4762628712385539e-13,2.3453195820212634e-17,0.0055522576017407854,0.013033365683890881,1.1789117136484362e-08,8.3898189691508271e-05,9.1798759240171805e-13,7.6643991591880661e-10,3.175953243817913e-05,0.0003150240060761737,9.7241438582803545e-10,9.3537999779547107e-06
8.577564821825063e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31850569243387972,0.11276447208229896,0.016285146620771997,0.0,1.1472878100448385e-13,0.00064006512063603262,4.9001214238210115e-06,9.5325955424162602e-12,1.2545475515016616e-20,1.7075510988429585e-07,6.4631457939163675e-24,1.3693873145950173e-07,1.3421306380524812e-18,2.6357309738780733e-18,8.541988505668412e-16,1.8676788694907736e-18,1.4858214877584084e-13,2.378911531658429e-17,0.0055515552303635101,0.013067941041248369,1.1821425298292562e-08,8.4095824802130417e-05,9.2269554119997135e-13,7.7464752912888252e-10,3.2020832845748748e-05,0.00031683341207902328,9.8070560285037264e-10,9.4108470813731169e-06
8.605652515057289e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31846953343766099,0.11276305296130876,0.016267859025831541,0.0,1.1594315619159677e-13,0.00064401895801141672,4.9447924745424798e-06,9.6194312029313449e-12,1.2767265305970617e-20,1.7135126771995866e-07,6.5791108540543077e-24,1.372855965603237e-07,1.3568070520232495e-18,2.6727896382482625e-18,8.6421241920616568e-16,1.8915211273754418e-18,1.4953966542564747e-13,2.4128714203815653e-17,0.005550853284180559,0.013102471551740578,1.1853717297642298e-08,8.4293275580933576e-05,9.2741071732968161e-13,7.8291469930045924e-10,3.2283364060712352e-05,0.00031864663176475153,9.8903667489521018e-10,9.4680284164142275e-06
8.633740208289514e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31843341380445594,0.112761628143696,0.016250593699476856,0.0,1.1716535875170842e-13,0.00064798268196615452,4.9896999471241875e-06,9.7067601248453538e-12,1.2992194727613568e-20,1.7194716466381648e-07,6.6967503056024539e-24,1.3763219031844029e-07,1.3715950412038005e-18,2.710216337034302e-18,8.743058452051388e-16,1.9155803910689897e-18,1.5049882330538028e-13,2.4472020498487699e-17,0.0055501517625830893,0.013136957288599503,1.1885993413188334e-08,8.4490542574995321e-05,9.321330945811644e-13,7.912416424667316e-10,3.2547127141372671e-05,0.00032046365537609351,9.9740762364003426e-10,9.5253436952565772e-06
8.661827901521739e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31839733347021942,0.11276019763851805,0.016233350605054021,0.0,1.1839540233088453e-13,0.0006519562750898478,5.0348440719610401e-06,9.7945834773712534e-12,1.3220296972439163e-20,1.7254280120226192e-07,6.8160824640249533e-24,1.3797851372095424e-07,1.3864950944763902e-18,2.7480130789878618e-18,8.8447944642858078e-16,1.9398578071468271e-18,1.5145960869448046e-13,2.4819062340085101e-17,0.0055494506649635183,0.013171398324902559,1.1918253924076691e-08,8.4687626327226463e-05,9.3686264682701395e-13,7.9962857448520737e-10,3.2812123137342354e-05,0.00032228447318235023,1.005818470384653e-09,9.5827926308026227e-06
8.689915594753964e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31836129237104488,0.11275876145481538,0.016216129705987414,0.0,1.1963330046539401e-13,0.00065593972000861569,5.0802250770379211e-06,9.8829024312848408e-12,1.3451605459650282e-20,1.7313817785040017e-07,6.937125782157645e-24,1.3832456774466299e-07,1.4015077016774469e-18,2.7861818726548225e-18,8.9473354039320792e-16,1.9643545232962708e-18,1.5242200791973833e-13,2.5169867991235309e-17,0.0055487499907155213,0.013205794733572982,1.1950499109942554e-08,8.4884527376398813e-05,9.4159934802194496e-13,8.0807571103686395e-10,3.3078353089608926e-05,0.00032410907547927691,1.0142692360532771e-09,9.6403749366761946e-06
8.71800328798619e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31832529044316393,0.11275731960161194,0.016198930965779495,0.0,1.2087906658208758e-13,0.0006599329993849793,5.1258431879409623e-06,9.9717181589753705e-12,1.3686153835751878e-20,1.7373329515180577e-07,7.0598988508240583e-24,1.3867035335622695e-07,1.4166333536059098e-18,2.8247247263452473e-18,9.0506844426453099e-16,1.9890716883048572e-18,1.5338600735530296e-13,2.552446583794964e-17,0.005548049739234031,0.013240146587380248,1.198272925090767e-08,8.5081246257228511e-05,9.4634317220223222e-13,8.1658326762395996e-10,3.3345818030544243e-05,0.0003259374525890262,1.0227599411964665e-09,9.6980903272200157e-06
8.746090981218415e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31828932762294554,0.11275587208791497,0.016181754348010592,0.0,1.221327139987765e-13,0.00066393609591774733,5.1716986278687663e-06,1.0061031834496276e-11,1.3923975975141142e-20,1.7432815367828161e-07,7.1844203994541166e-24,1.3901587151233472e-07,1.4318725420316519e-18,2.8636436481037792e-18,9.1548447485378662e-16,2.0140104520487075e-18,1.5435159342268791e-13,2.5882884389866499e-17,0.0055473499099152361,0.013274453958940478,1.2014944627578411e-08,8.5277783500389842e-05,9.5109409348564055e-13,8.2515145956951596e-10,3.3614518983980886e-05,0.00032776959486002539,1.0312906059932152e-09,9.7559385174932221e-06
