Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20)
2.1566398757840077e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33302321470471141,0.11417271174582751,0.022798019499754647,0.0,1.0517201470146363e-23,3.405010562114583e-11,0.0,5.3457739929770619e-18,0.0,2.1754486521057019e-09,1.3806648600529567e-34,2.1073484515542807e-09,9.4556121614898666e-26,3.2282692798530456e-30,0.0,0.0,6.5812827508159213e-22,3.8422130538584732e-26,0.0044972521086891447,4.709638659926465e-05
2.1791850277570913e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33300316089609733,0.11415265481299332,0.022798021050486939,0.0,1.0957016863807673e-23,3.4751272735897872e-11,0.0,5.5149917081036175e-18,0.0,2.1982042605846691e-09,1.46570468024517e-34,2.1287017261421586e-09,9.8282108007233708e-26,3.3989694853976586e-30,0.0,0.0,6.7863051703959542e-22,4.0369608783657791e-26,0.0045173090187677154,4.7093285134679253e-05
2.2017301797301748e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33298341963671285,0.11413291047761855,0.022798022577102749,0.0,1.141038152920285e-23,3.5459383557466165e-11,0.0,5.6877496272519221e-18,0.0,2.2209629683182359e-09,1.5549963756425744e-34,2.1500442125780826e-09,1.0211213193066346e-25,3.5767904144520203e-30,0.0,0.0,6.9954818062686645e-22,4.2393399314164722e-26,0.0045370533313837972,4.7090231903064973e-05
2.2242753317032584e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33296398605356092,0.11411347386596624,0.02279802407997197,0.0,1.1877566565783173e-23,3.6174434005778597e-11,0.0,5.8640848945111307e-18,0.0,2.2437248311428815e-09,1.6487038720092595e-34,2.1713759748587506e-09,1.0604789809891797e-25,3.7619512349207963e-30,0.0,0.0,7.208852207162553e-22,4.4495620877687255e-26,0.0045564899202742461,4.7087226164620836e-05
2.246820483676342e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33294485534967527,0.11409434018034016,0.022798025559459662,0.0,1.235884562409324e-23,3.6896420050581808e-11,0.0,6.0440346779157316e-18,0.0,2.2664899040107383e-09,1.7469955548484533e-34,2.1926970759968788e-09,1.1009111873834909e-25,3.9546755121159606e-30,0.0,0.0,7.4264558716071321e-22,4.6678426732800995e-26,0.0045756235831352528,4.7084267189229175e-05
2.2693656356494255e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33292602280293287,0.11407550469789673,0.022798027015925971,0.0,1.2854494903107094e-23,3.762533771033273e-11,0.0,6.2276361696631252e-18,0.0,2.2892582410030616e-09,1.8500443401393499e-34,2.2140075780368802e-09,1.1424351350462507e-25,4.1551912508675885e-30,0.0,0.0,7.6483322482594212e-22,4.8944004799980014e-26,0.0045944590428103485,4.7081354256606443e-05
2.291910787622509e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3329074837648836,0.11405696276947562,0.022798028449726081,0.0,1.3364793147582805e-23,3.8361183051113321e-11,0.0,6.4149265863264431e-18,0.0,2.3120298953434871e-09,1.9580277453798738e-34,2.235307542070302e-09,1.1850680940131636e-25,4.363730937608693e-30,0.0,0.0,7.8745207362235607e-22,5.1294577810836979e-26,0.0046130009484598089,4.7078486656401022e-05
2.3144559395955926e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33288923365959988,0.11403870981844864,0.022798029861210153,0.0,1.389002164543453e-23,3.9103952185568044e-11,0.0,6.6059431690626852e-18,0.0,2.3348049194110898e-09,2.071127960932908e-34,2.2565970282510048e-09,1.2288274070032838e-25,4.5805315824345284e-30,0.0,0.0,8.1050606853637244e-22,5.3732403455739113e-26,0.0046312538767117389,4.707566368824914e-05
2.337001091568676e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3328712679825428,0.11402074133958673,0.022798031250723379,0.0,1.4430464225121341e-23,3.9853641271863402e-11,0.0,6.8007231838162989e-18,0.0,2.3575833647532508e-09,2.1895319216727937e-34,2.2778760958101102e-09,1.2737304886413358e-25,4.8058347611367316e-30,0.0,0.0,8.3399913966105075e-22,5.625977452984198e-26,0.0046492223327952078,4.7072884661796197e-05
2.3595462435417596e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33285358229944745,0.11400305289794441,0.022798032618605937,0.0,1.4986407253052008e-23,4.0610246512669259e-11,0.0,6.9993039215182706e-18,0.0,2.3803652820983188e-09,2.3134313789309547e-34,2.2991448030707023e-09,1.3197948246977038e-25,5.0398866572125458e-30,0.0,0.0,8.5793521222608657e-22,5.8879019077570353e-26,0.0046669107516556273,4.7070148896688505e-05
2.3820913955148432e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33283617224522466,0.11398564012776194,0.022798033965193008,0.0,1.5558139631005163e-23,4.1373764154161641e-11,0.0,7.2017226982808031e-18,0.0,2.4031507213680879e-09,2.4430229727388245e-34,2.3204032074623e-09,1.3670379713457192e-25,5.2829381038493966e-30,0.0,0.0,8.8231820662717774e-22,6.1592500535579299e-26,0.0046843234990526375,4.7067455722540171e-05
2.4046365474879267e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33281903352288017,0.11396849873138477,0.022798035290814839,0.0,1.6145952793564037e-23,4.2144190485046347e-11,0.0,7.4080168555876856e-18,0.0,2.4259397316900812e-09,2.5785083043660468e-34,2.3416513655350864e-09,1.4154775544358599e-25,5.5352446258851077e-30,0.0,0.0,9.0715203845477387e-22,6.4402617874229988e-26,0.0047014648726407884,4.7064804478879958e-05
2.4271816994610103e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33280216190245143,0.11395162447819965,0.022798036595796739,0.0,1.6750140705565166e-23,4.2921521835603125e-11,0.0,7.6182237604804258e-18,0.0,2.4487323614096509e-09,2.720094009151622e-34,2.3628893329739294e-09,1.4651312687864531e-25,5.7970664817440788e-30,0.0,0.0,9.3244061852222316e-22,6.7311805737616345e-26,0.0047183391030332939,4.7062194515082187e-05
2.4497268514340938e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33278555321996045,0.11393501320358751,0.02279803788045914,0.0,1.7370999859560328e-23,4.3705754576749939e-11,0.0,7.8323808057402534e-18,0.0,2.4715286581018863e-09,2.8679918296259579e-34,2.3841171646121581e-09,1.5160168774905099e-25,6.0686687053496909e-30,0.0,0.0,9.5818785289333407e-22,7.032253458217606e-26,0.0047349503548491335,4.7059625190284882e-05
