Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C4H6(54),C4H5X(365),C4H5X(364),C6H8(56),C6H7X(480),C8H10(439),C6H7X(479),C6H7X(478),C6H8(455),C8H9X(653),C8H10(458),C8H9X(652),C8H9X(651),C8H9X(650),C6H7X(915),C6H7X(867),C6H7X(914),C2H2(37)
4.6782804637218144e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.065826781479921104,0.49260440361866603,4.851404544566427e-13,0.0,1.6404694209627237e-12,1.8986875047159541e-35,0.0,0.0,0.0,0.0,0.0,0.19231721127844117,0.0043606921040123571,0.070379257204973733,0.00011025274596131904,0.010069546633220088,0.0030496456190464345,1.3180024596021325e-05,0.00014333525699541678,0.00029825922363063451,0.00029474281161218666,6.061898421885148e-05,6.9876259325752388e-07,1.4717134594341552e-05,9.5306232657045415e-06,9.3557161748386537e-06,9.4432288654683479e-06,2.5445974036858763e-07,1.3210917765508489e-08,2.863533120972368e-06,9.7346157964868178e-06
4.6943334878823685e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.065730354483772305,0.49254181503712291,4.8607687961036596e-13,0.0,1.6410084911027581e-12,1.9023670312027361e-35,0.0,0.0,0.0,0.0,0.0,0.19240485333178717,0.0043476923087907241,0.070392198995452543,0.0001099219757530921,0.010090094820574342,0.0030506984541874924,1.3144198837720179e-05,0.0001434438386613334,0.00029902264078052144,0.00029547850190555938,6.0834453248622567e-05,6.9688284579357858e-07,1.4773541745031667e-05,9.5616119067974983e-06,9.3853769465034882e-06,9.4735540488732668e-06,2.5461308706701534e-07,1.3218879621275446e-08,2.8783161565946601e-06,9.7486520479582219e-06
4.7103865120429227e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.065634356962238835,0.49247959754646137,4.8701082323685517e-13,0.0,1.6415447912467532e-12,1.9060403123109086e-35,0.0,0.0,0.0,0.0,0.0,0.19249204780569928,0.0043347694846246464,0.070404996979783405,0.00010959306665614202,0.01011058612078311,0.0030517399877079908,1.3108539807355356e-05,0.00014355147591611523,0.00029978419359850191,0.00029621223217427835,6.1049679866859334e-05,6.9501113823543395e-07,1.4829889913069122e-05,9.5925367964471149e-06,9.4149697681092013e-06,9.5038133832223465e-06,2.5476441076285989e-07,1.3226744500097733e-08,2.8931082486656012e-06,9.7626465172191981e-06
4.726439536203477e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.065538785596426799,0.49241774787491344,4.8794229843385534e-13,0.0,1.6420783453172072e-12,1.9097073832929775e-35,0.0,0.0,0.0,0.0,0.0,0.19257879841843295,0.0043219229356782594,0.070417652646347723,0.00010926600310906412,0.010131020829343891,0.0030527703346383754,1.3073046486094659e-05,0.00014365817753554756,0.00030054389055060528,0.00029694401105853798,6.1264664234768779e-05,6.9314743312193335e-07,1.488617907058112e-05,9.6233981223850135e-06,9.4444948370019776e-06,9.534007061051197e-06,2.5491372975922001e-07,1.3234513234835697e-08,2.9079092888421299e-06,9.7765994512716692e-06
4.742492560364031e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.06544363710380928,0.49235626278940919,4.8887131819377038e-13,0.0,1.6426091769496761e-12,1.9133682790927903e-35,0.0,0.0,0.0,0.0,0.0,0.19266510884562052,0.0043091519745768825,0.070430167464535606,0.0001089407697219953,0.010151399239473807,0.0030537896085783877,1.3037717861186314e-05,0.00014376395219577355,0.00030130174005146517,0.00029767384714679941,6.1479406518424268e-05,6.9129169296682595e-07,1.4942409191885281e-05,9.654196072328149e-06,9.473952350485396e-06,9.5641352748667818e-06,2.5506106216447453e-07,1.3242186649859988e-08,2.9227191697028196e-06,9.7905110948881093e-06
4.758545584524585e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.065348908237712458,0.49229513909500155,4.8979789540479702e-13,0.0,1.6431373094971491e-12,1.9170230343491787e-35,0.0,0.0,0.0,0.0,0.0,0.19275098272089303,0.0042964559222779626,0.070442542885041579,0.000108617351274294,0.01017172164213271,0.0030547979217186313,1.3002552925965652e-05,0.0001438688084746461,0.00030205775046464735,0.00029840174897611757,6.1693906888660787e-05,6.8944388026723959e-07,1.4998580253449132e-05,9.6849308339609298e-06,9.5033425058025371e-06,9.5941982171295776e-06,2.5520642589474448e-07,1.3249765561155404e-08,2.9375377847385764e-06,9.8043816906386103e-06
4.77459860868514e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.065254595786810587,0.49223437363430045,4.907220428520372e-13,0.0,1.6436627660343467e-12,1.9206716833995507e-35,0.0,0.0,0.0,0.0,0.0,0.19283642363649101,0.0042838341079444028,0.070454780340155135,0.00010829573271225652,0.010191988326045934,0.0030557953848617449,1.2967550679859773e-05,0.00014397275485305839,0.00030281193010297673,0.00029912772503246706,6.1908165520972353e-05,6.8760395751183263e-07,1.5054692233850328e-05,9.7156025949178539e-06,9.5326655001186287e-06,9.6241960802361471e-06,2.5534983867631908e-07,1.3257250776423293e-08,2.9523650283434436e-06,9.8182114789175686e-06
4.790651632845694e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.06516069657462957,0.4921739632869182,4.9164377321860028e-13,0.0,1.6441855693619375e-12,1.9243142602834343e-35,0.0,0.0,0.0,0.0,0.0,0.19292143514386378,0.004271285868820183,0.07046688124404539,0.00010797589914686933,0.010212199577726871,0.0030567821074432154,1.2932710128390328e-05,0.00014407579971625366,0.00030356428722886486,0.00029985178375106677,6.2122182595411433e-05,6.8577188718863397e-07,1.5110745113737608e-05,9.7462115427665865e-06,9.5619215305041581e-06,9.654129056502299e-06,2.554913180480465e-07,1.3264643095182466e-08,2.9672007958055213e-06,9.8320006979698853e-06
4.806704657006249e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.065067207459059445,0.49211390496892454,4.9256309908668945e-13,0.0,1.6447057420106806e-12,1.9279507987459592e-35,0.0,0.0,0.0,0.0,0.0,0.19300602075425921,0.0042588105501082558,0.070478846993041078,0.00010765783585159682,0.010232355681499168,0.003057758197551812,1.2898030283174488e-05,0.00014417795135511478,0.00030431483005463513,0.00030057393351670469,6.2335958296490154e-05,6.8394763179258727e-07,1.5166738875792479e-05,9.7767578649915924e-06,9.5911107939184802e-06,9.6839973381466733e-06,2.5563088136369015e-07,1.3271943308868671e-08,2.9820449832979919e-06,9.8457495839168721e-06
4.822757681166804e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.064974125331874577,0.49205419563231018,4.9348003293867332e-13,0.0,1.6452233062454843e-12,1.9315813322412963e-35,0.0,0.0,0.0,0.0,0.0,0.19309018393930236,0.0042464075048506628,0.070490678965905079,0.00010734152826020362,0.010252456919518713,0.003058723761949655,1.2863510161924102e-05,0.00014427921796743295,0.00030506356674284786,0.00030129418266406076,6.2549492813083622e-05,6.8213115383280389e-07,1.5222673504691587e-05,9.8072417489781826e-06,9.6202334871939255e-06,9.7138011172748213e-06,2.5576854579425124e-07,1.3279152200932707e-08,2.9968974878702568e-06,9.8594583707816655e-06
4.838810705327358e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.064881447118262617,0.49199483226446139,4.9439458715814348e-13,0.0,1.6457382840694007e-12,1.9352058939360439e-35,0.0,0.0,0.0,0.0,0.0,0.19317392813156448,0.0042340760938108018,0.070502378524103806,0.00010702696196461127,0.010272503571795336,0.0030596789060919499,1.2829148788443265e-05,0.00014437960765915789,0.00030581050540662427,0.00030201253947802984,6.2762786338334853e-05,6.8032241583953762e-07,1.5278548987069768e-05,9.837663381997022e-06,9.6492898070202941e-06,9.743540585863723e-06,2.559043283302567e-07,1.3286270546937114e-08,3.0117582074391771e-06,9.8731272905143413e-06
4.854863729487913e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.064789169776361039,0.49193581188764329,4.9530677403095892e-13,0.0,1.6462506972275485e-12,1.938824516712562e-35,0.0,0.0,0.0,0.0,0.0,0.19325725672512201,0.0042218156853578393,0.070513947012072184,0.00010671412271278796,0.010292495916214254,0.0030606237341463519,1.2794945192624225e-05,0.00014447912844562765,0.00030655565410996928,0.00030272901219404363,6.2975839069561836e-05,6.7852138037088957e-07,1.5334365311483791e-05,9.868022951189124e-06,9.6782799499298772e-06,9.7732159357467745e-06,2.5603824578401501e-07,1.3293299114651486e-08,3.0266270407804229e-06,9.8867565730166127e-06
4.870916753648468e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.064697290296801768,0.49187713155849194,4.9621660574627603e-13,0.0,1.646760567210949e-12,1.9424372331722597e-35,0.0,0.0,0.0,0.0,0.0,0.19334017307610579,0.0042096256553531821,0.070525385757473288,0.00010640299640667175,0.010312434228557243,0.0030615583490120092,1.2760898410441754e-05,0.00014457778825277957,0.00030729902086809401,0.00030344360899839081,6.318865120816601e-05,6.7672801001925187e-07,1.5390122468376745e-05,9.8983206435512365e-06,9.7072041122828841e-06,9.8028273585992071e-06,2.5617031479183919e-07,1.330023866414647e-08,3.0415038875199197e-06,9.9003464461661413e-06
4.886969777809022e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.064605805702263416,0.49181878836751525,4.9712409439756544e-13,0.0,1.6472679152603131e-12,1.9460440756388375e-35,0.0,0.0,0.0,0.0,0.0,0.19342268050324071,0.004197505387038997,0.070536696071453561,0.00010609356910012548,0.010332318782523572,0.0030624828523382669,1.2727007483946101e-05,0.000144675594918343,0.00030804061364773607,0.00030415633802853694,6.3401222959542984e-05,6.7494226741750084e-07,1.5445820450043064e-05,9.9285566459216653e-06,9.7360624902532636e-06,9.8323750459239097e-06,2.5630055181623835e-07,1.3307089947886416e-08,3.0563886481254053e-06,9.9138971358405425e-06
4.903022801969577e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.064514713047031103,0.49176077943860358,4.9802925198361528e-13,0.0,1.6477727623697477e-12,1.9496450761614789e-35,0.0,0.0,0.0,0.0,0.0,0.19350478228837656,0.0041854542709287143,0.070547879248893358,0.00010578582699692413,0.010352149849750664,0.0030633973445430415,1.2693271461254488e-05,0.0001447725561930128,0.0003087804403674796,0.00030486720737344313,6.3613554532994409e-05,6.731641152449447e-07,1.5501459250594228e-05,9.9587311449665141e-06,9.7648552798150003e-06,9.8618591890376918e-06,2.5642897314807635e-07,1.3313853710820765e-08,3.071281223898081e-06,9.9274088659409751e-06
4.919075826130132e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.064424009416563469,0.49170310192854755,4.9893209040952255e-13,0.0,1.6482751292903992e-12,1.9532402665179971e-35,0.0,0.0,0.0,0.0,0.0,0.19358648167700898,0.004173471704699486,0.070558936568652891,0.00010547975644877284,0.010371927699834515,0.0030643019248308878,1.2659689396541302e-05,0.00014486867974160565,0.00030951850889807375,0.00030557622507388336,6.3825646141641947e-05,6.7139351623303848e-07,1.5557038865925032e-05,9.9888443271663254e-06,9.7935826767287515e-06,9.8912799790579235e-06,2.5655559490870147e-07,1.3320530690474112e-08,3.0861815169643623e-06,9.9408818584154214e-06
4.935128850290686e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.06433369192706731,0.4916457530265651,4.9983262148766935e-13,0.0,1.6487750365340313e-12,1.956829678217938e-35,0.0,0.0,0.0,0.0,0.0,0.19366778187879199,0.0041615570930865547,0.07056986929381398,0.00010517534395335596,0.010391652600349873,0.0030651966912107385,1.2626260350026979e-05,0.00014496397314419764,0.0003102548270627503,0.00030628339912276085,6.4037498002342852e-05,6.696304331708695e-07,1.5612559293680476e-05,1.0018896378803101e-05,9.8222448765289495e-06,9.9206376068896037e-06,2.5668043305204374e-07,1.3327121617035047e-08,3.1010894302677342e-06,9.9543163332816092e-06
4.951181874451241e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.064243757725078843,0.49158872995383712,5.0073085693868977e-13,0.0,1.6492725043765419e-12,1.9604133425056373e-35,0.0,0.0,0.0,0.0,0.0,0.19374868606804188,0.0041497098477794973,0.070580678671917085,0.00010487257615241596,0.010411324816870175,0.0030660817405133468,1.2592983387965698e-05,0.00014505844389724556,0.00031098940263753915,0.00030698873746542299,6.4249110335606836e-05,6.6787482891042463e-07,1.5668020533223277e-05,1.0048887485947744e-05,9.8508420745111985e-06,9.949932263212768e-06,2.5680350336668376e-07,1.3333627213443732e-08,3.1160048675606946e-06,9.9677125086495891e-06
