Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),CO2X(24)
2.164163137716172e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30497289904780805,0.11161294170741017,0.010159498432029615,1.0667114022495116e-14,2.5106778775002569e-10,0.0034581333640319135,7.6237510044756129e-08,2.720245560483898e-12,2.2439327582406907e-21,1.4287745064372702e-07,7.4786886637475227e-24,2.8340759411653466e-07,6.6692729330931118e-19,3.3630027313130751e-17,2.7744605492334604e-17,7.9112697191146863e-20,6.6602916990767356e-13,3.0944434284641721e-17,0.0052608219334417177,0.025323992612121156,3.132409865895954e-10,0.00016506947321180335,3.5863372832611185e-12,5.1667714008974456e-06,0.0017907474114307008,6.5162043235438311e-10,6.8769042419608613e-08,4.8796213095622391e-05,1.7191587037146871e-19
2.1663843786593025e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30495443623955676,0.11161031894258157,0.010151677306025567,1.0712059407787629e-14,2.5187538599568183e-10,0.0034641178804757137,7.642886094847463e-08,2.7273294296305013e-12,2.2556926446877114e-21,1.4298676696600604e-07,7.516606888172986e-24,2.8362684731466253e-07,6.690884429880935e-19,3.3739364840788183e-17,2.7835924157293237e-17,7.9402542746996312e-20,6.6679219822183369e-13,3.10773715535447e-17,0.0052603791045362632,0.025339634507126636,3.1342542443707967e-10,0.00016518636319360383,3.5979178116814244e-12,5.1795567004871223e-06,0.001793799755048126,6.5252409662436619e-10,6.8932982004657226e-08,4.8877771308859304e-05,1.7244258339433362e-19
2.168605619602433e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30493598561061613,0.11160769440944651,0.010143863146550563,1.0757140012313494e-14,2.5268466382577654e-10,0.0034701056284242955,7.6620451788197975e-08,2.7344240995286257e-12,2.2675006592709167e-21,1.4309604565084734e-07,7.554676983185965e-24,2.8384602546532742e-07,6.7125429817168259e-19,3.3848910713796997e-17,2.7927431363259649e-17,7.9693110390967218e-20,6.6755455076907392e-13,3.1210739357123989e-17,0.0052599364181485139,0.025355262468646538,3.1360967549591475e-10,0.00016530320183679036,3.6095226077203804e-12,5.1923588506152823e-06,0.0017968537072157991,6.534278522669617e-10,6.9097107388045081e-08,4.8959366931314268e-05,1.7297022968353582e-19
2.170826860545564e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30491754714803604,0.1116050681100438,0.010136055946106776,1.0802356064819777e-14,2.5349562264010666e-10,0.0034760966040868198,7.6812282481256622e-08,2.7415295746171249e-12,2.2793569410739969e-21,1.4320528672412095e-07,7.5928993940930454e-24,2.8406512862772202e-07,6.7342486395313644e-19,3.3958664981566152e-17,2.8019127234063754e-17,7.9984401005400105e-20,6.6831622683563148e-13,3.1344538632318147e-17,0.0052594938741503941,0.025370876511676674,3.1379373996129893e-10,0.00016541998918842668,3.6211516917062578e-12,5.2051778506174977e-06,0.0017999092660238303,6.543316986490547e-10,6.9261418475232634e-08,4.9040999909147876e-05,1.7349880941343561e-19
2.1730481014886945e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30489912083888082,0.11160244004641014,0.01012825569720481,1.0847707794054277e-14,2.5430826383730573e-10,0.0034820908036762863,7.7004352944807508e-08,2.748645859329792e-12,2.2912616293625289e-21,1.4331449021162468e-07,7.6312745668792626e-24,2.8428415686095948e-07,6.7560014542452233e-19,3.4068627693126658e-17,2.811101189329221e-17,8.0276415472314171e-20,6.6907722571131931e-13,3.1478770316912834e-17,0.0052590514724139576,0.025386476651196026,3.1397761802817123e-10,0.00016553672529547172,3.6328050833976722e-12,5.2180136998414837e-06,0.0018029664295642488,6.552356351549789e-10,6.9425915170920937e-08,4.9122670188586866e-05,1.7402832274500244e-19
2.175269342431825e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30488070667023742,0.1115998102205791,0.010120462392368065,1.0893195428765574e-14,2.5512258881423287e-10,0.0034880882234114949,7.719666309575793e-08,2.7557729580927047e-12,2.3032148636792811e-21,1.4342365613904715e-07,7.6698029485640066e-24,2.8450311022403518e-07,6.7778014767641016e-19,3.4178798896934337e-17,2.8203085464262756e-17,8.0569154673237498e-20,6.6983754669134601e-13,3.1613435349984416e-17,0.0052586092128114855,0.025402062902157952,3.1416130989115794e-10,0.00016565341020486683,3.6444828028514235e-12,5.2308663975983485e-06,0.0018060251959320539,6.5613966116579869e-10,6.9590597379805667e-08,4.9204377715952454e-05,1.7455876981570668e-19
2.177490583374956e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30486230462920444,0.11159717863458257,0.01011267602412665,1.0938819197701706e-14,2.5593859896681209e-10,0.0034940888595143211,7.7389212850872581e-08,2.7629108753278988e-12,2.3152167837125783e-21,1.4353278453202018e-07,7.7084849867111544e-24,2.8472198877587967e-07,6.7996487579855358e-19,3.4289178641143523e-17,2.8295348070065765e-17,8.0862619489439265e-20,6.705971890737731e-13,3.1748534671287235e-17,0.0052581670952153584,0.025417635279502426,3.1434481574483289e-10,0.00016577004396349117,3.6561848709631097e-12,5.2437359431477081e-06,0.0018090855632238332,6.5704377603786031e-10,6.9755465007495644e-08,4.928612243762051e-05,1.7509015078436542e-19
2.1797118243180865e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30484391470290095,0.1115945452904497,0.010104896585022236,1.0984579329610691e-14,2.5675629568935804e-10,0.0035000927082118874,7.7582002126691678e-08,2.7700596154504234e-12,2.3272675294017753e-21,1.4364187541607781e-07,7.7473211298225618e-24,2.8494079257531909e-07,6.8215433487935062e-19,3.4399766973388631e-17,2.8387799833530288e-17,8.1156810801742173e-20,6.7135615216152409e-13,3.1884069221744375e-17,0.0052577251194981557,0.025433193798146275,3.1452813578344785e-10,0.00016588662661809741,3.667911307554545e-12,5.2566223358091706e-06,0.0018121475295387658,6.579479791501144e-10,6.9920517958826926e-08,4.9367904300053883e-05,1.7562246584412757e-19
2.181933065261217e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3048255368784657,0.11159191019020671,0.0100971240676078,1.1030476053239382e-14,2.5757568037461153e-10,0.0035060997657364638,7.7775030839532096e-08,2.7772191828684918e-12,2.3393672409321672e-21,1.4375092881665891e-07,7.7863118273203818e-24,2.8515952168107633e-07,6.8434853000584515e-19,3.4510563940795552e-17,2.8480440877197103e-17,8.1451729490529917e-20,6.7211443526227408e-13,3.202003994342406e-17,0.005257283285532645,0.025448738472983724,3.1471127020086232e-10,0.0001660031582153742,3.6796621322224953e-12,5.2695255748729233e-06,0.0018152110929786536,6.5885226990059236e-10,7.0085756137615138e-08,4.9449723249801744e-05,1.7615571511047312e-19
2.184154306204348e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3048071711430535,0.11158927333587769,0.010089358464445478,1.1076509597332867e-14,2.583967544140366e-10,0.0035121100283244857,7.7968298905528073e-08,2.784389581984765e-12,2.3515160586886584e-21,1.4385994475912607e-07,7.8254575293746405e-24,2.853781761517886e-07,6.8654746626398589e-19,3.4621569590078048e-17,2.8573271323378089e-17,8.1747376435828668e-20,6.7287203768754655e-13,3.2156447779323845e-17,0.0052568415931917465,0.025464269318890689,3.1489421919083064e-10,0.0001661196388019718,3.6914373653129484e-12,5.2824456595905295e-06,0.0018182762516474353,6.5975664766265174e-10,7.0251179448653922e-08,4.9531579233482593e-05,1.7668989873321407e-19
2.1863755471474785e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30478881748383235,0.11158663472948477,0.010081599768105009,1.1122680190635044e-14,2.592195191980289e-10,0.0035181234922158728,7.8161806240659391e-08,2.7915708171972966e-12,2.3637141232221567e-21,1.4396892326877821e-07,7.8647586867773769e-24,2.8559675604602364e-07,6.8875114873879701e-19,3.4732783967607087e-17,2.8666291294150537e-17,8.204375251736756e-20,6.7362895875207427e-13,3.2293293673214266e-17,0.0052564000423485028,0.025479786350727871,3.1507698294697186e-10,0.00016623606842445008,3.7032370272026618e-12,5.2953825892014884e-06,0.0018213430036508099,6.6066111180598886e-10,7.0416787796851721e-08,4.9613472197776019e-05,1.7722501688443425e-19
2.188596788090609e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30477047588798983,0.11158399437304746,0.01007384797116706,1.1168988061887415e-14,2.600439761154577e-10,0.003524140153655517,7.8355552760690147e-08,2.7987628928975091e-12,2.3759615753221414e-21,1.4407786437082341e-07,7.9042157512150856e-24,2.8581526142224811e-07,6.9095958251400641e-19,3.484420711926155e-17,2.8759500911320512e-17,8.2340858614447567e-20,6.743851977751716e-13,3.2430578569976504e-17,0.0052559586328761463,0.025495289583334104,3.1525956166254841e-10,0.00016635244712927049,3.7150611376269936e-12,5.3083363629581688e-06,0.0018244113470969692,6.6156566172192826e-10,7.058258108618316e-08,4.9695402089444759e-05,1.777610697082929e-19
2.1908180290337398e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30475214634273035,0.11158135226858283,0.010066103066222045,1.1215433439828753e-14,2.6087012655383023e-10,0.0035301600088927555,7.8549538381189103e-08,2.8059658134709057e-12,2.3882585559911691e-21,1.4418676809038916e-07,7.9438291751737795e-24,2.8603369233883846e-07,6.9317277267216172e-19,3.495583909048125e-17,2.8852900296431376e-17,8.2638695605986571e-20,6.7514075408024257e-13,3.2568303415483788e-17,0.0052555173646480656,0.025510779031528735,3.154419555305652e-10,0.0001664687749628173,3.7269097163450777e-12,5.3213069800974254e-06,0.0018274812800963579,6.6247029680410569e-10,7.0748559220447454e-08,4.9777368855326472e-05,1.7829805733202059e-19
2.1930392699768704e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3047338288352765,0.11157870841810542,0.010058365045870842,1.1262016553194652e-14,2.6169797189918414e-10,0.0035361830541816869,7.8743763017519547e-08,2.8131795832966273e-12,2.4006052064609141e-21,1.4429563445251656e-07,7.9835994119997515e-24,2.8625204885407479e-07,6.953907242945504e-19,3.5067679926234357e-17,2.8946489570765162e-17,8.293726437048967e-20,6.7589562699506722e-13,3.2706469156675984e-17,0.0052550762375378228,0.025526254710110215,3.1562416474386139e-10,0.00016658505197142276,3.7387827836170005e-12,5.3342944398242619e-06,0.0018305528007618525,6.63375016429774e-10,7.091472210406003e-08,4.9859372442338253e-05,1.7883597990668217e-19
2.195260510920001e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30471552335286478,0.11157606282362781,0.010050633902721973,1.1308737630718108e-14,2.6252751353647882e-10,0.0035422092857799103,7.8938226584891868e-08,2.82040420674915e-12,2.4130016681310328e-21,1.44404463482184e-07,8.0235269156705653e-24,2.8647033102616689e-07,6.9761344246152491e-19,3.5179729671143578e-17,2.9040268855387325e-17,8.32365657861586e-20,6.7664981585063426e-13,3.2845076741274936e-17,0.0052546352514191092,0.025541716633861657,3.158061894951131e-10,0.00016670127820134551,3.7506803595740971e-12,5.3472987413334184e-06,0.0018336259072081001,6.6427981997878223e-10,7.1081069641275104e-08,4.9941412797457243e-05,1.7937483759413123e-19
