Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),COX(50),CHOX(53),CO2X(24)
2.7032803674156277e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44423672375093193,0.08647231187527056,0.010174574669685488,5.7114365061707096e-05,0.0013167066020233124,0.045904174052510474,0.023568617280786016,4.784087568554532e-05,1.2110411616870356e-10,0.0020350523753999237,5.341957180181022e-11,0.0005108160624714325,2.7719005743089643e-09,1.3174849744343818e-06,2.189473397082596e-09,1.2776660938545465e-10,1.5666024249619885e-06,1.6044680849116605e-05,0.006231127788307643,0.0002897322927461198,0.0005019191612554184,8.108736107861644e-08,5.151249215520281e-09,1.6935988524918695e-08,2.640414524332445e-10,2.99317184722554e-06,0.00012118435442458127,1.5897992140774513e-06,5.9313768932960055e-08,0.0009217750721269874,2.5390996087058243e-05,7.325152977821917e-08,2.519688211335293e-10,3.044870504363816e-10
2.704268074441367e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44423790094099586,0.08646467117783868,0.010171544049620188,5.7119199132138825e-05,0.0013167569697507678,0.045920349123524586,0.02357631747661296,4.7832264176503134e-05,1.2122768306731848e-10,0.0020348702157908026,5.341302084178473e-11,0.0005108492389736685,2.7718116205780685e-09,1.3161739971031328e-06,2.1903311530575914e-09,1.2780427360148132e-10,1.562676340509347e-06,1.6050590228709868e-05,0.006230595500685164,0.00028803847556886734,0.0005020028799140417,8.062661451772521e-08,5.149253897305558e-09,1.693418870901613e-08,2.6544002787583616e-10,3.0090220052769162e-06,0.00012180610709598963,1.5903008922163376e-06,5.931609519467214e-08,0.0009221025992003076,2.5400347944229412e-05,7.32756563868443e-08,2.520897054737597e-10,3.0355739731252993e-10
2.7052557814671062e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4442390686191133,0.08645703142233456,0.010168514316260164,5.712399709445566e-05,0.001316806592816915,0.04593652311193248,0.023584011935858618,4.782365434415374e-05,1.2135131811453915e-10,0.002034688085279702,5.340647127891981e-11,0.0005108824102272225,2.7717227104303253e-09,1.3148624986227907e-06,2.191188447909507e-09,1.2784191289773688e-10,1.5587544376849005e-06,1.6056498510969348e-05,0.006230063160516799,0.00028634943415962446,0.0005020865685677425,8.016704604628103e-08,5.147259376230277e-09,1.693239114751222e-08,2.6684948239763126e-10,3.024994087461212e-06,0.00012243259540191295,1.5908020605638105e-06,5.931838701470823e-08,0.0009224300868145403,2.540969806482206e-05,7.329976372399019e-08,2.522105252028205e-10,3.026297827159447e-10
2.7062434884928455e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44424022671473967,0.08644939260896664,0.010165485469480966,5.712875903151333e-05,0.001316855473018456,0.04595269601674905,0.02359170062201087,4.781504619195117e-05,1.214750212785044e-10,0.002034505984003584,5.33999231185565e-11,0.0005109155762449389,2.7716338441081826e-09,1.313550483554483e-06,2.192045278179959e-09,1.2787952716581796e-10,1.5548367652109466e-06,1.6062405696109136e-05,0.006229530766936035,0.00028466520325632006,0.000502170227127302,7.970866610264309e-08,5.145265652391493e-09,1.693059585676792e-08,2.6826990195375916e-10,3.04108903899527e-06,0.00012306385533788168,1.5913027161089664e-06,5.932064446564065e-08,0.0009227575347838089,2.541904644917468e-05,7.332385166285607e-08,2.523312797917636e-10,3.0170423049721664e-10
2.7072311955185848e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44424137515713885,0.08644175473794327,0.010162457509159017,5.713348502707329e-05,0.001316903612169518,0.04596886783697765,0.023599383498449665,4.78064397233693e-05,1.215987925270493e-10,0.002034323912100268,5.3393376366063364e-11,0.0005109487370397132,2.771545021855487e-09,1.3122379564855751e-06,2.1929016403997483e-09,1.2791711629657279e-10,1.5509233721200624e-06,1.6068311784344005e-05,0.006228998319072551,0.00028298581768342317,0.0005022538555031985,7.925148515581143e-08,5.143272725888493e-09,1.692880285321683e-08,2.6970137282771316e-10,3.05730780829833e-06,0.0001236999230062939,1.5918028558427281e-06,5.932286762080186e-08,0.0009230849429213668,2.5428393097627245e-05,7.334792007626026e-08,2.524519687099747e-10,3.0078076459198744e-10
2.708218902544324e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4442425138753931,0.08643411780947255,0.01015943043517162,5.7138175165805696e-05,0.0013169510121017077,0.04598503857161001,0.023607060528452222,4.779783494190189e-05,1.217226318277042e-10,0.002034141869708419,5.338683102683683e-11,0.0005109818926244879,2.771456243917487e-09,1.310924922029836e-06,2.1937575310893365e-09,1.279546801801031e-10,1.5470143077540396e-06,1.6074216775889508e-05,0.006228465816052286,0.00028131131234670917,0.0005023374536056588,7.87955137024813e-08,5.1412805968228154e-09,1.6927012153356136e-08,2.7114398160323133e-10,3.0736513468322368e-06,0.0001243408346114048,1.592302476771582e-06,5.932505655429272e-08,0.0009234123110396155,2.543773801052109e-05,7.337196883666056e-08,2.525725914334269e-10,2.9985940906767377e-10
2.7092066095700633e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44424364279841416,0.0864264818237622,0.010156404247396967,5.714282953329225e-05,0.0013169976746641614,0.04600120821962622,0.023614731675198362,4.77892318510627e-05,1.2184653914769428e-10,0.002033959856967556,5.338028710630126e-11,0.000511015043012255,2.771367510540834e-09,1.3096113848275994e-06,2.1946129467593275e-09,1.2799221870576636e-10,1.5431096217627186e-06,1.6080120670962275e-05,0.006227933256997542,0.0002796417222278672,0.0005024210213446177,7.834076226743786e-08,5.1392892652982365e-09,1.6925223773750783e-08,2.725978151763488e-10,3.0901206090286547e-06,0.00012498662645407123,1.5928015759042033e-06,5.932721134098397e-08,0.0009237396389501272,2.544708118819865e-05,7.339599781616654e-08,2.526931474358234e-10,2.9894018801257576e-10
2.7100955458932288e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44424465039532496,0.08641961024285427,0.010153681436011712,5.7146987951084966e-05,0.0013170390420617233,0.046015759972931725,0.02362163064657959,4.7781490517715003e-05,1.219581138648816e-10,0.0020337960709683705,5.337439879530597e-11,0.0005110448739285809,2.7712876888067925e-09,1.3084287753541029e-06,2.1953824118290242e-09,1.2802598160584365e-10,1.539599189163731e-06,1.6085433239223145e-05,0.0062274539052104986,0.0002781433226013635,0.0005024962062742323,7.793253781168004e-08,5.137497748911332e-09,1.692361622967134e-08,2.739159346562073e-10,3.105051229857365e-06,0.00012557204179187523,1.593250316516183e-06,5.932912151599285e-08,0.0009240341995355837,2.5455488564782786e-05,7.341760687909256e-08,2.5280159035368997e-10,2.9811473399462066e-10
2.7109844822163943e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4442456499483446,0.08641273942590078,0.01015095934227328,5.7151117527908916e-05,0.0013170798150746559,0.0460303108444828,0.023628524795656584,4.7773750559228766e-05,1.2206974362660988e-10,0.002033632309203087,5.3368511641861187e-11,0.0005110747006554319,2.7712079035501704e-09,1.3072457658568205e-06,2.1961514867422343e-09,1.2805972379412694e-10,1.536092380139096e-06,1.6090744919676033e-05,0.006226974506676903,0.0002766489582906007,0.0005025713664702549,7.752531782468961e-08,5.135706878697392e-09,1.6922010590637594e-08,2.752432805967481e-10,3.1200851618778326e-06,0.00012616146618806348,1.5936986298852865e-06,5.9331004149033784e-08,0.0009243287272609998,2.546389453637204e-05,7.343919972196176e-08,2.529099784183522e-10,2.972910461572182e-10
2.7118734185395597e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4442466414053384,0.08640586937305206,0.010148237966094703,5.7155218328057474e-05,0.001317119995087593,0.046044860833511884,0.023635414095407314,4.7766011978207715e-05,1.2218142840834876e-10,0.0020334685717751815,5.3362625649980224e-11,0.0005111045232023784,2.7711281549537117e-09,1.30606235977439e-06,2.196920168936731e-09,1.2809344518842294e-10,1.5325892315181937e-06,1.609605571248066e-05,0.00622649506074969,0.00027515865493247887,0.0005026465018665461,7.711911002902957e-08,5.1339166547367e-09,1.6920406868852942e-08,2.765799169235844e-10,3.1352231064478664e-06,0.0001267549262850087,1.5941465138539405e-06,5.9332859296301665e-08,0.0009246232219873713,2.5472299103218792e-05,7.346077625090265e-08,2.5301831125174527e-10,2.9646914222207064e-10
2.712762354862725e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4442476247140893,0.08639900008445787,0.010145517307389603,5.71592904164284e-05,0.001317159583496783,0.04605940993924375,0.023642298518760124,4.775827477726909e-05,1.2229316818536576e-10,0.0020333048587886852,5.335674082369527e-11,0.0005111343415790227,2.7710484432010925e-09,1.3048785605632747e-06,2.1976884558451213e-09,1.281271457060579e-10,1.5290897803289259e-06,1.610136561779717e-05,0.006226015566779635,0.000273672438199323,0.0005027216123967867,7.67139221629748e-08,5.1321270771110175e-09,1.6918805076569113e-08,2.7792590775340296e-10,3.150465766558425e-06,0.00012735244877453303,1.5945939662561947e-06,5.933468701449844e-08,0.0009249176835752026,2.5480702265576457e-05,7.348233637186362e-08,2.5312658846683805e-10,2.9564903990405643e-10
2.7136512911858907e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4442485998223023,0.08639213156026745,0.010142797366072173,5.716333385852506e-05,0.0013171985817101153,0.046073958160895656,0.02364917803859727,4.7750538959043615e-05,1.2240496293272593e-10,0.002033141170348183,5.335085716705751e-11,0.0005111641557949968,2.770968768476919e-09,1.3036943716978583e-06,2.198456344895168e-09,1.2816082526387912e-10,1.5255940637967194e-06,1.6106674635786046e-05,0.006225536024115407,0.0002721903337952761,0.0005027966979945819,7.630976197601619e-08,5.130338145903543e-09,1.691720522606979e-08,2.792813173451587e-10,3.1658138466598686e-06,0.0001279540603944986,1.595040984945918e-06,5.933648736084331e-08,0.0009252121118845227,2.5489104023699556e-05,7.350387999063306e-08,2.532348096858264e-10,2.9483075703631224e-10
2.7144494036777834e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4442494682727438,0.08638596545388638,0.010140355935969928,5.71669398254942e-05,0.0013172330937662893,0.046087019217132374,0.02365535046858884,4.774359470006674e-05,1.2250538227092216e-10,0.0020329942271767086,5.3345575651452883e-11,0.0005111909203152546,2.770897265927025e-09,1.3026308439197353e-06,2.1991454365974093e-09,1.2819104580975582e-10,1.5224587219493369e-06,1.6111440468360633e-05,0.006225105434953121,0.0002708631827365648,0.0005028640906986347,7.594777731524532e-08,5.128732543020503e-09,1.69157704989306e-08,2.805063203375457e-10,3.179684187324334e-06,0.0001284977103617844,1.595441959864168e-06,5.933808049107346e-08,0.0009254764295860578,2.549664616664072e-05,7.352320833171384e-08,2.533319257803941e-10,2.9409764401556367e-10
