Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(40)
8.180775173050985e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33505356776795764,0.11615596977064777,0.022821567693054285,0.0,2.2823325953840166e-25,5.0531043405493226e-12,0.0,2.9355246387555e-19,0.0,8.272757643758149e-10,4.8871446810719097e-37,8.1716955628178405e-10,2.374924846465783e-27,2.6249519942540357e-32,0.0,0.0,3.7251850312817415e-23,3.559644627159422e-28,0.002513995432041915
8.319919856771103e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33502200413629524,0.11612440612496662,0.022821567693054285,0.0,2.4401886991633487e-25,5.2243791446217431e-12,0.0,3.0875330356503009e-19,0.0,8.4129442859846579e-10,5.3969173708319185e-37,8.3084567092668964e-10,2.5350742142267861e-27,2.8547182701386463e-32,0.0,0.0,3.9168737794674723e-23,3.8656295367828249e-28,0.0025455590637043805
8.459064540491221e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33499074520647248,0.11609314718112615,0.022821567693054285,0.0,2.6060523312431618e-25,5.3984488373082577e-12,0.0,3.2446925036794533e-19,0.0,8.5531214256509404e-10,5.9498939532179083e-37,8.4451524553937481e-10,2.7030088644033751e-27,3.1002621935864715e-32,0.0,0.0,4.1149769319621372e-23,4.1920631275033267e-28,0.0025768179935271264
8.598209224211339e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33495978803431875,0.11606218999495568,0.022821567693054285,0.0,2.7801865951230889e-25,5.5753109887124898e-12,0.0,3.4070885214995516e-19,0.0,8.6932893999947791e-10,6.5489149200313622e-37,8.5817831870342716e-10,2.8789631151227274e-27,3.3623792201761764e-32,0.0,0.0,4.3195969320499612e-23,4.5399305655921646e-28,0.0026077751656808095
8.737353907931457e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33492912970415883,0.11603153165077984,0.022821567693054285,0.0,2.962858666656221e-25,5.7549631957071687e-12,0.0,3.5748065634769923e-19,0.0,8.8334485430288991e-10,7.1969547248043662e-37,8.7183492862639134e-10,3.0631739481214217e-27,3.6418908416239814e-32,0.0,0.0,4.5308360914265718e-23,4.9102464024050588e-28,0.002638433495840743
8.876498591651575e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33489876732854074,0.11600116926114661,0.022821567693054285,0.0,3.1543397877248333e-25,5.9374030815933544e-12,0.0,3.7479321003696082e-19,0.0,8.973599185570787e-10,7.8971257284367123e-37,8.8548511314343061e-10,3.2558809801269129e-27,3.9396449894454455e-32,0.0,0.0,4.7487965912395066e-23,5.304054898213681e-28,0.0026687958714589231
9.015643275371693e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33486869804796571,0.11597109996655727,0.022821567693054285,0.0,3.3549052599950968e-25,6.1226282957629523e-12,0.0,3.9265506000018306e-19,0.0,9.1137416552722949e-10,8.6526821742524679e-37,8.9912890972096352e-10,3.4573264345518866e-27,4.2565164382165332e-32,0.0,0.0,4.973580483117867e-23,5.7224303432185758e-28,0.0026988651520339977
9.154787959091811e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33483891903061114,0.11594132093518925,0.022821567693054285,0.0,3.5648344383706834e-25,6.3106365133485846e-12,0.0,4.1107475279649229e-19,0.0,9.2538762766499986e-10,9.4670240495275918e-37,9.1276635546039998e-10,3.6677551120910375e-27,4.5934072103697012e-32,0.0,0.0,5.2052896902403268e-23,6.1664773884534055e-28,0.002728644169388574
9.293932642811929e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33480942747206621,0.11591182936263159,0.022821567693054285,0.0,3.7844107249568886e-25,6.5014254348954485e-12,0.0,4.3006083482736352e-19,0.0,9.3940033711142197e-10,1.0343701144169689e-36,9.2639748710169801e-10,3.8874143632520153e-27,4.9512469783573419e-32,0.0,0.0,5.4440260083355793e-23,6.6373313592732839e-28,0.0027581357279335083
9.433077326532047e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33478022059505497,0.11588262247160842,0.022821567693054285,0.0,4.0139215625092545e-25,6.6949927860114185e-12,0.0,4.49621852406602e-19,0.0,9.5341232569993049e-10,1.1286416914625956e-36,9.4002234102709373e-10,4.11655405902834e-27,5.330993469461051e-32,0.0,0.0,5.6898911067478708e-23,7.1361585855885213e-28,0.0027873426049446828
