Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25)
3.777992877811375e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33149624211971163,0.11330744830974049,0.022467773845952319,0.0,3.3969682420044751e-07,6.3112728863179695e-08,7.1183674635211774e-07,5.7477087778920588e-17,6.0096891917031224e-25,7.0809657688666883e-09,1.7692647672528864e-32,3.9308288608689769e-09,3.820755062748657e-24,3.5229155354989047e-14,2.7349276295972346e-18,1.2576507137622803e-20,1.3971551580824468e-07,1.6526396857202997e-24,0.0053614205544152381,0.00070610436921068637,4.3290841655722836e-11,3.2785925127355911e-06,3.0017512241317825e-15,4.9957819988546582e-11,2.2539502650888517e-07,1.3924977550079464e-07,6.6312251860786947e-11,1.5275978397381534e-07
3.789578780183829e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33149081556522964,0.11330413077667767,0.02246671528531153,0.0,3.447705272666044e-07,6.3777793191894752e-08,7.1709315647958607e-07,5.8396178447030557e-17,6.1047453610865471e-25,7.1371734952008556e-09,1.826232719170789e-32,3.9442829352880697e-09,3.9116943314127927e-24,3.5685347359524148e-14,2.7673794512671188e-18,1.2719592651686976e-20,1.4107198222824949e-07,1.6927718671560703e-24,0.005364732250968395,0.00070820837457114157,4.3402313321512416e-11,3.288104155844224e-06,3.00949313300396e-15,5.0083898493099092e-11,2.253063731686545e-07,1.4006598877552014e-07,6.7132924299920154e-11,1.5337209107694558e-07
3.8011646825562835e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33148541630884815,0.11330084012584715,0.022465656856183739,0.0,3.4989739968655077e-07,6.4446555438015079e-08,7.2236470907152161e-07,5.9329915268811217e-17,6.2009298088647399e-25,7.1938158512452681e-09,1.8850192027439595e-32,3.9577396007725597e-09,4.0047567168561528e-24,3.614594030726607e-14,2.800076792248123e-18,1.2863728176414701e-20,1.4243599316673464e-07,1.7338590379820068e-24,0.0053680170500721505,0.0007103120413618168,4.3513771095641905e-11,3.2975543871435194e-06,3.0172340350356604e-15,5.020886119734019e-11,2.2521736399257403e-07,1.4088188688959454e-07,6.7959178400296371e-11,1.5398439519566375e-07
3.812750584928738e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33148004413469651,0.11329757614097929,0.022464598558514435,0.0,3.5507765906182436e-07,6.5118999152183007e-08,7.2765136735262026e-07,6.0278528488123025e-17,6.2982511191030958e-25,7.2508951818931607e-09,1.9456815373588355e-32,3.9711986880750583e-09,4.0999902382891677e-24,3.6610961245899687e-14,2.8330202720218067e-18,1.3008916713334203e-20,1.4380753979990936e-07,1.7759234859452139e-24,0.0053712751679955541,0.00071241536954748483,4.36252148178026e-11,3.3069428474022235e-06,3.0249739179537268e-15,5.0332708318347453e-11,2.2512802275758897e-07,1.416974309326648e-07,6.8790991394728869e-11,1.5459670752302875e-07
3.824336487301192e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33147469882863562,0.11329433860754347,0.022463540392250448,0.0,3.6031151957937343e-07,6.5795107516772067e-08,7.3295309514842613e-07,6.1242251672530244e-17,6.3967178983745119e-25,7.308413828042252e-09,2.0082788091158901e-32,3.9846600272478097e-09,4.197443943462707e-24,3.7080437301901324e-14,2.8662105056630157e-18,1.3155161256879382e-20,1.4518661290553755e-07,1.818988002586283e-24,0.0053745068192686913,0.00071451835909332325,4.3736644328208145e-11,3.3162691851014244e-06,3.0327127695348452e-15,5.0455440141944921e-11,2.2503837267871387e-07,1.4251258215859799e-07,6.9628339834599712e-11,1.5520903919171175e-07
3.8359223896736465e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33146938017824301,0.11329112731273411,0.022462482357339962,0.0,3.6559919197643874e-07,6.6474863349146568e-08,7.3826985688102291e-07,6.2221321752613949e-17,6.496338775604378e-25,7.366374126464219e-09,2.0728719233715794e-32,3.9981234476651497e-09,4.2971679288265654e-24,3.755439568148502e-14,2.8996481038400733e-18,1.3302464794509032e-20,1.4657320286496889e-07,1.8630758940205981e-24,0.0053777122166966795,0.00071662100996497131,4.3848059467629453e-11,3.3255330564891342e-06,3.0404505776081712e-15,5.0577057022302064e-11,2.2494843641650003e-07,1.4332730199266677e-07,7.0471199597798508e-11,1.5582140127090276e-07
3.847508292046101e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33146408797279997,0.11328794204545674,0.022461424453732462,0.0,3.7094088350642404e-07,6.7158249105016999e-08,7.436016175645968e-07,6.3215979061581807e-17,6.5971224019153763e-25,7.4247784096748757e-09,2.1395236587624791e-32,4.0115887780460403e-09,4.3992133600283939e-24,3.8032863671575886e-14,2.9333336728147133e-18,1.3450830306825139e-20,1.4796729966524273e-07,1.9082109919306533e-24,0.0053808915713735419,0.00071872332212858422,4.3959460077429425e-11,3.3347341256327142e-06,3.0481873300579553e-15,5.0697559381552926e-11,2.2485823608452676e-07,1.4414155203867638e-07,7.1319545896900986e-11,1.5643380476332501e-07
3.859094194418555e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3314588220032767,0.11328478259631419,0.022460366681378786,0.0,3.7633679790576592e-07,6.7845246881890076e-08,7.4894834280087575e-07,6.4226467375173121e-17,6.6990774504720626e-25,7.4836290058051736e-09,2.2082987227503655e-32,4.0250558464767252e-09,4.5036324927574769e-24,3.8515868640810137e-14,2.9672678144417811e-18,1.3600260767690241e-20,1.4936889290126471e-07,1.9544176647729598e-24,0.0053840450926959695,0.00072082529555088772,4.4070845999597131e-11,3.3438720644691192e-06,3.0559230148261039e-15,5.0816947709435608e-11,2.2476779325691556e-07,1.4495529408603205e-07,7.2173353287600887e-11,1.570462606023556e-07
3.8706800967910094e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33145358206231929,0.11328164875759306,0.022459309040231058,0.0,3.8178713536181797e-07,6.8535838422612061e-08,7.5430999877445183e-07,6.5253033951859851e-17,6.8022126163252585e-25,7.5429282384729317e-09,2.2792638087278788e-32,4.0385244804334608e-09,4.6104786939376645e-24,3.9003438040562013e-14,3.0014511261686816e-18,1.3750759144343856e-20,1.5077797177805495e-07,2.0017208292031306e-24,0.0053871729883769766,0.00072292693019923126,4.4182217076781919e-11,3.3529465528529317e-06,3.0636576199147488e-15,5.0935222562950259e-11,2.2467712897586066e-07,1.4576849011674323e-07,7.3032595677394254e-11,1.5765877964925151e-07
3.882265999163464e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33144836794423549,0.11327854032325009,0.022458251530242706,0.0,3.8729209248175951e-07,6.9230005119003586e-08,7.5968655224798905e-07,6.6295929573341997e-17,6.9065366162562038e-25,7.6026784266554407e-09,2.352487654725373e-32,4.051994506805346e-09,4.7198064632738997e-24,3.9495599405997494e-14,3.0358842010346037e-18,1.3902328397517912e-20,1.5219452511306743e-07,2.0501459617227872e-24,0.0053902754644594509,0.00072502822604163827,4.4293573152326839e-11,3.3619572786021862e-06,3.0713911333887656e-15,5.1052384566035674e-11,2.2458626375917318e-07,1.4658110231236254e-07,7.389724633448109e-11,1.5827137269048016e-07
3.893851901535918e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33144317944498136,0.11327545708889872,0.022457194151368418,0.0,3.9285186226254358e-07,6.99277280155847e-08,7.6507797055732588e-07,6.7355408585337661e-17,7.0120581886204993e-25,7.6628818845628354e-09,2.4280411037604434e-32,4.0654657519172309e-09,4.8316714551567313e-24,3.9992380357154625e-14,3.070567627669509e-18,1.4054971481551237e-20,1.5361854133857998e-07,2.0997191105520041e-24,0.0053933527253295713,0.00072712918304685846,4.4404914070301934e-11,3.3709039375419393e-06,3.0791235433782672e-15,5.1168434409262468e-11,2.2449521760783465e-07,1.4739309306085616e-07,7.4767277896929479e-11,1.5888405043515267e-07
