Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),COX(50)
3.3081867490966664e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32617916213696685,0.11291791406998031,0.01996735022902105,0.0,3.1352048225628309e-06,8.2819936848692232e-05,5.159748156871231e-05,6.922115809473244e-10,1.4440182642950447e-20,6.7907004896590954e-06,4.202519113141141e-21,6.0577771707124894e-08,7.8617068296609054e-17,5.4123146326067483e-10,3.9262988017547297e-15,1.0280235368863281e-17,3.0598112481601385e-09,3.9762562366684293e-16,0.0056932816417482454,0.0056536206398156048,7.9095295668515148e-08,7.7764101293497872e-08,3.9802217298077707e-05,3.1408260574529567e-11,1.3442314554605597e-07,1.6658012337282711e-07,3.907586521135792e-11,1.5616564722369281e-10,1.2384333857109518e-06,4.1470114092860266e-11
3.312778542834271e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32617212656836453,0.11291788603649362,0.01996371410504106,0.0,3.1505873388422175e-06,8.3065030146361392e-05,5.1735024809446339e-05,6.9608372172482219e-10,1.4526873984927723e-20,6.8058314894786121e-06,4.2465717819367094e-21,6.0646944005446921e-08,7.915569539241829e-17,5.4391864036156505e-10,3.941426861359842e-15,1.0323007248871878e-17,3.069349688409005e-09,4.0087110328875637e-16,0.005693156768534542,0.0056607397763995719,7.9194882528428e-08,7.7936540219642781e-08,3.9839466448458955e-05,3.1464267750959843e-11,1.3454893652704873e-07,1.6657651684685906e-07,3.9167230932420232e-11,1.5691907346028195e-10,1.2420942467518832e-06,4.1579765038789724e-11
3.317370336571876e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32616509285526596,0.11291785780164255,0.019960078800008187,0.0,3.1660228991121137e-06,8.3310421077442446e-05,5.1872738132663038e-05,6.9997207231306358e-10,1.4613958583281057e-20,6.8209714269421707e-06,4.2910248100838152e-21,6.071606394432592e-08,7.9697285639160585e-17,5.4661516697192733e-10,3.9565891377067041e-15,1.0365899577373566e-17,3.0789016486509895e-09,4.0413880366433598e-16,0.0056930319177274638,0.0056678570518140054,7.9294441989422581e-08,7.8109102334735934e-08,3.9876694477915322e-05,3.152029219082727e-11,1.3467465322430567e-07,1.6657290764035736e-07,3.9258690703040011e-11,1.5767503739081083e-10,1.2457594661212311e-06,4.1689548149112745e-11
3.3219621303094804e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3261580609971958,0.11291782936550766,0.019956444313671471,0.0,3.1815116111958063e-06,8.3556109400068375e-05,5.2010621483392593e-05,7.0387667584998591e-10,1.4701437659451426e-20,6.8361202801212311e-06,4.3358812646407925e-21,6.0785131662235713e-08,8.0241851145551917e-17,5.4932106144731977e-10,3.9717856535799579e-15,1.0408912540631949e-17,3.0884671202085903e-09,4.0742884695061439e-16,0.0056929070893232013,0.0056749724665081068,7.9393974037979039e-08,7.8281787488522276e-08,3.9913901420729058e-05,3.1576333933345818e-11,1.3480029572256484e-07,1.6656929572665424e-07,3.9350244483647958e-11,1.5843354393274165e-10,1.2494290399330502e-06,4.1799463372645765e-11
3.326553924047085e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32615103099367837,0.11291780072816944,0.019952810645780066,0.0,3.1970535829768372e-06,8.3802094872378435e-05,5.2148674806648164e-05,7.0779757550875447e-10,1.4789312436991051e-20,6.8512780271175436e-06,4.38114423160998e-21,6.0854147297074321e-08,8.0789404050849657e-17,5.5203634214764224e-10,3.9870164317345597e-15,1.0452046325011334e-17,3.0980460943946404e-09,4.1074135580339783e-16,0.0056927822833179494,0.005682086020930832,7.9493478660598768e-08,7.845459553257007e-08,3.9951087311007332e-05,3.1632392894724416e-11,1.3492586410756147e-07,1.6656568107796138e-07,3.944189223582818e-11,1.5919459801893279e-10,1.253102964301958e-06,4.1909510658181605e-11
3.3311457177846897e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32614400284423922,0.11291777188970846,0.019949177796083198,0.0,3.2126489223988638e-06,8.4048377252517642e-05,5.2286898047425792e-05,7.1173481449762501e-10,1.4877584141563883e-20,6.8664446460630857e-06,4.4268168160307662e-21,6.0923110986165955e-08,8.1339956524867774e-17,5.5476102743709719e-10,4.00228149489574e-15,1.0495301116976855e-17,3.1076385625123523e-09,4.1407645337861238e-16,0.0056926574997079081,0.0056891977155308854,7.9592955843864169e-08,7.8627526316870362e-08,3.9988252182689875e-05,3.1688469113768545e-11,1.350513584625817e-07,1.6656206366851257e-07,3.9533633920052059e-11,1.599582045670174e-10,1.2567812353431273e-06,4.201968995452719e-11
3.3357375115222944e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32613697654840351,0.11291774285020519,0.01994554576433023,0.0,3.2282977374654686e-06,8.4294956298636378e-05,5.242529115070462e-05,7.1568843605981978e-10,1.4966254000946149e-20,6.8816201151200378e-06,4.4729021420649045e-21,6.0992022866263197e-08,8.1893520767990079e-17,5.5749513568415667e-10,4.0175808657589725e-15,1.0538677103094563e-17,3.1172445158553641e-09,4.1743426333353314e-16,0.005692532738489282,0.0056963075507567209,7.969240557442161e-08,7.8800579693885817e-08,4.0025396069542178e-05,3.1744562455531932e-11,1.3517677887298316e-07,1.6655844347033841e-07,3.9625469498387452e-11,1.6072436851884204e-10,1.2604638491722807e-06,4.2130001210457322e-11
3.340329305259899e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32612995210569756,0.11291771360974011,0.019941914550270598,0.0,3.2440001362400833e-06,8.4541831768890244e-05,5.2563854061446854e-05,7.1965848347340514e-10,1.5055323245026775e-20,6.8968044124807421e-06,4.5194033530807306e-21,6.1060883073548962e-08,8.2450109011183606e-17,5.6023868526153192e-10,4.032914566989939e-15,1.0582174470031562e-17,3.1268639457077818e-09,4.2081490982799621e-16,0.0056924079996582876,0.0057034155270565485,7.979182783892913e-08,7.8973755513469455e-08,4.0062519005166396e-05,3.1800672980127681e-11,1.3530212542083469e-07,1.665548204583479e-07,3.9717398931093203e-11,1.6149309479498242e-10,1.264150801905686e-06,4.224044437476922e-11
3.3449210989975037e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32612292951564748,0.11291768416839372,0.019938284153653868,0.0,3.2597562268457674e-06,8.4789003421439663e-05,5.2702586724597792e-05,7.2364500005116509e-10,1.5144793105807883e-20,6.9119975163676758e-06,4.5663236117401959e-21,6.1129691743638557e-08,8.3009733516011902e-17,5.6299169454613772e-10,4.0482826212244872e-15,1.06257934045561e-17,3.1364968433442251e-09,4.2421851752564827e-16,0.0056922832832111388,0.0057105216448783275,7.9891222624084275e-08,7.9147053628535684e-08,4.0099621022991654e-05,3.1856800531260692e-11,1.3542739819101964e-07,1.6655119460456911e-07,3.9809422180439349e-11,1.6226438834380738e-10,1.2678420896601519e-06,4.2351019396223844e-11
3.3495128927351084e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32611590877778024,0.11291765452624646,0.019934654574229684,0.0,3.2755661174651327e-06,8.5036471014449507e-05,5.284148908508602e-05,7.276480291404734e-10,1.5234664817405286e-20,6.9271994050333924e-06,4.6136661000877033e-21,6.1198449011581763e-08,8.3572406574648772e-17,5.6575418191905927e-10,4.0636850510686025e-15,1.0669534093537699e-17,3.1461432000298731e-09,4.2764521159522016e-16,0.0056921585891440644,0.0057176259046697727,7.9990589916605715e-08,7.9320473888629419e-08,4.0136702156287754e-05,3.1912945203999564e-11,1.3555259726403951e-07,1.6654756588495811e-07,3.9901539206348323e-11,1.6303825408635313e-10,1.2715377085530187e-06,4.2461726223611207e-11
3.354104686472713e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32610888989162284,0.11291762468337875,0.019931025811747813,0.0,3.2914299163400838e-06,8.5284234306088832e-05,5.2980561087823356e-05,7.316676141231644e-10,1.5324939616048962e-20,6.9424100567605025e-06,4.661434019638872e-21,6.1267155011864796e-08,8.4138140509891561e-17,5.6852616576551345e-10,4.0791218790983694e-15,1.0713396723947246e-17,3.1558030070205051e-09,4.3109511771179528e-16,0.0056920339174532947,0.0057247283068783484,8.0089929703278954e-08,7.9494016147371731e-08,4.0173762438151578e-05,3.1969106803032058e-11,1.3567772272456136e-07,1.6654393427126755e-07,3.9993749971472914e-11,1.6381469697851379e-10,1.2752376547021574e-06,4.2572564805676981e-11
3.3586964802103177e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32610187285670311,0.11291759463987097,0.019927397865958107,0.0,3.307347731771789e-06,8.5532293054530587e-05,5.3119802677704927e-05,7.3570379841540642e-10,1.5415618740083506e-20,6.9576294498616202e-06,4.7096305914687677e-21,6.1335809878412655e-08,8.4706947675174386e-17,5.7130766447482024e-10,4.0945931278599312e-15,1.0757381482857127e-17,3.1654762555625487e-09,4.3456836205806876e-16,0.0056919092681350647,0.0057318288519512721,8.0189241970894911e-08,7.9667680253906411e-08,4.0210801901525613e-05,3.2025285465043768e-11,1.3580277465132719e-07,1.665402997406872e-07,4.0086054435320235e-11,1.6459372194171286e-10,1.2789419242259617e-06,4.2683535091204301e-11
3.3628290945741617e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32609555910769317,0.1129175674292332,0.019924133412812524,0.0,3.3217200393747933e-06,8.5755798343827022e-05,5.3245265060049141e-05,7.393505925991213e-10,1.5497576675120008e-20,6.9713343596269377e-06,4.7533766818640464e-21,6.1397555649200229e-08,8.5221511970424812e-17,5.7381916372298264e-10,4.1085467000812581e-15,1.0797072340440993e-17,3.1741936645345176e-09,4.3771434085614948e-16,0.0056917971028740758,0.0057382177550353505,8.0278599472091499e-08,7.9824082009157968e-08,4.0244119645840649e-05,3.2075860662406379e-11,1.3591525858388783e-07,1.6653702614565059e-07,4.0169208534588047e-11,1.6529705618066684e-10,1.2822794600749948e-06,4.2783520912265609e-11
3.3669617089380057e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32608924685745955,0.11291754005620067,0.019920869620802854,0.0,3.3361362671951069e-06,8.5979542580969247e-05,5.3370864723137034e-05,7.4301089911686887e-10,1.5579864024228576e-20,6.9850463165947949e-06,4.7974749814912074e-21,6.1459260206533074e-08,8.5738584661954216e-17,5.7633839832021373e-10,4.1225281877273326e-15,1.0836862410240021e-17,3.182921947670758e-09,4.4087941894532367e-16,0.0056916849557290669,0.0057446051545272719,8.0367934662635126e-08,7.9980582233618396e-08,4.0277420577508015e-05,3.2126449565130178e-11,1.3602768307971487e-07,1.6653375014809058e-07,4.0252438470596158e-11,1.6600248951145335e-10,1.2856204918848616e-06,4.2883613334253749e-11
3.3710943233018497e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32608293610565853,0.11291751252083199,0.019917606489746963,0.0,3.3505964943066093e-06,8.6203525589672195e-05,5.3496601626762837e-05,7.4668474968986529e-10,1.5662481694557709e-20,6.9987653050172927e-06,4.8419278795044419e-21,6.1520923646884194e-08,8.6258174819119572e-17,5.7886538168070484e-10,4.1365376071719498e-15,1.0876751828841269e-17,3.1916610985706613e-09,4.4406368937242741e-16,0.0056915728266973076,0.0057509910507525476,8.0457247532997718e-08,8.0137180819454007e-08,4.0310704720202765e-05,3.2177052129657689e-11,1.3614004819782501e-07,1.6653047172929967e-07,4.0335744215206512e-11,1.6671002554077475e-10,1.2889650168269379e-06,4.298381231980294e-11
3.3752269376656937e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32607662685194699,0.11291748482318574,0.019914344019462769,0.0,3.3651007998216688e-06,8.642774719365255e-05,5.3622475730709955e-05,7.5037217606153736e-10,1.574543059464446e-20,7.0124913091661251e-06,4.8867377781116602e-21,6.158254606636344e-08,8.6780291531410325e-17,5.8140012722125634e-10,4.1505749747691783e-15,1.0916740732898668e-17,3.2004111108275904e-09,4.4726724552047225e-16,0.005691460715776071,0.0057573754440365232,8.0546538073646449e-08,8.0293877658947119e-08,4.0343972097495527e-05,3.2227668308095342e-11,1.362523539966861e-07,1.6652719087107113e-07,4.041912574027661e-11,1.6741966787832925e-10,1.2923130320729318e-06,4.3084117831542187e-11
