Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),HOX(22),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),COX(50),CHOX(53)
1.0152466413044881e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32993108984555281,0.11291003562916285,0.021890933957195255,0.0,4.4540361704374663e-17,4.1766176359539197e-06,8.9539437316770697e-07,2.2341556208670812e-14,1.0067785452829461e-20,1.2752871642083934e-08,4.3418240194112835e-29,1.6923090317505308e-08,1.0169958914905447e-21,4.6473014067522682e-23,1.7399943582925578e-17,3.6093822582794147e-20,2.1224016605058172e-16,2.1776658847400878e-21,0.0057535153609399592,0.0018603716716981537,1.7679993054552068e-09,1.7019008026524968e-05,3.4240870964169109e-13,6.2569115395869354e-13,1.0658698415140608e-07,5.3981316597413383e-06,4.0457459142187473e-10,6.042086718022941e-08,7.2786720861824729e-13,1.6101821740940771e-15
1.0196831418600657e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32992308619818994,0.1129099675164109,0.021886993251066397,0.0,4.5476731351086644e-17,4.2397318185784984e-06,9.0824994158123226e-07,2.2615060257580689e-14,1.0335733729135916e-20,1.2819364597054603e-08,4.4457817218329941e-29,1.7033200498907348e-08,1.0318249504905676e-21,4.7572382162998989e-23,1.7773687997647786e-17,3.6783496825176784e-20,2.1650147499255784e-16,2.2183855326456903e-21,0.0057535313119250215,0.0018682402237873955,1.7750383058054368e-09,1.7097979757069216e-05,3.4545956490783661e-13,6.3445813311147883e-13,1.0783752748616567e-07,5.4361091766214195e-06,4.0916113019416615e-10,6.135371725423731e-08,7.3829997220658561e-13,1.636032320689383e-15
1.0241196424156434e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32991508918486728,0.11290990372473435,0.021883053445385953,0.0,4.6427558444705017e-17,4.3033858614732318e-06,9.212256650608392e-07,2.2890769716079542e-14,1.0609229403660193e-20,1.2885955190288841e-08,4.5518010888333369e-29,1.7143416789142064e-08,1.0468100565158977e-21,4.8693754443088516e-23,1.8153483556036928e-17,3.7483051153260821e-20,2.208231953419108e-16,2.2596977314818316e-21,0.0057535427359566163,0.0018761068547946856,1.7820756195906308e-09,1.7176671639954701e-05,3.4851796052791514e-13,6.433041711645831e-13,1.0909488143544769e-07,5.4741654797656168e-06,4.1377763354023643e-10,6.2294784592452431e-08,7.4882992056703026e-13,1.6621463925730141e-15
1.028556142971221e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32990709866689161,0.11290984411573067,0.021879114539761668,0.0,4.7392978432560687e-17,4.3675794626429232e-06,9.3432199150323809e-07,2.3168693143066702e-14,1.0888351645041701e-20,1.2952643316363458e-08,4.6599147346635459e-29,1.7253735621465878e-08,1.0619522174576803e-21,4.9837490127725509e-23,1.8539391561570494e-17,3.8192577729369288e-20,2.2520575753227939e-16,2.3016087041187105e-21,0.0057535497714950789,0.0018839715650565804,1.7891112456907898e-09,1.7255084081052759e-05,3.5158382906441191e-13,6.5222933317099506e-13,1.1035902389108286e-07,5.5123000856975629e-06,4.1842413395551057e-10,6.3244065728755839e-08,7.5945741103368241e-13,1.6885253269147215e-15
1.0329926435267987e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32989911450972792,0.11290978855520972,0.021875176533804764,0.0,4.8373127108178799e-17,4.4323122924234953e-06,9.4753936638829939e-07,2.3448839093657389e-14,1.1173180175758216e-20,1.3019428867663741e-08,4.7701556600299597e-29,1.7364153456837213e-08,1.0772524428678315e-21,5.1003952808124462e-23,1.8931473436059451e-17,3.8912169058644285e-20,2.2964959014841557e-16,2.3441247135230874e-21,0.0057535525527883432,0.0018918343549051452,1.7961451830154887e-09,1.7333217542164287e-05,3.5465710439517033e-13,6.6123368231093871e-13,1.1162993289230481e-07,5.550512513172082e-06,4.2310066345355434e-10,6.4201556735023228e-08,7.7018279894405645e-13,1.7151700569812092e-15
1.0374291440823764e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32989113658287356,0.11290973691306566,0.021871239427129797,0.0,4.9368140610524572e-17,4.4975839941789722e-06,9.6087823277704071e-07,2.3731216119183834e-14,1.1463795271346793e-20,1.3086311734406883e-08,4.8825572550617486e-29,1.7474666784309726e-08,1.0927117439355543e-21,5.2193510475489414e-23,1.9329790715608128e-17,3.9641917987200946e-20,2.3415511990030359e-16,2.387252062823834e-21,0.0057535512100000755,0.0018996952246681598,1.8031774305033217e-09,1.7411072539604389e-05,3.5773772170525864e-13,6.703172798796428e-13,1.1290758662980062e-07,5.5888022831742979e-06,4.2780725357051431e-10,6.5167253231932002e-08,7.8100643763792599e-13,1.742081511996523e-15
1.041865644637954e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32988316475973523,0.11290968906315275,0.021867303219354591,0.0,5.0378155423294729e-17,4.5633941849950353e-06,9.7433903130982597e-07,2.4015832767196312e-14,1.1760277759695562e-20,1.3153291804665471e-08,4.9971533022859092e-29,1.7585272121408249e-08,1.1083311334641201e-21,5.340653554958458e-23,1.9734405046610831e-17,4.0381917700280262e-20,2.3872277159817481e-16,2.4309970953765567e-21,0.0057535458693338997,0.0019075541746693164,1.8102079871212434e-09,1.7488649642792187e-05,3.608256174690943e-13,6.7948018500857668e-13,1.1419196345140631e-07,5.627168918916877e-06,4.3254393537429751e-10,6.6141150399736895e-08,7.9192867845611002e-13,1.7692606177334316e-15
1.0463021451935317e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32987519891750922,0.11290964488316486,0.021863367910100122,0.0,5.1403308374293238e-17,4.6297424563687039e-06,9.8792220020475874e-07,2.4302697581464099e-14,1.2062709020444927e-20,1.3220368964391182e-08,5.1139779796094543e-29,1.7695966014487692e-08,1.1241116258479231e-21,5.4643404907188916e-23,2.0145378181783818e-17,4.1132261720400683e-20,2.433529681284108e-16,2.4753661948272928e-21,0.0057535366531538713,0.0019154112052284112,1.8172368518641231e-09,1.7565949472846037e-05,3.6392072945925979e-13,6.8872245537405594e-13,1.1548304187027502e-07,5.6656119458345799e-06,4.3731073946134216e-10,6.7123242989008351e-08,8.0294987073922392e-13,1.7967082965620707e-15
1.0507386457491094e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32986723893706582,0.11290960425451867,0.02185943349899043,0.0,5.2443736634908828e-17,4.6966283748938551e-06,1.0016281752562729e-06,2.4591819101976384e-14,1.2371170984320439e-20,1.32875430974386e-08,5.2330658633087448e-29,1.7806745039074973e-08,1.1400542370498148e-21,5.5904499910444539e-23,2.0562771976231616e-17,4.1893043905508533e-20,2.4804613043032581e-16,2.5203657851753065e-21,0.0057535236801012513,0.0019232663166615278,1.8242640237543221e-09,1.7642972701192089e-05,3.6702299673937696e-13,6.9804414724094613e-13,1.167808005678298e-07,5.7041308915838231e-06,4.4210769595995034e-10,6.8113525331327255e-08,8.1407036182705181e-13,1.8244254670514355e-15
1.055175146304687e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32985928470283798,0.11290956706224048,0.021855499985652536,0.0,5.3499577719617714e-17,4.7640514829422791e-06,1.0154573898339325e-06,2.488320586494311e-14,1.2685746132541112e-20,1.3354814085589139e-08,5.3544519310259118e-29,1.791760580019435e-08,1.1561599845787189e-21,5.7190206435054443e-23,2.0986648383553112e-17,4.2664358447127545e-20,2.5280267747382288e-16,2.5660023308349874e-21,0.0057535070652077617,0.0019311195092812203,1.8312895018408613e-09,1.7719720048180553e-05,3.7013235963798114e-13,7.0744531488871747e-13,1.1808521839817964e-07,5.7427252860405057e-06,4.4693483454309139e-10,6.911199134993006e-08,8.2529049705787588e-13,1.8524130448189248e-15
1.0596116468602647e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32985133610271178,0.11290953319485629,0.021851567369716371,0.0,5.4570969485555851e-17,4.8320112993398678e-06,1.0294102748814164e-06,2.5176866402795691e-14,1.3006517496405567e-20,1.3422181808575109e-08,5.4781715647722469e-29,1.8028544932676226e-08,1.1724298874675344e-21,5.8500914898355812e-23,2.1417069451985394e-17,4.344629986850788e-20,2.5762302623791167e-16,2.6122823366968709e-21,0.0057534869200053639,0.0019389707833966849,1.8383132851990336e-09,1.7796192281707802e-05,3.7324875975882795e-13,7.1692601152517469e-13,1.193962743963146e-07,5.7813946612938868e-06,4.5179218442289311e-10,7.0118634570299319e-08,8.3661061976760751e-13,1.880671942645041e-15
1.0640481474158423e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32984339302792198,0.11290950254428554,0.021847635650814642,0.0,5.565805013220496e-17,4.9005073200376856e-06,1.0434872589156928e-06,2.5472809244187782e-14,1.3333568656733592e-20,1.3489646144103869e-08,5.6042605539385931e-29,1.8139559101449732e-08,1.1888649662513279e-21,5.9837020287294295e-23,2.1854097320582448e-17,4.4238963022774181e-20,2.6250759169008172e-16,2.6592123481877754e-21,0.0057534633526327202,0.0019468201393139301,1.845335372930278e-09,1.7872390215855089e-05,3.7637213997734304e-13,7.2648628948200426e-13,1.2071394778004092e-07,5.8201385516465116e-06,4.5667977435158372e-10,7.113344813069364e-08,8.4803107128965913e-13,1.9092030696217224e-15
1.06848464797142e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32983545537294923,0.11290947500573775,0.021843704828582815,0.0,5.676095820108218e-17,4.9695390187776477e-06,1.0576887680264043e-06,2.5771042913995922e-14,1.3666983743371523e-20,1.3557206967882091e-08,5.7327550983125792e-29,1.8250645001819256e-08,1.2054662429458185e-21,6.1198922186235541e-23,2.2297794215436423e-17,4.5042443091073224e-20,2.6745678676652078e-16,2.7067989513300877e-21,0.0057534364679384074,0.0019546675773359384,1.8523557641610623e-09,1.7948314709537054e-05,3.795024444042059e-13,7.3612619920295205e-13,1.220382179529503e-07,5.8589564936128383e-06,4.6159763263962192e-10,7.215642479261213e-08,8.5955219095484035e-13,1.938007332370444e-15
1.0729211485269977e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32982752303542168,0.11290945047761243,0.021839774902658978,0.0,5.7879832575476988e-17,5.0391058477524705e-06,1.0720152258754252e-06,2.6071575933319979e-14,1.4006847435001731e-20,1.3624864153640089e-08,5.8636918111026991e-29,1.8361799359725143e-08,1.2222347410261624e-21,6.2587024804639643e-23,2.2748222445939451e-17,4.5856835580721691e-20,2.7247102235316905e-16,2.7550487728001922e-21,0.0057534063675810012,0.0019625130977628229,1.8593744580424444e-09,1.8023966665156345e-05,3.8263961839653261e-13,7.4584579038179374e-13,1.2336906451281918e-07,5.8978480259122703e-06,4.6654578714783603e-10,7.3187556951188166e-08,8.711743160908304e-13,1.967085635373727e-15
1.0773576490825753e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32981959591601911,0.11290942886140219,0.021835845872683793,0.0,5.9014812480323411e-17,5.1092072382596431e-06,1.0864670536966038e-06,2.6374416819483765e-14,1.4353244958690788e-20,1.3692617573156276e-08,5.9971077219691592e-29,1.8473018931988845e-08,1.2391714854060374e-21,6.4001737004650246e-23,2.3205444401079544e-17,4.6682236323353226e-20,2.7755070726759923e-16,2.8039684799860705e-21,0.0057533731501260921,0.0019703567008919863,1.8663914537504893e-09,1.8099347027277663e-05,3.8578360856159622e-13,7.556451124708418e-13,1.2470646725264905e-07,5.9368126894693454e-06,4.7152426528387568e-10,7.4226836645508014e-08,8.8289778202251494e-13,1.996438879358688e-15
1.081794149638153e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32981167391837973,0.11290941006159845,0.021831917738300437,0.0,6.0166037482054818e-17,5.1798426013492205e-06,1.1010446702957087e-06,2.6679574086035566e-14,1.4706262089448826e-20,1.3760467096281635e-08,6.1330402800614303e-29,1.8584300506542708e-08,1.2562775024170286e-21,6.5443472328509474e-23,2.3669522545781661e-17,4.7518741473065344e-20,2.8269624824171234e-16,2.8535647810440663e-21,0.0057533369111403753,0.0019781983870182651,1.8734067504847802e-09,1.8174456781313873e-05,3.8893436270781821e-13,7.6552421304482593e-13,1.2605040616198053e-07,5.975850027413396e-06,4.7653309402786296e-10,7.5274255568849118e-08,8.9472292207248242e-13,2.0260679630002969e-15
