Time (s),Volume (m^3),Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),C2H4X(64),C2H4(48),HeX(49),C4H8a(86),HX(12),C2H3X(58)
6.009928186769282e-10,0.004023131612903226,0.0,0.0,0.010931180494049687,0.49999976958424469,1.3078113214769039e-31,4.4756069346670638e-06,8.1622356054428818e-18,1.2599455770204986e-23,3.9324591842428896e-33,2.9474862135281811e-10,7.6232432223946642e-10,0.0,0.49868889486693152,1.4028344705436431e-07,0.0012427171639732375,2.3041575603035375e-07,2.9043695465428952e-05,1.2072614508684923e-06,1.0159532393162547e-05
6.031266808405435e-10,0.004023131612903226,0.0,0.0,0.010931147960961857,0.49999976958493059,1.3398625680290642e-31,4.4922263856265624e-06,8.2656157488502843e-18,1.2812302488600179e-23,4.035680198229101e-33,2.9490293441568885e-10,7.6609063957676864e-10,0.0,0.49868839379824081,1.4028288852533248e-07,0.0012429659593348609,2.3041507016492812e-07,2.9153386237376358e-05,1.2069072057052409e-06,1.0192420970548896e-05
6.052605430041587e-10,0.004023131612903226,0.0,0.0,0.01093111544708132,0.49999976958561598,1.3725638410583426e-31,4.5088359011192364e-06,8.3698541442647513e-18,1.3027839223715912e-23,4.1411585961224678e-33,2.9505583291400933e-10,7.698572143250878e-10,0.0,0.49868789674988451,1.4028233137536437e-07,0.0012432110650460891,2.3041438470449912e-07,2.9262921436787232e-05,1.2065532920500264e-06,1.0225290007352484e-05
6.07394405167774e-10,0.004023131612903226,0.0,0.0,0.010931082952384978,0.49999976958630105,1.4059255560476356e-31,4.5254354932504607e-06,8.4749539883712405e-18,1.3246088256980936e-23,4.2489337250053196e-33,2.952073378378038e-10,7.7362402661464436e-10,0.0,0.49868740366516912,1.4028177558818896e-07,0.0012434525381819354,2.3041369964857962e-07,2.9372300861157371e-05,1.2061997093530261e-06,1.0258139527235359e-05
6.095282673313893e-10,0.004023131612903226,0.0,0.0,0.010931050476849776,0.49999976958698572,1.4399582503943804e-31,4.542025174102302e-06,8.5809184727835266e-18,1.3467071952594415e-23,4.3590454393826178e-33,2.9535746987163269e-10,7.773910568787111e-10,0.0,0.49868691448827268,1.4028122114782831e-07,0.0012436904349303179,2.3041301499668359e-07,2.9481524315566781e-05,1.2058464570656965e-06,1.0290969553814224e-05
6.116621294950046e-10,0.004023131612903226,0.0,0.0,0.010931018020452715,0.49999976958767001,1.4746725842957474e-31,4.5586049557335747e-06,8.6877507840574532e-18,1.369081275739464e-23,4.4715341053425993e-33,2.9550624939902453e-10,7.8115828584919471e-10,0.0,0.49868642916423217,1.4028066803847202e-07,0.001243924810605858,2.3041233074832575e-07,2.9590591612554196e-05,1.2054935346408134e-06,1.0323780110660597e-05
6.137959916586199e-10,0.004023131612903226,0.0,0.0,0.010930985583170823,0.49999976958835379,1.5100793416360256e-31,4.5751748501799088e-06,8.7954541037042201e-18,1.3917333200728161e-23,4.5864406047306066e-33,2.9565369650684362e-10,7.8492569455228131e-10,0.0,0.49868594763892948,1.4028011624455861e-07,0.0012441557196634576,2.3041164690302174e-07,2.9699502571993599e-05,1.205140941532517e-06,1.0356571221300997e-05
6.159298538222352e-10,0.004023131612903226,0.0,0.0,0.010930953164981178,0.49999976958903725,1.5461894308761968e-31,4.5917348694538146e-06,8.9040316082036614e-18,1.4146655894319221e-23,4.7038063393361151e-33,2.9579983098959419e-10,7.8869326430414523e-10,0.0,0.49868546985907836,1.4027956575083406e-07,0.0012443832157116698,2.3041096346028809e-07,2.9808257020972559e-05,1.2047886771963465e-06,1.0389342909217089e-05
6.201975781494658e-10,0.004023131612903226,0.0,0.0,0.010930888385787169,0.49999976959040293,1.6205638671417528e-31,4.6248253304191394e-06,9.1238218526030354e-18,1.4613798890279467e-23,4.9460837463252458e-33,2.9608823982134375e-10,7.9622881364369061e-10,0.0,0.49868452532666901,1.4027846860378889e-07,0.0012448281790606531,2.3040959778060317e-07,3.0025295731256349e-05,1.2040851326697484e-06,1.0454828110579748e-05
6.240385300439734e-10,0.004023131612903226,0.0,0.0,0.010930830149578984,0.49999976959163067,1.6900182707732366e-31,4.6545730922365624e-06,9.3246545486612324e-18,1.5044039805379874e-23,5.1729701341684533e-33,2.9634351133337943e-10,8.0301117718915217e-10,0.0,0.49868368753895964,1.4027748546915262e-07,0.0012452174945159578,2.3040837004084692e-07,3.0220093713585159e-05,1.2034530615642941e-06,1.0513698600744603e-05
