Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),H2OX(23),CH3OO(77),C2H6X(52)
1.7616648975138944e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756245538772,0.11866996531952402,0.02282156767597528,0.0,3.2580889614890023e-33,2.8362115847910998e-25,0.0,2.5538113778542837e-32,0.0,1.7930254885787585e-16,1.2660693228646291e-69,1.7913610131532651e-16,7.7976829054898898e-47,1.2129123128157261e-37,0.0,0.0,9.0974546782769448e-31,4.2931383311276691e-54,7.1042794372665144e-10,3.4158009229424038e-11,1.3166178110804156e-14,2.239021985339678e-21,1.3166342318895101e-14,2.1790855393263776e-33,9.089583780158032e-30,1.3899832528526139e-25,4.3004754027787058e-41
2.130385458594449e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756229953866,0.11866996517082701,0.022821567672400605,0.0,6.2550768774492675e-33,4.0659158896504718e-25,0.0,4.342092558923879e-32,0.0,2.1686831761695533e-16,3.2872881673485131e-69,2.1662970333351197e-16,1.5205916462019049e-46,2.3955635262758358e-37,0.0,0.0,1.518650294450789e-30,9.4974251584609968e-54,8.591221534249074e-10,4.1307359996623124e-11,1.5921852977748074e-14,3.2044696661306098e-21,1.5922088386945926e-14,3.6422586357750703e-33,1.5172547678598766e-29,1.9928782366522844e-25,8.3861662508171034e-41
2.867826580755558e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756198784049,0.11866996487343302,0.022821567665251254,0.0,1.6147254974452133e-32,7.0051285226335666e-25,0.0,9.6003505527681464e-32,0.0,2.9202801202559123e-16,1.4545583185719397e-68,2.9161690684322745e-16,4.0370908461914378e-46,6.6840659691306323e-37,0.0,0.0,3.2353975502252423e-30,2.9881770371721151e-53,1.156510564116795e-09,5.56060615130954e-11,2.1433174923628084e-14,5.5055647394468425e-21,2.1433580522185658e-14,7.7758060487531093e-33,3.2321423579860757e-29,3.4341944498568946e-25,2.2264827923445304e-40
3.605267702916667e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756167614244,0.11866996457603904,0.022821567658101904,0.0,3.4141787582732096e-32,1.0722050212049946e-24,0.0,1.7986021903876526e-31,0.0,3.6723334542025706e-16,4.377875666173712e-68,3.666041094992932e-16,8.7569586496468889e-46,1.4936167792599541e-36,0.0,0.0,5.8716719789379993e-30,7.391276283939595e-53,1.4538989606994553e-09,6.9904763000512621e-11,2.6944451828440004e-14,8.403957931115873e-21,2.6945072658781395e-14,1.4139457854755281e-32,5.8652806699358911e-29,5.2573970046235944e-25,4.8295212061793505e-40
4.342708825077776e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756136444432,0.11866996427864507,0.022821567650952553,0.0,6.4488787415597225e-32,1.5269431389078452e-24,0.0,3.0439454590333113e-31,0.0,4.4248741301760323e-16,1.1335541080203432e-67,4.4159131124380809e-16,1.692379467205559e-45,2.9449352843970073e-36,0.0,0.0,9.693534253124344e-30,1.6076279015634246e-52,1.7512873422158922e-09,8.4203464456909393e-11,3.2455680637522538e-14,1.1935099164094738e-20,3.2456564801888749e-14,2.3389421147982189e-32,9.6821704781876642e-29,7.4886183450021012e-25,9.333584915982834e-40
5.8175910693999945e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756074104816,0.11866996368385717,0.022821567636653852,0.0,1.9456421857693655e-31,2.6902369134124481e-24,0.0,7.2387751303811209e-31,0.0,5.9314449456444888e-16,7.0193039242994698e-67,5.9156571194682021e-16,5.3253397490284111e-45,9.3430853558530039e-36,0.0,0.0,2.2249191998548324e-29,6.7353613087547858e-52,2.3460640592011313e-09,1.1280086727492563e-10,4.3477991260732606e-14,2.0899253866874123e-20,4.347954914003193e-14,5.3951968008513655e-32,2.2218454843586477e-28,1.3199584911009761e-24,2.9369592992852577e-39
7.292473313722213e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756011765204,0.11866996308906935,0.022821567622355151,0.0,4.5578634009037462e-31,4.1908991853917828e-24,0.0,1.4136862284951523e-30,0.0,7.4399954986511498e-16,2.54133166739787e-66,7.4154010894672248e-16,1.2792367303650438e-44,2.2424223751350855e-35,0.0,0.0,4.2542766205459156e-29,1.971429467677311e-51,2.9408407149809264e-09,1.4139826996699619e-10,5.4500106503940554e-14,3.2361276942898874e-20,5.4502533577255448e-14,1.0364263096847074e-31,4.2475618057262135e-28,2.0571469801111538e-24,7.0550714501095176e-39
1.0242237802366649e-14,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756755887085999,0.11866996189949387,0.022821567593757749,0.0,1.7713324419053395e-30,8.2050032916057333e-24,0.0,3.9531641865686938e-30,0.0,1.0463039585982519e-15,2.2300926867106102e-65,1.0414888918298097e-15,5.1480543889572653e-44,8.8345649767695484e-35,0.0,0.0,1.1576322144985349e-28,1.164554562307308e-50,4.1303938428021004e-09,1.9859307497328001e-10,7.6543750478653687e-14,6.2550140943713935e-20,7.654850298289974e-14,2.8507327246063088e-31,1.1552739788481696e-27,4.0312523293022791e-24,2.8391826374562229e-38
1.6141766779655522e-14,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675563772767,0.11866995952034366,0.022821567536562944,0.0,1.1497271623165793e-29,2.0284485335760185e-23,0.0,1.5908062386006581e-29,0.0,1.6532899398489762e-15,4.3351697257487502e-64,1.6413864131274798e-15,3.4830948110763437e-43,5.6551141485956457e-34,0.0,0.0,4.4986440600193622e-28,1.3768908175608846e-49,6.5094993634638469e-09,3.1298268347585635e-10,1.2062869241115397e-13,1.505682541668689e-19,1.2064044533941281e-13,1.1343601760761959e-30,4.4848662477009376e-27,9.9856547958942028e-24,1.9209444977685584e-37
2.7940824734233268e-14,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756755139011307,0.11866995476204618,0.022821567422173339,0.0,1.0824071222658274e-28,6.0649224813257846e-23,0.0,8.5396221553299606e-29,0.0,2.8767699862182434e-15,1.459804540119136e-62,2.8411812778419198e-15,3.4719169785505196e-42,5.1538113590946418e-33,0.0,0.0,2.2885108039873683e-27,2.6212210962984233e-48,1.1267707464752055e-08,5.4176189445083827e-10,2.087891927845118e-13,4.2673558100234319e-19,2.0882435466640887e-13,6.0577458568671117e-30,2.2765268117562533e-26,2.9977773718256206e-23,1.9147734626750798e-36
5.153894064338876e-14,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756754141579759,0.11866994524546295,0.022821567193394138,0.0,1.229925326290704e-27,2.0620246526792087e-22,0.0,5.5076176110416187e-28,0.0,5.3617550643116193e-15,6.7345455325377477e-61,5.2407702957446359e-15,4.3426768171243796e-41,5.6704539563798856e-32,0.0,0.0,1.3430588925222544e-26,6.4497427842728103e-47,2.0784111907151231e-08,9.9932029234975591e-10,3.8507266691635482e-13,1.3104180561789455e-18,3.8519234095777075e-13,3.9004844261848661e-29,1.330079168600654e-25,1.0275973483542117e-22,2.3949840770659391e-35
9.873517246169974e-14,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756752146721392,0.11866992621234357,0.02282156673583579,0.0,1.4679093531088677e-26,7.5660770753217865e-22,0.0,3.9386054602909302e-27,0.0,1.0483765462716883e-14,3.6997718917512646e-59,1.0039945485442368e-14,6.1282986809588411e-40,6.5950168137210615e-31,0.0,0.0,8.1407978050424177e-26,1.8080859641610584e-45,3.9816873751235712e-08,1.9144369923366925e-09,7.3748956842031549e-13,4.0096016925228103e-18,7.3792937766519634e-13,2.7891326502591419e-28,7.9898853120732463e-25,3.8322780754177035e-22,3.3797076044180266e-34
1.4593140428001072e-13,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675015186933,0.1186699071792869,0.022821566278277496,0.0,5.5156313697610188e-26,1.6527487305810827e-21,0.0,1.2103824896820349e-26,0.0,1.5808417836712077e-14,2.5262019954938996e-58,1.4839116880334386e-14,2.5166573457209895e-39,2.5279635260022236e-30,0.0,0.0,2.2492997403163317e-25,9.4839990917697549e-45,5.8849572874498265e-08,2.8295535650833803e-09,1.089706485920312e-12,7.5878288141170397e-18,1.0906681966993753e-12,8.5738542095847175e-28,2.1930053115903648e-24,8.4841280999710988e-22,1.3879057774239773e-33
