Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CO2X(24),C2H4(47),COX(50),CHOX(53),CH3X(55),C2H4X(215),C2H4X(70)
1.910709083293375e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44222917963628683,0.09222736077896355,0.012981890889676419,1.145752034513698e-06,0.004685823204121628,0.030100657506112245,0.014891559927305701,5.9229493582110796e-05,3.729996858476838e-11,0.002257913246069334,6.934211396305523e-11,0.0004738889206055795,3.2296214800868253e-09,4.071829529462477e-05,1.2833778318463304e-09,8.348851479352424e-11,4.4689490380319364e-05,1.5456794491493278e-05,0.006616677447714037,1.3769450553025391e-05,0.0004112933033731123,1.1533020772939505e-07,7.2923237402191235e-09,6.230016765810832e-08,2.10127088192222e-07,2.8985526310822118e-08,0.00013843564369985393,0.0022941068954104994,1.1413995538815004e-07,0.0006014903471988807,1.540971259787564e-11,2.446066504891043e-05,4.607394844161128e-08,4.419843145320778e-11,6.987751816835572e-09,1.7400671555925743e-06,4.35576537166921e-12
1.9161835305975747e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44221878049038266,0.0921821581206114,0.012960668034858779,1.1482637887052881e-06,0.004690339800535038,0.030193067433926454,0.014930006410250236,5.915936073477361e-05,3.7614065854766356e-11,0.002256628619812351,6.927825342229854e-11,0.0004741195107966823,3.2287857587109814e-09,4.050045732587213e-05,1.2873178399508615e-09,8.369593715917478e-11,4.4468581322657704e-05,1.5514698619137784e-05,0.006613279402333387,1.3685778229091702e-05,0.0004118511395486702,1.1478495423866887e-07,7.276260066145815e-09,6.236382883072435e-08,2.1032456290123313e-07,2.9200268805868486e-08,0.0001392700439697021,0.0023047540918964076,1.1442352233355908e-07,0.0006033249006871591,1.5389603387780424e-11,2.4552301605530886e-05,4.6191814678208985e-08,4.436937536460248e-11,6.983611947308936e-09,1.7466162594276618e-06,4.371980097136244e-12
1.9216579779017742e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44220835672434633,0.0921369808157499,0.012939480859470165,1.1507696527729837e-06,0.0046948381365596635,0.0302854336847664,0.01496839660344984,5.9089429898123945e-05,3.792968346785262e-11,0.002255346932467893,6.921483419057273e-11,0.00047434965155933036,3.227964807024065e-09,4.0283754152765614e-05,1.2912549891816574e-09,8.390287196444871e-11,4.424907831643041e-05,1.557268199554906e-05,0.00660988296481774,1.3602766132279824e-05,0.0004124078805488208,1.1424306037720166e-07,7.260239437632254e-09,6.242822902636622e-08,2.10521198284207e-07,2.9415991414353467e-08,0.00014010717513348434,0.0023154229871539577,1.1470664868711893e-07,0.0006051584599119472,1.536950804042949e-11,2.4644063579229385e-05,4.630949859132243e-08,4.4540338306097265e-11,6.979480971061857e-09,1.7531735511942074e-06,4.388216142324246e-12
1.9271324252059738e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4421979083441572,0.09209182882820928,0.01291832930444727,1.1532696336794302e-06,0.004699318300867901,0.03037775627006338,0.015006730558284184,5.9019700357544364e-05,3.824682238125448e-11,0.0022540681727246698,6.915185503597475e-11,0.0004745793449879048,3.2271586105283096e-09,4.006818177226139e-05,1.2951892732114987e-09,8.410931997307881e-11,4.4030970118228395e-05,1.5630745593688306e-05,0.006606488132990514,1.352040759263065e-05,0.0004129635307032648,1.1370449896444457e-07,7.244261704599399e-09,6.249337005013945e-08,2.1071699833742988e-07,2.9632695846911157e-08,0.00014094703897311444,0.0023261135778607457,1.1498933482975388e-07,0.0006069910248632901,1.5349426944686303e-11,2.4735952509793115e-05,4.642700033299735e-08,4.4711319355236396e-11,6.9753588532053495e-09,1.7597391380707926e-06,4.40447377714581e-12
1.9326068725101733e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44218743535623284,0.09204670212208978,0.012897213310816252,1.1557637384645685e-06,0.004703780381559484,0.03047003520119959,0.01504500832633574,5.8950171394057614e-05,3.856548353539752e-11,0.002252792329298027,6.908931472601813e-11,0.00047480859316176326,3.2263671550234085e-09,3.985373615710728e-05,1.2991206857841197e-09,8.431528194904689e-11,4.381424561264117e-05,1.568889039162057e-05,0.0066030949047015085,1.3438696026881835e-05,0.00041351809430953374,1.1316924312636496e-07,7.228326717572916e-09,6.255925370540429e-08,2.1091196703180788e-07,2.98503838053807e-08,0.00014178963723611605,0.0023368258602084685,1.1527158114392649e-07,0.0006088225955312416,1.5329360483993095e-11,2.4827969945086073e-05,4.654432005599708e-08,4.4882317594403914e-11,6.97124555893953e-09,1.7663131277918744e-06,4.4207532729232496e-12
1.938081319814373e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44217693776742734,0.09200160066175796,0.012876132819692621,1.1582519742448332e-06,0.004708224466167618,0.03056227048950537,0.015083229959386529,5.888084228464959e-05,3.888566785396785e-11,0.002251519390931311,6.902721202828911e-11,0.00047503739814533857,3.2255904266185658e-09,3.9640413256837814e-05,1.3030492207134528e-09,8.452075865656929e-11,4.359889381001207e-05,1.5747117372551118e-05,0.006599703277826577,1.3357624937052573e-05,0.0004140715756333282,1.1263726629139027e-07,7.2124343276890494e-09,6.262588179369228e-08,2.1110610831331297e-07,3.006905698273774e-08,0.00014263497163564295,0.0023475598299067405,1.15553388013726e-07,0.0006106531719058145,1.530930903960876e-11,2.4920117441104176e-05,4.66614579138554e-08,4.505333211130166e-11,6.967141053555717e-09,1.772895628651601e-06,4.437054902406865e-12
1.9435557671185724e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4421664155850287,0.09195652441184342,0.012855087772281153,1.1607343482123432e-06,0.004712650641665,0.030654462146256372,0.015121395509415,5.881171230258117e-05,3.9207376243974424e-11,0.0022502493463971733,6.896554571107878e-11,0.00047526576198823927,3.2248284117433366e-09,3.9428208998746785e-05,1.3069748718828993e-09,8.472575086008299e-11,4.3384903844247056e-05,1.5805427524858758e-05,0.006596313250267326,1.3277187908985428e-05,0.0004146239789088531,1.1210854218415292e-07,7.1965843866891425e-09,6.269325611475158e-08,2.1129942610261635e-07,3.0288717063096536e-08,0.0001434830438505108,0.002358315482186785,1.1583475582477394e-07,0.0006124827539769307,1.5289272990142566e-11,2.5012396562034055e-05,4.677841406076034e-08,4.5224361998805174e-11,6.9630453024455e-09,1.779486749507656e-06,4.453378939768467e-12
1.949030214422772e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4421558688167561,0.09191147333723541,0.012834078109875767,1.163210867634083e-06,0.00471705899446972,0.030746610182671004,0.01515950502859285,5.874278071768873e-05,3.953060959581081e-11,0.002248982184498824,6.890431454399137e-11,0.00047549368672534836,3.2240810971578126e-09,3.92171192888378e-05,1.3108976332446148e-09,8.493025932423165e-11,4.3172264970678475e-05,1.586382184213286e-05,0.006592924819950809,1.3197378611039632e-05,0.00041517530833914447,1.1158304482136339e-07,7.1807767469237375e-09,6.276137846650522e-08,2.1149192429576658e-07,3.050936572167638e-08,0.00014433385552524563,0.00236909281180521,1.1611568496413139e-07,0.0006143113417343737,1.5269252707934498e-11,2.5104808880308812e-05,4.689518865157241e-08,4.5395406354369594e-11,6.958958271102111e-09,1.7860865997851313e-06,4.469725660616766e-12
1.9545046617269715e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4421452974707582,0.09186644740307964,0.012813103773859415,1.1656815398510942e-06,0.004721449610451056,0.030838714609907846,0.015197558569282075,5.867404679667408e-05,3.985536878331692e-11,0.0022477178940712352,6.884351729853012e-11,0.00047572117437692297,3.2233484699636326e-09,3.900714001275328e-05,1.3148174988187983e-09,8.513428481385238e-11,4.296096656397584e-05,1.5922301323211284e-05,0.006589537984829217,1.3118190792604464e-05,0.000415725568096397,1.1106074850796451e-07,7.165011261360459e-09,6.283025064493161e-08,2.1168360676481858e-07,3.0731004624714784e-08,0.0001451874082701019,0.002379891813047588,1.1639617582045973e-07,0.0006161389351677418,1.5249248563254286e-11,2.5197355976663307e-05,4.701178184191859e-08,4.55664642807158e-11,6.954879925120333e-09,1.7926952894804277e-06,4.486095342021724e-12
1.959979109031171e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4421347015556102,0.09182144657477505,0.012792164705703988,1.1681463722776571e-06,0.004725822574935189,0.03093077543906325,0.015235556184031739,5.8605509803384057e-05,4.0181654663840884e-11,0.00224645646398229,6.878315274866067e-11,0.00047594822694869385,3.2226305176138523e-09,3.879826703668237e-05,1.3187344626929767e-09,8.533782809396243e-11,4.275099811611109e-05,1.598086697221353e-05,0.006586152742879592,1.3039618282988726e-05,0.0004162747623222801,1.1054162783154272e-07,7.149287783575891e-09,6.289987444411874e-08,2.1187447735721742e-07,3.095363542947785e-08,0.00014604370366110348,0.002390712479732329,1.1667622878387873e-07,0.0006179655342664051,1.5229260924475323e-11,2.5290039440194824e-05,4.712819378804734e-08,4.573753488581317e-11,6.950810230206688e-09,1.799312929165186e-06,4.502488262503528e-12
