Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C2H2(37),C4H6(54),C4H7X(141),C4H5X(381),C4H5X(374),C2H6(343),C4H7X(140),C4H7X(142),C4H7X(143),H2(190),C4H6a(380),C4H5X(577),C2H5(67)
1.1009530960854895e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282547601378,0.66999999981914993,4.5158213797938822e-33,0.0,5.1589026880529996e-25,1.8117104315244394e-45,7.6130059171337798e-59,0.0,4.0362711860918889e-76,1.3464557394839758e-67,0.0,1.8085027806720984e-10,1.8085027806675947e-10,2.2508269315300327e-22,1.7017095676840649e-25,3.6299580427882359e-25,2.1148699404313263e-34,3.1101219271306763e-36,5.5576411038998209e-34,1.6695027969543174e-34,5.8266877217484475e-43,6.7462407518457325e-44,1.7640981468474722e-34,3.5624608183604652e-44,1.5084299920946716e-55,9.5353439841952434e-35
1.207259442714506e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282544108855,0.66999999980168734,6.1461884222269122e-33,0.0,6.12913627523447e-25,2.152466876533716e-45,1.1118315352284193e-58,0.0,6.937485444991369e-76,2.0916389095039564e-67,0.0,1.9831288804817691e-10,1.9831288804764178e-10,2.6741750545656504e-22,2.1387505445588748e-25,4.2132020929548169e-25,2.8394077929576041e-34,4.1756250845676392e-36,7.6986906388846279e-34,2.0920905991723176e-34,8.4244229044826589e-43,9.7539440268940495e-44,2.2753143306377622e-34,4.7829319516674404e-44,2.1487025467019501e-55,1.2157334878503913e-34
1.3029351546806209e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282540965586,0.66999999978597102,7.9351501804348438e-33,0.0,7.0713396786377379e-25,2.4833848406832105e-45,1.522979771805624e-58,0.0,1.1027618256269629e-75,3.0238851490211933e-67,0.0,2.1402923344235259e-10,2.1402923344173523e-10,3.0853001206483191e-22,2.5846985912074096e-25,4.7619033708166115e-25,3.6269185180587478e-34,5.3337358626266683e-36,1.0096721195718463e-33,2.5217958201724202e-34,1.1439825149971664e-42,1.3245229504127188e-43,2.8110137667031154e-34,6.1094797697560448e-44,2.8840120664523922e-55,1.4878627192495699e-34
1.3986108666467358e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282537822317,0.66999999977025471,1.0105347520878908e-32,0.0,8.0865677919939186e-25,2.8399573320497194e-45,2.0546422184036198e-58,0.0,1.7308768050465149e-75,4.3047775968740478e-67,0.0,2.2974557474952603e-10,2.2974557474881998e-10,3.5282978545830257e-22,3.0890780003900199e-25,5.333626018865052e-25,4.5779119737822277e-34,6.7322637027721994e-36,1.306834314862033e-33,3.0061119560841082e-34,1.5335910131228822e-42,1.7756184800663777e-43,3.4328229059746202e-34,7.7114113419972019e-44,3.8252170857042639e-55,1.801433667099461e-34
1.4847190074162391e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282534993374,0.66999999975611002,1.2362366476599991e-32,0.0,9.0524415723724378e-25,3.1792005291934149e-45,2.6373196063780304e-58,0.0,2.5363144764714966e-75,5.7864604541366162e-67,0.0,2.4389027879702775e-10,2.4389027879623743e-10,3.9497661011981984e-22,3.5861050067170842e-25,5.8637114847703644e-25,5.5599872898913174e-34,8.1765003062783752e-36,1.6213366919647128e-33,3.482006174972562e-34,1.9555635340001013e-42,2.2641856308205996e-43,4.0583801022750737e-34,9.3656997559455063e-44,4.8376963322015243e-55,2.114684408279673e-34
1.5708271481857424e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282532164431,0.66999999974196534,1.501334410230113e-32,0.0,1.0080872706628022e-24,3.5404225272013698e-45,3.3593167639572138e-58,0.0,3.6873978945929665e-75,7.7182246747596551e-67,0.0,2.5803497888612566e-10,2.5803497888524544e-10,4.3985403804500528e-22,4.1369208533768702e-25,6.4107292534955469e-25,6.7131473580109142e-34,9.8723334056585749e-36,1.9980628993048255e-33,4.0077319950773983e-34,2.480956425761007e-42,2.8724946804927026e-43,4.767347446422505e-34,1.1308177394129093e-43,6.0903401343710282e-55,2.4680641337562134e-34
1.6483244748782954e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282529618385,0.66999999972923507,1.7669362364907107e-32,0.0,1.1045514752345551e-24,3.8792437049636026e-45,4.1127069503725958e-58,0.0,5.0524044620769363e-75,9.8236305033482511e-67,0.0,2.7076520634362657e-10,2.7076520634266213e-10,4.819484407223831e-22,4.666878872317781e-25,6.913283872504113e-25,7.8618675701280519e-34,1.156163713604335e-35,2.3810342248224063e-33,4.5123576633250473e-34,3.0226779867171971e-42,3.499709331789902e-43,5.460685339702138e-34,1.3243176174172619e-43,7.3762224705227302e-55,2.8117418371226845e-34
1.7258218015708484e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282527072338,0.66999999971650481,2.0717276547570376e-32,0.0,1.2063791720231255e-24,4.2369101282767486e-45,5.0181994811111179e-58,0.0,6.9079007827278193e-75,1.2468497775731512e-66,0.0,2.8349543005461094e-10,2.8349543005355753e-10,5.2638414089926488e-22,5.2455600481069185e-25,7.4284777319038167e-25,9.182901690167319e-34,1.350434488388531e-35,2.828629188901281e-33,5.061760772591732e-34,3.678752891374075e-42,4.2593242567082476e-43,6.2329753221185198e-34,1.5468434669892234e-43,8.9269078851488843e-55,3.1934234540403157e-34
1.8033191282634016e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282524526291,0.66999999970377455,2.4115321536872234e-32,0.0,1.3126158219071086e-24,4.6100682799035718e-45,6.0691163845738992e-58,0.0,9.3407948080478585e-75,1.5669544674863179e-66,0.0,2.9622565051425744e-10,2.9622565051311123e-10,5.727445042684344e-22,5.8651420205097922e-25,7.9535660789844687e-25,1.0653507833886719e-33,1.56670124816947e-35,3.3356371725577636e-33,5.6485139689574841e-34,4.4377377226831625e-42,5.1380900562886957e-43,7.0737852426054399e-34,1.7945644581581887e-43,1.071492261250068e-54,3.607408228806974e-34
1.9583137816485077e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282519434203,0.66999999967831414,3.1769917534294923e-32,0.0,1.5349253307213048e-24,5.3909472287924301e-45,8.5487711657353981e-58,0.0,1.5978807412570967e-74,2.360616343596504e-66,0.0,3.2168608367267759e-10,3.2168608367133715e-10,6.6975923007925521e-22,7.1981422402999422e-25,9.0242743041062953e-25,1.395429316622998e-33,2.0521133809363177e-35,4.4992239704748416e-33,6.9070341016069161e-34,6.2146191131508176e-42,7.1953940563818119e-43,8.9189690305750695e-34,2.3505758809760569e-43,1.4886378907291573e-54,4.5108775999632074e-34
