Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C4H6(54),C4H5X(365),C4H5X(364),C2H6(343),C6H8(56),C6H7X(481),C6H8(455),C6H7X(480),C6H7X(479),C6H7X(636),C6H7X(635),C6H7X(634),C6H9X(441),C8H10(458),SX(1061),SX(1060),SX(1059),SX(1058),SX(1056),SX(1055),SX(931),C8H10(459),SX(1750),SX(1922)
5.8701804104430885e-09,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.26383153953825883,0.66512390140936939,2.4470246565178154e-16,0.0,1.2328323556209009e-13,1.1162582520544626e-34,0.0,0.0,0.0,0.0,0.0,0.0048772435547855403,0.0046129030945622537,0.00013044960530888546,1.3907517235923735e-07,1.0005150360073572e-06,1.1616747358758062e-10,5.5751493840594454e-09,1.3672159100225989e-11,2.798025822467969e-11,2.2948448947160502e-11,2.2971869671970994e-11,6.2334124414637447e-14,3.2873055982597951e-14,8.9113214752621582e-14,1.4556744095529553e-19,5.9104624069928281e-15,5.6648534097766619e-18,5.6648534208179096e-18,5.6648534208179096e-18,6.426363483117067e-18,6.3390158189812889e-18,6.382700821212775e-18,2.3508277514540039e-25,2.3145461088283339e-21,2.1317468728163107e-25,4.1157354771307512e-24
5.910170391907897e-09,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.26383146803122209,0.66512286903765749,2.4655948580988218e-16,0.0,1.2331966412481351e-13,1.1172554658215113e-34,0.0,0.0,0.0,0.0,0.0,0.0048782926383021431,0.0046119088934609984,0.00013144613321594277,1.4015076660822799e-07,1.0160627197253849e-06,1.1705679847037365e-10,5.6630091522584359e-09,1.3913117038299485e-11,2.8628087856911551e-11,2.3496671362424804e-11,2.3520893441183832e-11,6.3920722146594088e-14,3.3717129728688356e-14,9.1874436080939919e-14,1.4024185380974873e-19,6.0980488838076864e-15,5.8631560718152541e-18,5.8631560832835591e-18,5.8631560832835591e-18,6.682884711119979e-18,6.5913526082164685e-18,6.6371303561361397e-18,2.4236797368477928e-25,2.4040469117010264e-21,2.2145260846308622e-25,4.2891866488861203e-24
5.950160373372706e-09,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.26383139612210776,0.6651218370187707,2.4841665426241709e-16,0.0,1.2335608523362905e-13,1.1182314322768033e-34,0.0,0.0,0.0,0.0,0.0,0.0048793414868889187,0.0046109152121487787,0.0001324421066006967,1.4122528937177484e-07,1.0317286739346815e-06,1.1794631306945626e-10,5.7515171756953763e-09,1.415608676631618e-11,2.9285768356466127e-11,2.4053497513104919e-11,2.4078541582141174e-11,6.5534063312998203e-14,3.4575636291433623e-14,9.4699336835892675e-14,1.3846604916788577e-19,6.2900354398439672e-15,6.0666496880037116e-18,6.0666496999116109e-18,6.0666496999116109e-18,6.9475311610343995e-18,6.8516487175793008e-18,6.8996021826206067e-18,2.4982123857091474e-25,2.4962942282135907e-21,2.299856085092755e-25,4.4684862501134643e-24
5.990150354837515e-09,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.26383132380101881,0.66512080534737184,2.5027397087110946e-16,0.0,1.2339249888997986e-13,1.1191867524263326e-34,0.0,0.0,0.0,0.0,0.0,0.0048803901058169803,0.0046099220553165038,0.00013343752585257882,1.4229874165215376e-07,1.047512832524802e-06,1.1883601734238166e-10,5.8406723630368667e-09,1.4401063550999829e-11,2.9953370387730072e-11,2.4618990592603771e-11,2.4644877642283744e-11,6.7174359690854679e-14,3.5448694087276893e-14,9.7588881418788064e-14,1.5371827240907736e-19,6.4864886278057815e-15,6.2754231298828181e-18,6.2754231422430952e-18,6.2754231422430952e-18,7.2204933012069166e-18,7.1200894035965929e-18,7.1703041637394507e-18,2.5744313823126823e-25,2.5913504981380714e-21,2.3877950944302661e-25,4.6537817688454928e-24
6.030140336302324e-09,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.26383125105901312,0.66511977401860012,2.5213143549975813e-16,0.0,1.2342890509576635e-13,1.1201220102681858e-34,0.0,0.0,0.0,0.0,0.0,0.0048814384998817802,0.004608929427175913,0.00013443239136276018,1.4337112447097228e-07,1.0634151294296087e-06,1.197259112476151e-10,5.9304736245707479e-09,1.4648042660402696e-11,3.0630964568650704e-11,2.5193213687822266e-11,2.5219965065466066e-11,6.8841822576915425e-14,3.6336421318551039e-14,1.0054404111893843e-13,1.479742659418641e-19,6.687475438632753e-15,6.4895659369695377e-18,6.4895659497952243e-18,6.4895659497952251e-18,7.5019644895952885e-18,7.3968626915958066e-18,7.4494269917864747e-18,2.6523985272798749e-25,2.6892790769028143e-21,2.4784021951026949e-25,4.8452231307531953e-24
6.070130317767133e-09,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.26383117788801519,0.66511874302802554,2.5398904801406336e-16,0.0,1.2346530385330793e-13,1.1210377732716955e-34,0.0,0.0,0.0,0.0,0.0,0.0048824866734467924,0.0046079373315035957,0.00013542670352395056,1.4444243886742113e-07,1.0794354986275481e-06,1.20615994744452e-10,6.0209198722095512e-09,1.4897019364434045e-11,3.1318621360622365e-11,2.5776229779318041e-11,2.5803867192109828e-11,7.0536662787780547e-14,3.7238935973242302e-14,1.0356579410411614e-13,1.4208315707574707e-19,6.8930633001039689e-15,6.7091683138098025e-18,6.7091683271141843e-18,6.7091683271141843e-18,7.7921409931987652e-18,7.682159393337451e-18,7.7371642068076068e-18,2.7321292505078761e-25,2.790144251924702e-21,2.5717373372431999e-25,5.0429627169947382e-24
6.110120299231942e-09,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.26383110428073719,0.66511771237161155,2.5584680828146587e-16,0.0,1.2350169516530661e-13,1.1219345928433021e-34,0.0,0.0,0.0,0.0,0.0,0.0048835346304834954,0.0046069457716809321,0.00013642046273021685,1.4551268589666588e-07,1.0955738741418916e-06,1.2150626779294322e-10,6.1120100194933833e-09,1.5147988935354859e-11,3.2016411122947007e-11,2.6368101741464388e-11,2.6396647259357515e-11,7.2259090660019459e-14,3.8156355824772017e-14,1.0665512541100713e-13,1.6204393115656089e-19,7.1033200754445969e-15,6.9343211270346487e-18,6.9343211408312621e-18,6.9343211408312621e-18,8.0912220074348544e-18,7.9761731245824994e-18,8.0337122150731754e-18,2.8136165321809713e-25,2.8940112462853121e-21,2.6678613444042545e-25,5.2471553820233533e-24
6.150110280696751e-09,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2638310302306065,0.66511668204567742,2.5770471617100329e-16,0.0,1.2353807903481292e-13,1.1228130047794535e-34,0.0,0.0,0.0,0.0,0.0,0.0048845823746068431,0.0046059547507304116,0.00013741366937681704,1.4658186662837128e-07,1.1118301900409538e-06,1.2239673035382723e-10,6.2037429815923086e-09,1.5400946648241031e-11,3.2724404194270599e-11,2.6968892342609361e-11,2.6998368401226129e-11,7.4009316050329062e-14,3.90887984318044e-14,1.098130269356716e-13,1.5686563419468739e-19,7.3183140619352001e-15,7.1651159024200635e-18,7.1651159167226956e-18,7.1651159167226971e-18,8.3994096754625973e-18,8.2791003225949953e-18,8.3392703074911053e-18,2.8969294983786089e-25,3.0009462149243826e-21,2.766835919477006e-25,5.4579584713418388e-24
6.19010026216156e-09,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.26383095573169973,0.66511565204686629,2.595627715531779e-16,0.0,1.2357445546519765e-13,1.1236735297069111e-34,0.0,0.0,0.0,0.0,0.0,0.0048856299091079389,0.0046049642713485864,0.00013840632386005069,1.4764998214534907e-07,1.1282043804382856e-06,1.2328738238846847e-10,6.2961176753082816e-09,1.5655887781417008e-11,3.3442670746462415e-11,2.7578664245234913e-11,2.7609093648761039e-11,7.578754833576862e-14,4.0036381138099543e-14,1.130404974240325e-13,1.4482437725833162e-19,7.5381139895237874e-15,7.4016448219508554e-18,7.4016448367735564e-18,7.4016448367735564e-18,8.7169091074524592e-18,8.5911402635799428e-18,8.654040677961025e-18,2.9820934322484064e-25,3.1110162626764564e-21,2.8687236500462196e-25,5.6755318391319128e-24
6.230090243626369e-09,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.26383088077868383,0.66511462237211538,2.6142097429983707e-16,0.0,1.2361082446012297e-13,1.1245166735107778e-34,0.0,0.0,0.0,0.0,0.0,0.0048866772369843148,0.0046039743359360353,0.00013939842657712239,1.4871703354231312e-07,1.1446963794928458e-06,1.2417822385880114e-10,6.3891330190766473e-09,1.5912807616861261e-11,3.4171280828868112e-11,2.8197480006116247e-11,2.8228885930189955e-11,7.7593996414004352e-14,4.0999221072378465e-14,1.1633854246236063e-13,1.7028799769555672e-19,7.7627890194406087e-15,7.6440007208885562e-18,7.644000736245635e-18,7.644000736245635e-18,9.0439283998029408e-18,8.9124950800566664e-18,8.9782284416694581e-18,3.0690851909084289e-25,3.2242894507517697e-21,2.9735880140199057e-25,5.9000378658400791e-24
