Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57)
5.106036081244061e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855200043712464,0.0,0.17647058700585555,0.0,0.0,3.2423654395666996e-14,3.042628763295314e-27,0.0,1.1653492547226955e-16,0.0,0.0,5.1469629736396076e-15,0.0,0.11760711426427224,1.514241339186925e-28,0.0,0.0,0.0,3.982734644299797e-05,5.9882890344044855e-09,1.1838921496779856e-07,8.541358680377756e-11,1.1830387114219672e-07
5.136086836044571e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855199726525535,0.0,0.17647058700585588,0.0,0.0,3.299935067244464e-14,3.1149362258951547e-27,0.0,1.1860580997308849e-16,0.0,0.0,5.207636870221505e-15,0.0,0.11760708254557797,1.55935549288978e-28,0.0,0.0,0.0,3.9858368521005667e-05,5.988288368979904e-09,1.1908583005017145e-07,8.541408390787286e-11,1.1900048693539022e-07
5.16613759084508e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855199415169587,0.0,0.17647058700585622,0.0,0.0,3.35818201307139e-14,3.1885248263992925e-27,0.0,1.2070108241134855e-16,0.0,0.0,5.2686653011357015e-15,0.0,0.11760705140998175,1.6055385426862445e-28,0.0,0.0,0.0,3.988880750160943e-05,5.988287715788177e-09,1.19782444446985e-07,8.541458178431858e-11,1.1969710205610414e-07
5.196188345645589e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855199109535021,0.0,0.17647058700585655,0.0,0.0,3.417110235569327e-14,3.26340960789214e-27,0.0,1.2282088552769076e-16,0.0,0.0,5.330048249396426e-15,0.0,0.11760702084652368,1.6528093704071494e-28,0.0,0.0,0.0,3.991867434470636e-05,5.988287074599373e-09,1.204790581643964e-07,8.541508041858337e-11,1.2039371651058901e-07
5.226239100446098e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855198809514297,0.0,0.17647058700585688,0.0,0.0,3.4767236932207015e-14,3.3396057012471065e-27,0.0,1.249653620625651e-16,0.0,0.0,5.391785698021827e-15,0.0,0.11760699084444988,1.701187078933362e-28,0.0,0.0,0.0,3.994797980419143e-05,5.988286445187889e-09,1.211756712084455e-07,8.541557979640911e-11,1.2109033030497793e-07
5.256289855246607e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855198515001898,0.0,0.17647058700585716,0.0,0.0,3.537026344468542e-14,3.4171283251264745e-27,0.0,1.2713465475623107e-16,0.0,0.0,5.453877630033924e-15,0.0,0.11760696139320861,1.7506909934820135e-28,0.0,0.0,0.0,3.997673443182942e-05,5.988285827332358e-09,1.2187228358505697e-07,8.541607990380558e-11,1.2178694344528838e-07
5.286340610047116e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28551982258942893,0.0,0.17647058700585747,0.0,0.0,3.5980221477164966e-14,3.495992785981296e-27,0.0,1.2932890634875912e-16,0.0,0.0,5.516324028458528e-15,0.0,0.1176069324824464,1.8013406628927303e-28,0.0,0.0,0.0,4.000494858105412e-05,5.988285220815571e-09,1.2256889530004274e-07,8.541658072704553e-11,1.2248355593742492e-07
5.316391364847625e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855197942089884,0.0,0.17647058700585777,0.0,0.0,3.6597150613288594e-14,3.5762144780512604e-27,0.0,1.3154825958003095e-16,0.0,0.0,5.5791248763252056e-15,0.0,0.1176069041020044,1.853155860913861e-28,0.0,0.0,0.0,4.003263241069625e-05,5.988284625424411e-09,1.2326550635910387e-07,8.541708225265974e-11,1.2318016778718082e-07
5.346442119648134e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28551976634890014,0.0,0.17647058700585808,0.0,0.0,3.722109043630592e-14,3.6578088833645984e-27,0.0,1.3379285718974064e-16,0.0,0.0,5.6422801566672084e-15,0.0,0.11760687624191474,1.9061565874887027e-28,0.0,0.0,0.0,4.0059795888641176e-05,5.98828404094976e-09,1.2396211676783254e-07,8.541758446743227e-11,1.2387677900024046e-07
5.376492874448644e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28551973899938354,0.0,0.17647058700585838,0.0,0.0,3.7852080529073385e-14,3.7407915717379464e-27,0.0,1.360628419173953e-16,0.0,0.0,5.7057898525214235e-15,0.0,0.11760684889239686,1.9603630700417252e-28,0.0,0.0,0.0,4.00864487954179e-05,5.988283467186424e-09,1.246587265317144e-07,8.541808735839527e-11,1.245733895821813e-07
