Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20)
1.5115481807237277e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599511973782,0.0,0.1764705894876853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705604140081,0.0,0.0,0.0,0.0,3.958599188120654e-09,1.0246295881221282e-09
1.6095739140210575e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995087565433,0.0,0.17647058945517685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705578469391,0.0,0.0,0.0,0.0,4.21530610233518e-09,1.0896464307595525e-09
1.7075996473183872e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995055419675,0.0,0.17647058942280072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705552798857,0.0,0.0,0.0,0.0,4.472011427578495e-09,1.1543987352591562e-09
1.805625380615717e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599502330198,0.0,0.1764705893905641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705527128484,0.0,0.0,0.0,0.0,4.728715163860079e-09,1.218871954920905e-09
1.9036511139130467e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599499121377,0.0,0.17647058935847418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705501458268,0.0,0.0,0.0,0.0,4.9854173111902006e-09,1.2830518087739006e-09
2.0016768472103765e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555994959156467,0.0,0.17647058932653795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705475788213,0.0,0.0,0.0,0.0,5.242117869578769e-09,1.3469242907053272e-09
2.0997025805077063e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599492713144,0.0,0.17647058929476225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705450118315,0.0,0.0,0.0,0.0,5.498816839036408e-09,1.4104756837132664e-09
2.197728313805036e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599489514001,0.0,0.17647058926315382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705424448578,0.0,0.0,0.0,0.0,5.7555142195728935e-09,1.4736925669936923e-09
2.2957540471023658e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599486318351,0.0,0.1764705892317192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705398778998,0.0,0.0,0.0,0.0,6.012210011198788e-09,1.5365618298120685e-09
2.3937797803996955e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559948312632,0.0,0.17647058920046474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705373109578,0.0,0.0,0.0,0.0,6.268904213924194e-09,1.5990706777970661e-09
2.4918055136970253e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555994799380335,0.0,0.17647058916939679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705347440316,0.0,0.0,0.0,0.0,6.525596827759086e-09,1.6612066420476534e-09
2.589831246994355e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555994767536147,0.0,0.17647058913852132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705321771214,0.0,0.0,0.0,0.0,6.782287852713295e-09,1.7229575877918439e-09
2.6878569802916848e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599473573178,0.0,0.17647058910784427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176470529610227,0.0,0.0,0.0,0.0,7.0389772887971145e-09,1.7843117231721827e-09
2.8057729887612026e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599469752845,0.0,0.1764705890712135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705265225085,0.0,0.0,0.0,0.0,7.3477491422843845e-09,1.8575732327346735e-09
2.9236889972307204e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599465938634,0.0,0.17647058903488771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176470523434813,0.0,0.0,0.0,0.0,7.65651869672599e-09,1.9302247893108643e-09
3.041605005700238e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555994621307296,0.0,0.17647058899887616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705203471405,0.0,0.0,0.0,0.0,7.965285952139656e-09,2.0022479162433738e-09
3.159521014169755e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559945832931,0.0,0.17647058896318768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705172594908,0.0,0.0,0.0,0.0,8.274050908543125e-09,2.073624907523192e-09
3.277437022639273e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555994545345437,0.0,0.17647058892783068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705141718643,0.0,0.0,0.0,0.0,8.582813565954172e-09,2.144338838615899e-09
3.39535303110879e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555994507465937,0.0,0.17647058889281333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705110842608,0.0,0.0,0.0,0.0,8.891573924390682e-09,2.214373575338669e-09
3.513269039578308e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599446965611,0.0,0.1764705888581432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117647050799668,0.0,0.0,0.0,0.0,9.200331983870543e-09,2.2837137806455525e-09
3.631185048047825e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555994431917414,0.0,0.17647058882382766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705049091224,0.0,0.0,0.0,0.0,9.509087744411652e-09,2.3523449196622094e-09
3.7491010565173426e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599439425124,0.0,0.17647058878987346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705018215879,0.0,0.0,0.0,0.0,9.817841206031883e-09,2.4202532630226423e-09
3.86701706498686e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599435665885,0.0,0.17647058875628713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764704987340761,0.0,0.0,0.0,0.0,1.0126592368749129e-08,2.487425888557512e-09
3.9849330734563776e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555994319141487,0.0,0.17647058872307478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764704956465875,0.0,0.0,0.0,0.0,1.0435341232581304e-08,2.553850681279127e-09
4.102849081925895e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599428170026,0.0,0.1764705886902419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176470492559122,0.0,0.0,0.0,0.0,1.074408779754635e-08,2.61951633170208e-09
4.2207650903954125e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555994244336236,0.0,0.17647058865779391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764704894716792,0.0,0.0,0.0,0.0,1.1052832063662211e-08,2.684412332563279e-09
4.33868109886493e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599420705037,0.0,0.17647058862573564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764704863842596,0.0,0.0,0.0,0.0,1.1361574030946838e-08,2.7485289740334365e-09
4.4565971073344474e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599416984357,0.0,0.17647058859407144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176470483296863,0.0,0.0,0.0,0.0,1.1670313699418201e-08,2.8118573374860265e-09
4.574513115803965e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599413271664,0.0,0.17647058856280548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764704802094891,0.0,0.0,0.0,0.0,1.1979051069094262e-08,2.8743892878821273e-09
4.6924291242734824e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599409567032,0.0,0.17647058853194142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764704771221385,0.0,0.0,0.0,0.0,1.2287786139993007e-08,2.9361174648275996e-09
4.810345132743e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555994058705253,0.0,0.17647058850148248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764704740348109,0.0,0.0,0.0,0.0,1.2596518912132424e-08,2.997035272371749e-09
4.9282611412125173e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555994021822045,0.0,0.17647058847143166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176470470947506,0.0,0.0,0.0,0.0,1.290524938553051e-08,3.0571368676228194e-09
5.046177149682035e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555993985021194,0.0,0.17647058844179153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764704678602243,0.0,0.0,0.0,0.0,1.3213977560205268e-08,3.1164171482574483e-09
5.164093158151552e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555993948303154,0.0,0.17647058841256422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764704647729657,0.0,0.0,0.0,0.0,1.3522703436174697e-08,3.174871738998372e-09
5.28200916662107e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555993911668276,0.0,0.17647058838375163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764704616857298,0.0,0.0,0.0,0.0,1.3831427013456813e-08,3.2324969771336864e-09
