Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23)
1.8504280761101255e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2854718263350366,0.0,0.17643897944692416,0.0,7.366505060736156e-08,1.3944661708357778e-06,8.16667804169844e-11,0.0,3.146602311606823e-05,0.0,0.0,3.166002778161751e-10,0.0,0.11756051921064833,3.345956281364058e-11,0.0,1.9166107141370924e-07,0.0,4.14552195124339e-05,5.986622593154857e-09,4.195859647820149e-05,9.163097000007226e-11,1.081077251374694e-05,1.5119783281652166e-10,2.7973324326281764e-06,2.6776944348107852e-05,1.1083821866876882e-08,4.6976798532709205e-06,4.914489089975458e-10,5.45004882180251e-10
1.858122680894936e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28547163437929934,0.0,0.1764388076183705,0.0,7.44972971555242e-08,1.4098783243031634e-06,8.284050938522548e-11,0.0,3.163675687192711e-05,0.0,0.0,3.1827143649225503e-10,0.0,0.1175603388522461,3.380022473715949e-11,0.0,1.9293626028310953e-07,0.0,4.145512803387883e-05,5.986615234083698e-09,4.2105292043097304e-05,9.162416203189883e-11,1.0813689943261016e-05,1.5100372887016624e-10,2.8040696197368822e-06,2.6902434060191382e-05,1.1144016711398311e-08,4.74296387671123e-06,4.968816053162926e-10,5.472130300384835e-10
1.8658172856797465e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28547144245603523,0.0,0.1764386357402551,0.0,7.533507132196915e-08,1.4253857931975179e-06,8.402613833420019e-11,0.0,3.1807536541788106e-05,0.0,0.0,3.1994162960030985e-10,0.0,0.11756015853443101,3.4142888400347957e-11,0.0,1.9421327056979583e-07,0.0,4.145503657444326e-05,5.986607875553374e-09,4.225174351143257e-05,9.1617321803577e-11,1.0816547444464267e-05,1.5081046281045648e-10,2.81078018397755e-06,2.7027758104845963e-05,1.1204227733620325e-08,4.788459455698956e-06,5.023479048049039e-10,5.494194629420518e-10
1.873511890464557e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2854712505654149,0.0,0.17643846381352368,0.0,7.617838100480832e-08,1.4409886027515812e-06,8.522373684855284e-11,0.0,3.197836118592004e-05,0.0,0.0,3.216108377744783e-10,0.0,0.11755997825704696,3.448755554640195e-11,0.0,1.9549208208524674e-07,0.0,4.145494513409693e-05,5.986600517583983e-09,4.239795099308044e-05,9.1610450108111e-11,1.0819345998395236e-05,1.50618029565739e-10,2.8174642404600588e-06,2.7152915822796444e-05,1.1264454601070056e-08,4.834166309873863e-06,5.07847816335611e-10,5.516241720042031e-10
1.8812064952493675e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2854710587076067,0.0,0.17643829183910667,0.0,7.70272340150513e-08,1.4566867760050552e-06,8.64333745724177e-11,0.0,3.214922987995378e-05,0.0,0.0,3.232790419031724e-10,0.0,0.11755979801993861,3.483422787537157e-11,0.0,1.9677267473385084e-07,0.0,4.145485371280954e-05,5.986593160194719e-09,4.2543914601653075e-05,9.160354772539123e-11,1.0822086570611061e-05,1.5042642410758194e-10,2.8241219036768633e-06,2.727790657123118e-05,1.1324696986709897e-08,4.880084157777973e-06,5.13381348007086e-10,5.538271484248082e-10
1.888901100034178e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2854708668827761,0.0,0.17643811981791943,0.0,7.788163807700537e-08,1.4724803338178006e-06,8.765512120792408e-11,0.0,3.232014171463975e-05,0.0,0.0,3.2494622312647984e-10,0.0,0.11755961782295125,3.518290704431461e-11,0.0,1.9805502851269295e-07,0.0,4.1454762310550486e-05,5.986585803402653e-09,4.268963445447865e-05,9.159661542242813e-11,1.082477011142982e-05,1.5023564144011662e-10,2.830753287507135e-06,2.740272972353198e-05,1.1384954568851691e-08,4.92621271688313e-06,5.189485071490714e-10,5.560283834894846e-10
1.8965957048189885e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28547067509108603,0.0,0.1764379477508623,0.0,7.874160082867439e-08,1.4883692948830336e-06,8.888904651370725e-11,0.0,3.249109579560947e-05,0.0,0.0,3.266123628335958e-10,0.0,0.11755943766593092,3.553359466745301e-11,0.0,1.9933912351134075e-07,0.0,4.145467092728907e-05,5.986578447227049e-09,4.283511067257862e-05,9.158965395359328e-11,1.0827397556169056e-05,1.5004567660600663e-10,2.83735850522117e-06,2.7527384669008397e-05,1.1445227031072329e-08,4.972551703618099e-06,5.245493003270846e-10,5.58227868569791e-10
1.904290309603799e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28547048333269687,0.0,0.176437775638821,0.0,7.96071298221569e-08,1.504353675740525e-06,9.013522030342428e-11,0.0,3.266209124314069e-05,0.0,0.0,3.282774426602818e-10,0.0,0.11755925754872444,3.5886292316332126e-11,0.0,2.0062493991163051e-07,0.0,4.1454579562994594e-05,5.986571091687935e-09,4.298034338064425e-05,9.158266406073587e-11,1.0829969825380584e-05,1.4985652468566068e-10,2.843937669483993e-06,2.7651870812636193e-05,1.1505514062130707e-08,5.019100833395222e-06,5.301837333470782e-10,5.604255951234225e-10
1.9119849143886095e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28547029160776605,0.0,0.17643760348266688,0.0,8.047823252404307e-08,1.5204334907897968e-06,9.139371244427592e-11,0.0,3.283312719192626e-05,0.0,0.0,3.2994144448635137e-10,0.0,0.11755907747117932,3.624100151998255e-11,0.0,2.0191245798745397e-07,0.0,4.145448821763618e-05,5.986563736799689e-09,4.31253327070139e-05,9.157564647338094e-11,1.0832487825081634e-05,1.496681807944248e-10,2.850490892359736e-06,2.7776187574799893e-05,1.1565815355885925e-08,5.065859820636629e-06,5.358518112600205e-10,5.62621554692618e-10
1.91967951917342e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2854700999164484,0.0,0.1764374312832571,0.0,8.135491631581113e-08,1.5366087523033225e-06,9.266459285553384e-11,0.0,3.300420279084654e-05,0.0,0.0,3.3160435043318395e-10,0.0,0.11755889743314372,3.659772376508472e-11,0.0,2.0320165810454321e-07,0.0,4.1454396891182666e-05,5.986556382578957e-09,4.327007878364961e-05,9.156860190906096e-11,1.0834952446982348e-05,1.4948064008440995e-10,2.8570182853153246e-06,2.790033439103937e-05,1.1626130611216724e-08,5.112828378800027e-06,5.415535383665997e-10,5.648157389036808e-10
