Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40)
6.609337947245606e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28551894130359873,0.0,0.17647058597122012,0.0,0.0,8.608802696935039e-14,8.937845314403935e-20,0.0,1.0329394576552596e-09,0.0,0.0,9.534673453900175e-15,0.0,0.1176060514392471,5.721903012685456e-18,0.0,0.0,0.0,4.0839001068377835e-05,5.98826671500404e-09,1.6955802932320714e-07,8.543733860218298e-11,1.5211968112849365e-07,2.439724560594698e-10,1.6077420107203607e-08,1.0346469955550782e-09,2.3403314846120633e-13
6.653549983269432e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28551892258375006,0.0,0.1764705859573669,0.0,0.0,8.782652865150549e-14,9.147356868730849e-20,0.0,1.046779239059847e-09,0.0,0.0,9.662415212301554e-15,0.0,0.11760603271938469,5.837155912054442e-18,0.0,0.0,0.0,4.085658714119243e-05,5.988266322050596e-09,1.7069180545563627e-07,8.543808908860313e-11,1.5313069566233694e-07,2.439680419273108e-10,1.6186355268801486e-08,1.0485003952679811e-09,2.37804112665068e-13
6.697762019293257e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28551890434807703,0.0,0.17647058594342202,0.0,0.0,8.958827209543554e-14,9.360441860356885e-20,0.0,1.060710687196735e-09,0.0,0.0,9.791003811630288e-15,0.0,0.11760601448369791,5.953940736065325e-18,0.0,0.0,0.0,4.087368904253837e-05,5.9882659392531545e-09,1.7182557739060098e-07,8.543884013908095e-11,1.5414161746347376e-07,2.4396362994655487e-10,1.6295287311342058e-08,1.0624454935421962e-09,2.4160707999963476e-13
6.741974055317083e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28551888658325003,0.0,0.17647058592938542,0.0,0.0,9.137341144448713e-14,9.577139277015942e-20,0.0,1.0747337936502302e-09,0.0,0.0,9.920439189673596e-15,0.0,0.11760599671885719,6.0722674564084085e-18,0.0,0.0,0.0,4.089032010196898e-05,5.988265566332058e-09,1.7295934513629797e-07,8.543959173595017e-11,1.5515244654790404e-07,2.4395922006328303e-10,1.6404216235807168e-08,1.076482281970172e-09,2.454420596994874e-13
6.786186091340909e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855188692763065,0.0,0.1764705859152571,0.0,0.0,9.318210083852517e-14,9.797488304797679e-20,0.0,1.0888485500064282e-09,0.0,0.0,1.005072128422915e-14,0.0,0.11760597941189994,6.192146042010296e-18,0.0,0.0,0.0,4.090649328206734e-05,5.988265203015378e-09,1.7409310870069254e-07,8.544034386203132e-11,1.5616318293141674e-07,2.4395481222506197e-10,1.651314204315488e-08,1.0906107521457953e-09,2.493090606525335e-13
6.830398127364735e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855188524146408,0.0,0.17647058590103717,0.0,0.0,9.501449441393243e-14,1.0021528328092497e-19,0.0,1.1030549478531823e-09,0.0,0.0,1.0181850033104873e-14,0.0,0.11760596255022042,6.313586459034599e-18,0.0,0.0,0.0,4.0922221188547945e-05,5.988264849038664e-09,1.7522686809152523e-07,8.544109650061766e-11,1.57173826629596e-07,2.439504063809033e-10,1.6622064734320118e-08,1.1048308956643757e-09,2.5320809140987177e-13
6.87461016338856e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855188359859941,0.0,0.17647058588672554,0.0,0.0,9.68707463036094e-14,1.0249298929536536e-19,0.0,1.1173529787800779e-09,0.0,0.0,1.031382537411877e-14,0.0,0.11760594612155997,6.436598670882634e-18,0.0,0.0,0.0,4.093751608008082e-05,5.988264504144721e-09,1.763606233163179e-07,8.544184963546265e-11,1.5818437765782612e-07,2.4394600248122274e-10,1.6730984310215323e-08,1.1191427041226245e-09,2.571391601953752e-13
6.918822199412386e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855188199784452,0.0,0.17647058587232223,0.0,0.0,9.87510106369737e-14,1.0480839889956661e-19,0.0,1.131742634378403e-09,0.0,0.0,1.0446647245098788e-14,0.0,0.11760593011399739,6.5611926381941194e-18,0.0,0.0,0.0,4.0952389877846455e-05,5.988264168083461e-09,1.7749437438237973e-07,8.54426032507675e-11,1.591948360312977e-07,2.439416004778026e-10,1.6839900771731055e-08,1.1335461691186392e-09,2.61102274915003e-13
6.963034235436212e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855188043804014,0.0,0.17647058585782732,0.0,0.0,1.0065544153995984e-13,1.0716191188315492e-19,0.0,1.1462239062411247e-09,0.0,0.0,1.0580315583882635e-14,0.0,0.11760591451593973,6.687378318847874e-18,0.0,0.0,0.0,4.096685417482774e-05,5.988263840611692e-09,1.7862812129681304e-07,8.544335733116836e-11,1.6020520176501267e-07,2.439372003237533e-10,1.6948814119736593e-08,1.148041282251884e-09,2.650974431658494e-13
7.007246271460037e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855187891805885,0.0,0.17647058584324068,0.0,0.0,1.025841931350187e-13,1.0955393001656407e-19,0.0,1.16079678596286e-09,0.0,0.0,1.0714830328317627e-14,0.0,0.1176058993161131,6.815165667962501e-18,0.0,0.0,0.0,4.09809202448456e-05,5.988263521492874e-09,1.797618640665192e-07,8.544411186172443e-11,1.6121547487378924e-07,2.439328019734774e-10,1.7057724355080557e-08,1.162628035123175e-09,2.691246722449327e-13
