Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136)
5.655687206707116e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599559934746,0.0,0.17647058998064089,0.0,0.0,5.546099448291484e-32,1.3622974353660804e-41,0.0,4.264148292647472e-25,0.0,0.0,7.149055867706278e-27,0.0,0.11764705985173099,1.683983839919457e-39,0.0,0.0,0.0,1.4812380311560602e-10,3.8718267082491916e-11,1.4520113541631833e-13,1.3109548686202376e-13,1.0400837623022846e-16,1.400248807707244e-14,4.1388125517299003e-19,1.2617811138180835e-18,1.5307467854764723e-34,7.981516388642056e-28
6.357667915291525e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995597024797,0.0,0.17647058997823808,0.0,0.0,7.830272110083972e-32,2.1019854414130394e-41,0.0,5.95852962000398e-25,0.0,0.0,8.997201311862199e-27,0.0,0.11764705983332795,2.5983380511345345e-39,0.0,0.0,0.0,1.6650880982409973e-10,4.3523797271963644e-11,1.6322341848409914e-13,1.473531831099584e-13,1.3071951076944583e-16,1.5740414107204498e-14,5.201477700460324e-19,1.418392790631419e-18,2.361897542873687e-34,1.0044866627558927e-27
7.761629332460343e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599559237951,0.0,0.17647058997343265,0.0,0.0,1.413043526520311e-31,4.45947221001716e-41,0.0,1.0601882737795395e-24,0.0,0.0,1.334135885249097e-26,0.0,0.11764705979652192,5.5125094468484016e-39,0.0,0.0,0.0,2.0327879879630735e-10,5.3134684781502114e-11,1.9926798460240759e-13,1.7985927543088902e-13,1.9344193907236539e-16,1.9216229150861078e-14,7.69695743453894e-19,1.7316162695591185e-18,5.0108877391946475e-34,1.4894874378866103e-27
9.16559074962916e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995587734256,0.0,0.17647058996862736,0.0,0.0,2.316438039065665e-31,8.429787625073231e-41,0.0,1.722368268912987e-24,0.0,0.0,1.8549507103297878e-26,0.0,0.11764705975971591,1.0420353516004777e-38,0.0,0.0,0.0,2.40048755169142e-10,6.274529941444915e-11,2.3531255069770674e-13,2.1235296914547548e-13,2.685629527321221e-16,2.269199483001247e-14,1.0686060030457548e-18,2.0448399461270254e-18,9.472131182714446e-34,2.0709480431975747e-27
1.0569552166797978e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599558308904,0.0,0.17647058996382223,0.0,0.0,3.5433719984197155e-31,1.4631671216200413e-40,0.0,2.6184883934024723e-24,0.0,0.0,2.4621652956989933e-26,0.0,0.11764705972290994,1.808671468283769e-38,0.0,0.0,0.0,2.7681867894237286e-10,7.235559111532872e-11,2.713571167699959e-13,2.4483426893744796e-13,3.560778679817147e-16,2.616771114497365e-14,1.4168782337673145e-18,2.358063856432859e-18,1.6440872581554045e-33,2.7488693147143756e-27
1.1973513583966796e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995578443855,0.0,0.17647058995901724,0.0,0.0,5.143670027351234e-31,2.3787717448748215e-40,0.0,3.784388908084991e-24,0.0,0.0,3.1557772045694537e-26,0.0,0.11764705968610399,2.9404815552001454e-38,0.0,0.0,0.0,3.1358857011694813e-10,8.196551017138253e-11,3.07401682819275e-13,2.7730317990627317e-13,4.55981585318547e-16,2.964337809784104e-14,1.8145103391571025e-18,2.6712880363168907e-18,2.6729052237884194e-33,3.5232486095262196e-27
1.4781436418304432e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995569153647,0.0,0.17647058994940798,0.0,0.0,9.662659153596507e-31,5.454713925795769e-40,0.0,7.068076582774242e-24,0.0,0.0,4.802188946301821e-26,0.0,0.11764705961249224,6.742757281154846e-38,0.0,0.0,0.0,3.8712825467177454e-10,1.0118403254779909e-10,3.794908148488019e-13,3.4220385484448847e-13,6.929359561041328e-16,3.65945639224087e-14,2.757849059532971e-18,3.297737347363319e-18,6.1291812640748305e-33,5.3613771362513914e-27
1.7589359252642068e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995559863656,0.0,0.17647058993979978,0.0,0.0,1.627036379359261e-30,1.0850123014152584e-39,0.0,1.1858693715536841e-23,0.0,0.0,6.794180701084623e-26,0.0,0.11764705953888059,1.341220156617318e-37,0.0,0.0,0.0,4.606678088358274e-10,1.2040047064963115e-10,4.5157994678628453e-13,4.070550325117699e-13,9.79387513152615e-16,4.354555231231541e-14,3.898613563754005e-18,3.924188164527653e-18,1.2191716385233852e-32,7.585328616071313e-27
2.320520492131734e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599554128451,0.0,0.17647058992058726,0.0,0.0,3.7338575281739474e-30,3.2800985087283355e-39,0.0,2.709945978480101e-23,0.0,0.0,1.1814906245573554e-25,0.0,0.11764705939165769,4.054637146699719e-37,0.0,0.0,0.0,6.077465259917834e-10,1.5882551282521606e-10,5.957582103851e-13,5.36609046636518e-13,1.7006315818974664e-15,5.744693680942365e-14,6.77239864371716e-18,5.177095455952793e-18,3.6856698290383424e-32,1.3190707171903973e-26
2.8821050589992612e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599552270675,0.0,0.17647058990138123,0.0,0.0,7.152244598082526e-30,7.769355375461373e-39,0.0,5.1783368752971254e-23,0.0,0.0,1.8217950220754903e-25,0.0,0.11764705924443532,9.603948280611572e-37,0.0,0.0,0.0,7.548247215880305e-10,1.972374751218041e-10,7.399364736156907e-13,6.659655244739991e-13,2.619411595768409e-15,7.134753163607976e-14,1.0435818660796394e-17,6.430012187273046e-18,8.729993500844329e-32,2.0339390390859123e-26
