Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52)
5.193728061163167e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560087595,0.0,0.17647058998222218,0.0,0.0,4.30561632992955e-32,9.835799869381124e-42,0.0,3.3271712079713746e-25,0.0,0.0,6.038638194887211e-27,0.0,0.11764705986384165,1.2158379280080316e-39,0.0,0.0,0.0,1.360250022674712e-10,3.5555819738487465e-11,1.3334103956623397e-13,1.2039511025445768e-13,8.794957481039448e-17,1.2858788459751353e-14,3.4999473775861496e-19,1.158718189233315e-18
5.881133256440656e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599559860152,0.0,0.17647058997986925,0.0,0.0,6.207986043915249e-32,1.555621046724114e-41,0.0,4.7415212812222855e-25,0.0,0.0,7.70701146199791e-27,0.0,0.11764705984582073,1.9229579335337408e-39,0.0,0.0,0.0,1.540282788778421e-10,4.0261604112037595e-11,1.5098911858421705e-13,1.3631727145679162e-13,1.1207593030204225e-16,1.4560637298080833e-14,4.459761446199586e-19,1.3120780493135026e-18
6.568538451718145e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995596327094,0.0,0.17647058997751638,0.0,0.0,8.607937811639957e-32,2.352334195196545e-41,0.0,6.516585249254316e-25,0.0,0.0,9.582526996134804e-27,0.0,0.11764705982779983,2.9078028957170132e-39,0.0,0.0,0.0,1.7203154767248558e-10,4.4967338816149496e-11,1.6863719759668376e-13,1.522364585806337e-13,1.3917635926536203e-16,1.6262474301018922e-14,5.537924108907232e-19,1.4654379454396974e-18
7.943348842273123e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995591778255,0.0,0.17647058997281073,0.0,0.0,1.5122296019561288e-31,4.838349017736476e-41,0.0,1.1308501183113462e-24,0.0,0.0,1.395499767850984e-26,0.0,0.117647059791758,5.980852229935137e-39,0.0,0.0,0.0,2.0803806181411943e-10,5.437863708901197e-11,2.039333556050677e-13,1.840659125239862e-13,2.0229750644650176e-16,1.9666112800302158e-14,8.049299403685232e-19,1.7721578617960612e-18
9.318159232828101e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599558722946,0.0,0.17647058996810522,0.0,0.0,2.432001702726312e-31,8.940530344989328e-41,0.0,1.8042193854823235e-24,0.0,0.0,1.9155875279774574e-26,0.0,0.11764705975571622,1.1051700224517166e-38,0.0,0.0,0.0,2.4404454469900164e-10,6.378966751930563e-11,2.3922951359139005e-13,2.1588347909618605e-13,2.773060046527683e-16,2.306970396826441e-14,1.1033966632062952e-18,2.0788779722261355e-18
1.069296962338308e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599558268069,0.0,0.17647058996339987,0.0,0.0,3.6671793730974205e-31,1.5251495220332821e-40,0.0,2.7056340669658702e-24,0.0,0.0,2.5185149292641162e-26,0.0,0.11764705971967447,1.885290040209792e-38,0.0,0.0,0.0,2.8005099632755614e-10,7.32003831376902e-11,2.7452567155565024e-13,2.476891629360044e-13,3.6419721507882277e-16,2.6473247806171166e-14,1.4491913138796812e-18,2.3855983105980024e-18
1.2067780013938058e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599557813196,0.0,0.17647058995869472,0.0,0.0,5.26454752567205e-31,2.445929193830325e-40,0.0,3.868743691010608e-24,0.0,0.0,3.2042844840707243e-26,0.0,0.11764705968363275,3.023497168745206e-38,0.0,0.0,0.0,3.160574166988621e-10,8.261073726495336e-11,3.0982182949784737e-13,2.7948296814089985e-13,4.62967040231396e-16,2.987674431324792e-14,1.8423146667569698e-18,2.6923189105620462e-18
1.4817400795048015e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599556903464,0.0,0.17647058994928497,0.0,0.0,9.732081608185495e-31,5.495589284490461e-40,0.0,7.113904636796782e-24,0.0,0.0,4.8243544719941864e-26,0.0,0.11764705961154942,6.793284706253185e-38,0.0,0.0,0.0,3.8807016366817004e-10,1.0143017529110375e-10,3.804141453160485e-13,3.4303495974741534e-13,6.961254330860233e-16,3.668359533501838e-14,2.770547371723902e-18,3.3057610291245778e-18
1.7567021576157972e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599555993756,0.0,0.17647058993987627,0.0,0.0,1.6207360047160034e-30,1.077847156577468e-39,0.0,1.1807560856200042e-23,0.0,0.0,6.775803042789672e-26,0.0,0.1176470595394662,1.332363089792479e-37,0.0,0.0,0.0,4.6008278560504796e-10,1.2024760984420027e-10,4.5100646104598773e-13,4.065394886102476e-13,9.767464884287528e-16,4.349025703567085e-14,3.888092682379251e-18,3.919204595773968e-18
2.3066263138377886e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995541744167,0.0,0.17647058992106254,0.0,0.0,3.667101971488932e-30,3.19827052647024e-39,0.0,2.66096478489009e-23,0.0,0.0,1.167283395732657e-25,0.0,0.11764705939530015,3.953486990823016e-37,0.0,0.0,0.0,6.041076543831271e-10,1.578749837709467e-10,5.921910922410659e-13,5.334063000758287e-13,1.6802346145301107e-15,5.710301249580125e-14,6.6910989391981e-18,5.1460971426212374e-18
