Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45)
3.2708017064990384e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599550986512,0.0,0.17647058988809264,0.0,0.0,8.532868559888674e-30,0.0,0.0,0.0,0.0,0.0,2.1194028169860257e-25,0.0,0.11764705914261775,0.0,0.0,0.0,0.0,8.566235139198332e-10,2.23814722686682e-10,7.587467362853544e-13,7.587467362855663e-13
3.839636787200522e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559954910533,0.0,0.17647058986865363,0.0,0.0,1.3803531924202222e-29,0.0,0.0,0.0,0.0,0.0,2.920323020282047e-25,0.0,0.1176470589935096,0.0,0.0,0.0,0.0,1.0055997113748535e-09,2.6269278033848766e-10,8.907026895744729e-13,8.907026895747648e-13
4.4084718679020056e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599547224375,0.0,0.17647058984922567,0.0,0.0,2.089185855810594e-29,0.0,0.0,0.0,0.0,0.0,3.8493902336671642e-25,0.0,0.11764705884440198,0.0,0.0,0.0,0.0,1.154575373720922e-09,3.015486690760694e-10,1.0226586425222408e-12,1.0226586425226258e-12
4.977306948603489e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559954534368,0.0,0.17647058982981048,0.0,0.0,3.006713210487663e-29,0.0,0.0,0.0,0.0,0.0,4.906605000983125e-25,0.0,0.1176470586952949,0.0,0.0,0.0,0.0,1.3035505009576957e-09,3.403791244542858e-10,1.154614595128643e-12,1.1546145951291337e-12
5.654892425903646e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995431038167,0.0,0.1764705898067023,0.0,0.0,4.409392805514699e-29,0.0,0.0,0.0,0.0,0.0,6.333177430438494e-25,0.0,0.11764705851768208,0.0,0.0,0.0,0.0,1.4810061271651645e-09,3.8659551139938047e-10,1.3117980036584421e-12,1.3117980036590756e-12
6.332477903203803e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599540864422,0.0,0.17647058978361724,0.0,0.0,6.191914515303607e-29,0.0,0.0,0.0,0.0,0.0,7.941579523498512e-25,0.0,0.11764705834007003,0.0,0.0,0.0,0.0,1.6584609941074724e-09,4.3276570983792193e-10,1.4689814117038474e-12,1.4689814117046415e-12
7.13323918220698e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599538218616,0.0,0.1764705897563691,0.0,0.0,8.850399849019289e-29,0.0,0.0,0.0,0.0,0.0,1.0076782341306331e-24,0.0,0.11764705813017151,0.0,0.0,0.0,0.0,1.8681737576327096e-09,4.87262009181944e-10,1.6547386196990467e-12,1.6547386197000546e-12
7.934000461210157e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599535573632,0.0,0.17647058972916146,0.0,0.0,1.2178066020585459e-28,0.0,0.0,0.0,0.0,0.0,1.2465931795883674e-24,0.0,0.11764705792027405,0.0,0.0,0.0,0.0,2.0778854607642936e-09,5.416772057718337e-10,1.8404958270177246e-12,1.8404958270189715e-12
8.734761740213334e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995329295586,0.0,0.1764705897019989,0.0,0.0,1.6250033751238031e-28,0.0,0.0,0.0,0.0,0.0,1.5109027971922082e-24,0.0,0.11764705771037764,0.0,0.0,0.0,0.0,2.287596103507281e-09,5.960023838002835e-10,2.026253033659892e-12,2.0262530336614024e-12
9.53552301921651e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599530286485,0.0,0.17647058967488577,0.0,0.0,2.11414237618266e-28,0.0,0.0,0.0,0.0,0.0,1.8006070911135035e-24,0.0,0.1176470575004823,0.0,0.0,0.0,0.0,2.4973056858669143e-09,6.502286871328376e-10,2.212010239625572e-12,2.2120102396273733e-12
