Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36)
4.3103961813236413e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560379866,0.0,0.17647058998524565,0.0,0.0,2.51192337325965e-32,5.1442506717059467e-42,0.0,1.9950463128352261e-25,0.0,0.0,4.214943809912286e-27,0.0,0.11764705988699899,6.358990264153806e-40,0.0,0.0,0.0,1.1289035535791259e-10,2.9508710916507345e-11,1.1066284200899847e-13,9.993015943678778e-14,6.154497792662145e-17,1.0671854290022251e-14,2.4495106768184885e-19,9.616472017458222e-19,5.780343691267197e-35,4.705745961379345e-28,2.699163887722048e-41
5.01600919210516e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560146398,0.0,0.1764705899828304,0.0,0.0,3.905045480804569e-32,8.840249298248385e-42,0.0,3.044049272638334e-25,0.0,0.0,5.657337487291406e-27,0.0,0.11764705986850073,1.0927744178044656e-39,0.0,0.0,0.0,1.3137050841404062e-10,3.4339196785026806e-11,1.2877837890177384e-13,1.1627794275156726e-13,8.243047196999173e-17,1.2418796708081427e-14,3.2803872982590614e-19,1.119069178719312e-18,9.933355684251095e-35,6.316096991391798e-28,4.742678977014139e-41
5.721622202886679e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559955991293,0.0,0.1764705899804152,0.0,0.0,5.743573524740712e-32,1.4281654459607268e-41,0.0,4.416372034204175e-25,0.0,0.0,7.317798344440549e-27,0.0,0.11764705985000246,1.7654055915234112e-39,0.0,0.0,0.0,1.4985065324222644e-10,3.9169638191555446e-11,1.4689391578874209e-13,1.3262259438408105e-13,1.0644764299975888e-16,1.4165726666426849e-14,4.235855456960103e-19,1.2764911879764002e-18,1.6047594055007192e-34,8.169907832623103e-28,7.796453926162035e-41
6.427235213668197e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599559679463,0.0,0.17647058997799997,0.0,0.0,8.092044531090665e-32,2.1976837307635085e-41,0.0,6.158455958997327e-25,0.0,0.0,9.196463214910126e-27,0.0,0.11764705983150421,2.7166340426560542e-39,0.0,0.0,0.0,1.6833078983731092e-10,4.4000028694585564e-11,1.6500945266989946e-13,1.4896411298193664e-13,1.3359784340049455e-16,1.5912644157330983e-14,5.315992424679539e-19,1.4339132341600861e-18,2.4694289477546263e-34,1.026733130668541e-27,1.216432346656511e-40
7.838461235231235e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559955921253,0.0,0.17647058997316967,0.0,0.0,1.4557109089965316e-31,4.642626156994592e-41,0.0,1.0923432886994201e-24,0.0,0.0,1.3608378741025005e-26,0.0,0.11764705979450772,5.7389123835159525e-39,0.0,0.0,0.0,2.052910383291803e-10,5.3660633207639306e-11,2.012405264147821e-13,1.8163775372404819e-13,1.9729468192311336e-16,1.9406441738652246e-14,7.850254418860841e-19,1.7487574544571227e-18,5.216688631881503e-34,1.5192987088453174e-27,2.621773796917803e-40
9.249687256794273e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599558745601,0.0,0.1764705899683395,0.0,0.0,2.381127752862067e-31,8.749192694617046e-41,0.0,1.770678437280999e-24,0.0,0.0,1.8893246855543284e-26,0.0,0.11764705975751127,1.0815181109964355e-38,0.0,0.0,0.0,2.422512538835362e-10,6.332095932268834e-11,2.3747160013641676e-13,2.142988675104801e-13,2.7351845491829535e-16,2.2900189443465406e-14,1.0883259073820689e-18,2.06360187638718e-18,9.831030475301731e-34,2.109324665263441e-27,5.007893470794326e-40
1.066091327835731e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599558278676,0.0,0.1764705899635095,0.0,0.0,3.6364230936506017e-31,1.515187869493417e-40,0.0,2.6875262273107027e-24,0.0,0.0,2.5051076408964764e-26,0.0,0.11764705972051485,1.872976092138013e-38,0.0,0.0,0.0,2.792114365000743e-10,7.29809561794517e-11,2.7370267383480253e-13,2.46947459073627e-13,3.62264429954092e-16,2.639388727198496e-14,1.4415004243645288e-18,2.3784465366244252e-18,1.70254031302603e-33,2.7968120562171508e-27,8.755163752043375e-40
1.2072139299920347e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599557811755,0.0,0.1764705899586797,0.0,0.0,5.272213274804515e-31,2.4591142728680607e-40,0.0,3.879295560163305e-24,0.0,0.0,3.208184343389524e-26,0.0,0.11764705968351846,3.039795680340014e-38,0.0,0.0,0.0,3.1617158617972833e-10,8.26405732756787e-11,3.099337475099396e-13,2.795835335825446e-13,4.635274379383786e-16,2.988753522629565e-14,1.844546908066326e-18,2.693291471577776e-18,2.7631819783008895e-33,3.581758285423746e-27,1.430784049039032e-39
1.4894591343046423e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599556877927,0.0,0.1764705899490208,0.0,0.0,9.88667640821349e-31,5.624981064790318e-40,0.0,7.232366950203284e-24,0.0,0.0,4.8762148591698856e-26,0.0,0.11764705960952582,6.953230185353176e-38,0.0,0.0,0.0,3.900917867300602e-10,1.0195846729829852e-10,3.8239589479046605e-13,3.448181512143088e-13,7.035847759896064e-16,3.6874681517496516e-14,2.800250569371297e-18,3.3229823104016626e-18,6.320501501216849e-33,5.444023041047436e-27,3.3033825021036165e-39
1.7717043386172499e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599555944121,0.0,0.17647058993936288,0.0,0.0,1.6627687094697614e-30,1.1170259073189275e-39,0.0,1.2119610542340334e-23,0.0,0.0,6.893410988577389e-26,0.0,0.11764705953553328,1.380793229702847e-37,0.0,0.0,0.0,4.6401185553674507e-10,1.2127423930755186e-10,4.54858041977993e-13,4.100027595492224e-13,9.936513253302235e-16,4.386162832576135e-14,3.955428197462132e-18,3.952674682577287e-18,1.255143614582896e-32,7.696113933570842e-27,6.597890973381478e-39
