Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23),H2OX(35),OCX(21)
5.39606189543577e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28538619124745945,0.0,0.1763591355242457,3.005571769379756e-29,1.0643406924686309e-06,1.683007025902159e-05,2.9536529291610937e-09,0.0,0.0001105007862809994,0.0,0.0,9.021148561806876e-10,0.0,0.11748009157164734,3.827469673734247e-10,0.0,7.799992191224461e-07,0.0,4.1414430389667875e-05,5.9833383580944785e-09,8.8991217665765e-05,8.872648637763732e-11,1.0780061967541238e-05,1.0632753473207381e-10,4.2306761719006544e-06,6.722194010618917e-05,3.8942088783050236e-08,4.3306515579665334e-05,5.932144807214407e-09,1.3418667784452429e-09,3.7502033772493385e-10,4.68409209591186e-20
5.404720093663555e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28538598377668006,0.0,0.17635894138324812,3.02616721069082e-29,1.0681497107200768e-06,1.6881947945779147e-05,2.9686578038308766e-09,0.0,0.00011069236053551266,0.0,0.0,9.031407608298642e-10,0.0,0.11747989926538756,3.8397053978225757e-10,0.0,7.812081431291403e-07,0.0,4.141433248947033e-05,5.983330488651499e-09,8.907105635065697e-05,8.872137352355513e-11,1.0779681840440472e-05,1.0626977015917029e-10,4.231802532535984e-06,6.728592925961831e-05,3.9009595158813956e-08,4.3434157057542926e-05,5.950427903441786e-09,1.3433226970645117e-09,3.7636254368687073e-10,4.7078843657885954e-20
5.413378291891339e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28538577628743605,0.0,0.17635874724681463,3.0468671382851063e-29,1.0719646450504682e-06,1.6933865505895766e-05,2.9837105500043803e-09,0.0,0.000110883927902059,0.0,0.0,9.041653415447537e-10,0.0,0.11747970697178746,3.8519539042009165e-10,0.0,7.82415637250306e-07,0.0,4.1414234591159975e-05,5.983322616621816e-09,8.91507922588232e-05,8.871626734150197e-11,1.0779302380433578e-05,1.0621211518260971e-10,4.232922405715959e-06,6.734979037831898e-05,3.907709900499905e-08,4.356191976287766e-05,5.968725031521917e-09,1.3447767971920564e-09,3.7770683355707854e-10,4.731752517008797e-20
5.422036490119123e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285385568779602,0.0,0.17635855311493673,3.0676718848618976e-29,1.075785488546277e-06,1.698582277653e-05,2.998811217479513e-09,0.0,0.00011107548839180577,0.0,0.0,9.051886029824564e-10,0.0,0.11747951469081679,3.8642151615300294e-10,0.0,7.836217026072715e-07,0.0,4.141413669470788e-05,5.98331474554338e-09,8.923042575904053e-05,8.871116833311739e-11,1.0778923584651252e-05,1.0615456931660614e-10,4.234035813403125e-06,6.741352371658769e-05,3.9144600325520316e-08,4.368980345272121e-05,5.987036134164761e-09,1.3462290828761254e-09,3.790532048931424e-10,4.7556966304507264e-20
5.430694688346908e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28538536125305264,0.0,0.1763583589876059,3.0885817834666705e-29,1.0796122342993657e-06,1.7037819595436444e-05,3.01395985593172e-09,0.0,0.00011126704201587177,0.0,0.0,9.062105497876957e-10,0.0,0.1174793224224454,3.8764891385771427e-10,0.0,7.848263403362761e-07,0.0,4.1414038800085256e-05,5.983306876582017e-09,8.930995721872958e-05,8.87060762490539e-11,1.0778545450222613e-05,1.060971320779009e-10,4.235142777472969e-06,6.747712952818906e-05,3.921209912427535e-08,4.381780788460782e-05,6.0053611540304855e-09,1.3476795587945608e-09,3.8040165525455334e-10,4.7797167849247066e-20
5.438487066751913e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2853851744630544,0.0,0.17635818427688915,3.1074908727328667e-29,1.0830613462019558e-06,1.708465041260856e-05,3.027634686682504e-09,0.0,0.00011143943441652424,0.0,0.0,9.071291817305211e-10,0.0,0.11747914939165872,3.8875465675504263e-10,0.0,7.859092946218242e-07,0.0,4.1413950696465465e-05,5.983299791765134e-09,8.93814485903872e-05,8.870149897090605e-11,1.0778205692327158e-05,1.0604553104238812e-10,4.236133553853311e-06,6.75342659326384e-05,3.9272845890252146e-08,4.393311490774274e-05,6.021865523922587e-09,1.348983443656065e-09,3.8161703613098027e-10,4.8014000016157554e-20
5.446279445156918e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28538498765770653,0.0,0.1763580095698427,3.1264856484568074e-29,1.0865152283135153e-06,1.713151301550472e-05,3.0413484501047082e-09,0.0,0.00011161182127297858,0.0,0.0,9.080467559417337e-10,0.0,0.11747897637103134,3.8986142516644996e-10,0.0,7.869910943112691e-07,0.0,4.141386259428363e-05,5.983292707981423e-09,8.945285787169424e-05,8.869692732717431e-11,1.0777866465724667e-05,1.0599401725779916e-10,4.237119144378113e-06,6.75912994298538e-05,3.933359061955835e-08,4.40485193598456e-05,6.038381079160368e-09,1.3502858695501216e-09,3.828340972663079e-10,4.823144931893645e-20
5.454071823561924e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2853848008369199,0.0,0.17635783486646062,3.145566354138238e-29,1.0899738756095263e-06,1.7178407287082428e-05,3.0551011821589594e-09,0.0,0.00011178420259323902,0.0,0.0,9.089632757815043e-10,0.0,0.11747880336054158,3.909692168372027e-10,0.0,7.880717402644162e-07,0.0,4.141377449351914e-05,5.983285624173009e-09,8.952418532770538e-05,8.869236118841997e-11,1.0777527768331811e-05,1.0594259037778478e-10,4.238099564815482e-06,6.76482302037289e-05,3.9394333314999614e-08,4.416402106515751e-05,6.054907778437787e-09,1.3515868397230306e-09,3.8405283688546613e-10,4.8449516320908963e-20
5.461084964126429e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2853846326849385,0.0,0.1763576776365447,3.1628126607979753e-29,1.0930907282588772e-06,1.722063911180281e-05,3.0675119888457256e-09,0.0,0.00011193934105461756,0.0,0.0,9.097872449202957e-10,0.0,0.11747864765975057,3.919671023697107e-10,0.0,7.890433358961146e-07,0.0,4.141369520402598e-05,5.983279248682759e-09,8.958831029584311e-05,8.868825635117e-11,1.0777223391430114e-05,1.0589638020441587e-10,4.238977535771546e-06,6.769938022346952e-05,3.9449000004252e-08,4.4268055606420385e-05,6.069791301898862e-09,1.3527564710072386e-09,3.851511361803503e-10,4.864630522458218e-20
5.468098104690933e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28538446452031574,0.0,0.1763575204095876,3.180128945965328e-29,1.0962114329831881e-06,1.7262896408889163e-05,3.0799544152920434e-09,0.0,0.000112094475043927,0.0,0.0,9.10610365171336e-10,0.0,0.1174784919671378,3.9296581328774963e-10,0.0,7.900139983461295e-07,0.0,4.14136159156494e-05,5.983272873471676e-09,8.965236939145253e-05,8.86841559745001e-11,1.077691943998234e-05,1.0585023989481019e-10,4.239851343099758e-06,6.775044731954877e-05,3.950366505036666e-08,4.437216865298622e-05,6.084683788779353e-09,1.3539249282479916e-09,3.862507923182368e-10,4.884359533914814e-20
5.475111245255438e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28538429634298756,0.0,0.17635736318558498,3.197515387615137e-29,1.0993359861274055e-06,1.7305179093824312e-05,3.0924284875488996e-09,0.0,0.00011224960456693619,0.0,0.0,9.114326389671388e-10,0.0,0.11747833628268765,3.9396534796213003e-10,0.0,7.90983728261362e-07,0.0,4.141353662837458e-05,5.983266497797247e-09,8.971636280592912e-05,8.868005997143096e-11,1.0776615912472475e-05,1.0580416920026501e-10,4.240720998179145e-06,6.780143162530673e-05,3.955832845536552e-08,4.447636007737826e-05,6.099585209262372e-09,1.355092213776897e-09,3.8735180400785857e-10,4.9041387072864595e-20
5.482124385819942e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28538412815289055,0.0,0.17635720596453244,3.2149721638678225e-29,1.1024643840389961e-06,1.7347487082345264e-05,3.1049342316157e-09,0.0,0.00011240472962939307,0.0,0.0,9.122540687348135e-10,0.0,0.11747818060638453,3.949657047682444e-10,0.0,7.919525262948748e-07,0.0,4.141345734218679e-05,5.983260122008693e-09,8.97802907300932e-05,8.867596836488526e-11,1.077631280738613e-05,1.057581678732757e-10,4.241586512352439e-06,6.785233327385724e-05,3.961299022126313e-08,4.45806297523248e-05,6.11449553360105e-09,1.356258329982927e-09,3.884541699588401e-10,4.923968083902222e-20
5.489137526384447e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2853839599499616,0.0,0.17635704874642574,3.2324994529896364e-29,1.1055966230679744e-06,1.7389820290442812e-05,3.117471673440411e-09,0.0,0.0001125598502370248,0.0,0.0,9.130746568960568e-10,0.0,0.1174780249382129,3.959668820860657e-10,0.0,7.92920393105904e-07,0.0,4.141337805707142e-05,5.9832537467944985e-09,8.984415335418986e-05,8.867188120930855e-11,1.0776010123209898e-05,1.0571223566751965e-10,4.24244789692622e-06,6.790315239808858e-05,3.9667650350066696e-08,4.468497755075877e-05,6.12941473217077e-09,1.3574232792713643e-09,3.8955788888170646e-10,4.9438477051845724e-20
5.496150666948952e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28538379173413775,0.0,0.17635689153126047,3.2500974333917637e-29,1.1087326995669244e-06,1.743217863436128e-05,3.1300408389197084e-09,0.0,0.00011271496639553761,0.0,0.0,9.138944058671452e-10,0.0,0.11747786927815725,3.9696887830014477e-10,0.0,7.938873293598649e-07,0.0,4.141329877301384e-05,5.983247371111627e-09,8.990795086789043e-05,8.866779838783261e-11,1.0775707858431978e-05,1.056663723378192e-10,4.243305163171077e-06,6.795388913066359e-05,3.972230884377602e-08,4.478940334581742e-05,6.144342775430719e-09,1.358587063985663e-09,3.906629594878869e-10,4.9637776115526524e-20
5.503163807513456e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28538362350535684,0.0,0.17635673431903243,3.267766283629818e-29,1.1118726098910259e-06,1.747456203059822e-05,3.1426417538991205e-09,0.0,0.00011287007811061698,0.0,0.0,9.147133180589255e-10,0.0,0.1174777136262022,3.9797169179961073e-10,0.0,7.948533357282301e-07,0.0,4.141321948999956e-05,5.983240995126263e-09,8.997168346029336e-05,8.866371990575468e-11,1.0775406011542184e-05,1.0562057764017898e-10,4.244158322321737e-06,6.800454360402014e-05,3.977696570438364e-08,4.489390701084194e-05,6.159279633898116e-09,1.3597496864675327e-09,3.9176938048972593e-10,4.9837578439950613e-20
5.510176948077961e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2853834552635568,0.0,0.17635657710973723,3.2855061824046914e-29,1.1150163503980762e-06,1.7516970395904033e-05,3.1552744441731737e-09,0.0,0.0001130251853879275,0.0,0.0,9.155313958768071e-10,0.0,0.11747755798233238,3.9897532097816846e-10,0.0,7.958184128884699e-07,0.0,4.1413140208014176e-05,5.983234619914215e-09,9.003535131992462e-05,8.865964585521295e-11,1.0775104581031451e-05,1.0557485133177514e-10,4.245007385577225e-06,6.805511595037136e-05,3.983162093387469e-08,4.499848841937718e-05,6.174225278209725e-09,1.3609111491148855e-09,3.928771506004943e-10,5.003788443896922e-20
5.517190088642465e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2853832870086758,0.0,0.17635641990337078,3.303317308561312e-29,1.1181639174485163e-06,1.7559403647281648e-05,3.1679389354855377e-09,0.0,0.00011318028823311295,0.0,0.0,9.163486417207534e-10,0.0,0.11747740234653248,3.9997976423409795e-10,0.0,7.967825615240522e-07,0.0,4.1413060927043316e-05,5.983228244190218e-09,9.009895463473922e-05,8.865557609578317e-11,1.077480356539286e-05,1.0552919317090489e-10,4.245852364101007e-06,6.810560630170628e-05,3.988627453422698e-08,4.510314744517124e-05,6.189179679100876e-09,1.3620714542902379e-09,3.9398626853439424e-10,5.0238694513036436e-20
5.52420322920697e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28538311874065264,0.0,0.17635626269992868,3.3211998410877294e-29,1.1213153074054536e-06,1.7601861701986268e-05,3.1806352535291707e-09,0.0,0.0001133353866517964,0.0,0.0,9.171650579852766e-10,0.0,0.11747724671878723,4.0098501997025233e-10,0.0,7.977457823243802e-07,0.0,4.1412981647072666e-05,5.9832218678941005e-09,9.01624935921224e-05,8.865151061162205e-11,1.077450296312168e-05,1.0548360291702997e-10,4.246693269021123e-06,6.815601478978985e-05,3.9940926507410994e-08,4.5207883962175135e-05,6.2041428073563435e-09,1.3632306043082991e-09,3.9509673300656694e-10,5.044000906842762e-20
5.531216369771474e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28538295045942647,0.0,0.17635610549940675,3.339153959116924e-29,1.124470516634684e-06,1.7644344477524938e-05,3.1933634239464623e-09,0.0,0.00011349048064958014,0.0,0.0,9.179806470594272e-10,0.0,0.11747709109908144,4.01991086594056e-10,0.0,7.987080759847176e-07,0.0,4.141290236808802e-05,5.983215492655879e-09,9.022596837888915e-05,8.864744954805067e-11,1.0774202772714015e-05,1.054380803307745e-10,4.2475301114303495e-06,6.820634154616367e-05,3.9995576855389946e-08,4.531269784454249e-05,6.219114633870939e-09,1.3643886015484803e-09,3.9620854273310466e-10,5.0641828519533004e-20
