Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19)
1.7591288786716546e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599043558858,0.0,0.17647058711089542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117647013953488,0.0,0.0,0.0,0.0,4.604651197403101e-08,5.778209116742758e-09,0.0
1.7876098227390634e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599035977206,0.0,0.17647058710435745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764701320839871,0.0,0.0,0.0,0.0,4.6791601281956034e-08,5.7912850741575975e-09,0.0
1.8160907668064722e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599028403666,0.0,0.1764705870982184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764701246332279,0.0,0.0,0.0,0.0,4.753667719053094e-08,5.8035631590495965e-09,0.0
1.8544449225155087e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555990182166713,0.0,0.1764705870905402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764701145997984,0.0,0.0,0.0,0.0,4.854002014006175e-08,5.818919568764063e-09,0.0
1.8927990782245452e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555990080424615,0.0,0.176470587083489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764701045666119,0.0,0.0,0.0,0.0,4.954333879098691e-08,5.83302196329588e-09,0.0
1.9311532339335816e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855598997880037,0.0,0.17647058707701496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764700945336684,0.0,0.0,0.0,0.0,5.054663314389913e-08,5.845970069036931e-09,0.0
1.969507389642618e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555989877284754,0.0,0.17647058707107194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764700845009679,0.0,0.0,0.0,0.0,5.154990319939072e-08,5.857856111436274e-09,0.0
2.0040261297807508e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555989786006536,0.0,0.17647058706614197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764700754717451,0.0,0.0,0.0,0.0,5.245282547552782e-08,5.8677160548715045e-09,0.0
2.0385448699188836e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555989694803635,0.0,0.17647058706157878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764700664427191,0.0,0.0,0.0,0.0,5.3355728071665126e-08,5.876842416390417e-09,0.0
2.0730636100570163e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555989603670723,0.0,0.17647058705735563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764700574138899,0.0,0.0,0.0,0.0,5.425861098823379e-08,5.885288755269251e-09,0.0
2.107582350195149e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555989512602786,0.0,0.17647058705344754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764700483852575,0.0,0.0,0.0,0.0,5.5161474225664836e-08,5.893104869729792e-09,0.0
2.1421010903332818e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555989421595207,0.0,0.17647058704983143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764700393568218,0.0,0.0,0.0,0.0,5.60643177843891e-08,5.9003370396516204e-09,0.0
2.1731679564576013e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555989339736443,0.0,0.17647058704680882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176470031231398,0.0,0.0,0.0,0.0,5.6876860162302606e-08,5.9063823148577465e-09,0.0
2.2042348225819208e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855598925792016,0.0,0.17647058704399063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764700231061337,0.0,0.0,0.0,0.0,5.7689386601126384e-08,5.912018658578071e-09,0.0
2.2353016887062403e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855598917614365,0.0,0.1764705870413633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764700149810288,0.0,0.0,0.0,0.0,5.85018971011742e-08,5.917273380828152e-09,0.0
2.2663685548305598e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855598909440432,0.0,0.17647058703891397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764700068560831,0.0,0.0,0.0,0.0,5.931439166275978e-08,5.922172014731844e-09,0.0
2.2974354209548793e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855598901269982,0.0,0.17647058703663077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764699987312968,0.0,0.0,0.0,0.0,6.012687028619672e-08,5.9267384255608265e-09,0.0
2.328502287079199e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559889310279,0.0,0.17647058703450252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764699906066699,0.0,0.0,0.0,0.0,6.093933297179864e-08,5.930994913871478e-09,0.0
2.3595691532035184e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555988849386477,0.0,0.1764705870325188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764699824822025,0.0,0.0,0.0,0.0,6.175177971987898e-08,5.9349623134876334e-09,0.0
2.390636019327838e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855598876777362,0.0,0.17647058703066995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764699743578944,0.0,0.0,0.0,0.0,6.256421053075123e-08,5.938660084202525e-09,0.0
2.4217028854521574e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555988686187495,0.0,0.17647058702894677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764699662337455,0.0,0.0,0.0,0.0,6.337662540472869e-08,5.942106398996313e-09,0.0
2.452769751576477e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855598860462642,0.0,0.1764705870273409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764699581097562,0.0,0.0,0.0,0.0,6.418902434212473e-08,5.945318225995292e-09,0.0
2.4838366177007964e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855598852308881,0.0,0.1764705870258443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764699499859262,0.0,0.0,0.0,0.0,6.50014073432526e-08,5.948311405621257e-09,0.0
2.514903483825116e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555988441573177,0.0,0.17647058702444968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764699418622557,0.0,0.0,0.0,0.0,6.58137744084255e-08,5.951100723252308e-09,0.0
2.5459703499494355e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855598836007814,0.0,0.17647058702315002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764699337387444,0.0,0.0,0.0,0.0,6.662612553795661e-08,5.953699977547436e-09,0.0
