Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23),H2OX(35),OCX(21),CXHO(27),COX(37),HOOH(147),HOOHX(163),CH4O3(153),SX(168),SX(167),SX(137)
0.00018672928448105745,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2549893423666308,0.0,0.1416425838152637,6.263070469429245e-20,0.01123627288800253,0.013042610747577281,0.013381166923823854,0.0,0.012891205712417135,0.0,0.0,1.522997861260987e-07,0.0,0.09132561640244902,7.074167202611075e-07,0.0,1.111233540165953e-05,0.0,2.8765308147873598e-05,4.7870422952175605e-09,0.001475553266614356,2.8716342686058812e-11,6.47664357431295e-06,6.0513814102878695e-12,3.6963374910005042e-06,6.811684569176524e-05,4.060409437988763e-06,0.02904992720890373,4.108097714938582e-06,1.7531996523486333e-08,3.539144132678161e-06,1.8970102165887523e-13,7.524445676437926e-12,4.214730918840736e-06,8.337858583318616e-05,2.6262161942433734e-08,7.530481144309815e-07,2.371912072722801e-10,2.6451987229208565e-07,1.3226735995721304e-07
0.00018752420015415673,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.25488250983046246,0.0,0.14150654825467301,6.324320393904606e-20,0.011298123325468758,0.013089855563717947,0.013459007757866624,0.0,0.012898356444383495,0.0,0.0,1.5298556322442394e-07,0.0,0.09124063650863273,7.090203620172915e-07,0.0,1.1121265803186782e-05,0.0,2.872650103198474e-05,4.782728692291481e-09,0.0014775969000162398,2.864721162248475e-11,6.472075111738544e-06,6.0354227313622485e-12,3.6967074690860886e-06,6.807427219270651e-05,4.060959622348925e-06,0.029154696966238132,4.121251261383286e-06,1.7540121566070318e-08,3.5571345310346684e-06,1.9072406448728253e-13,7.525752060332718e-12,4.237472736426518e-06,8.374230830474964e-05,2.636567445253189e-08,7.560766009894437e-07,2.380453307450219e-10,2.6679215007339375e-07,1.33403588057649e-07
0.00018831911582725601,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2547758053292652,0.0,0.14137061271209786,6.385844158280098e-20,0.011360005653143821,0.013137003153738183,0.013536860605492423,0.0,0.012905354135682098,0.0,0.0,1.5367085589982298e-07,0.0,0.09115579761945045,7.106149518000514e-07,0.0,1.1130135217060871e-05,0.0,2.868777513733108e-05,4.778420041037475e-09,0.0014796287908816466,2.8578419414613433e-11,6.467531626536926e-06,6.019564226079645e-12,3.697062260032596e-06,6.803173278087735e-05,4.061461796747792e-06,0.02925935044736124,4.1343638180593774e-06,1.7548102618560225e-08,3.5751204381144127e-06,1.917464483894495e-13,7.526969399058149e-12,4.260199931310414e-06,8.410634125038826e-05,2.6469201977162697e-08,7.590974183302229e-07,2.388963613754716e-10,2.6907162457628376e-07,1.3454341534960225e-07
0.0001891140315003553,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.25466922862888336,0.0,0.1412347773116696,6.44764101931095e-20,0.011421919295773308,0.013184053486975203,0.013614724478546236,0.0,0.012912200272315984,0.0,0.0,1.5435565819129626e-07,0.0,0.09107109923718906,7.122005418648295e-07,0.0,1.1138944057552543e-05,0.0,2.8649130184991306e-05,4.774116335608509e-09,0.0014816490080971165,2.8509963351701023e-11,6.463012904333075e-06,6.0038048553245385e-12,3.6974019717756556e-06,6.798922671385284e-05,4.061916488753569e-06,0.029363887817748433,4.147435432322558e-06,1.7555940784059276e-08,3.5931016864010357e-06,1.9276816066591003e-13,7.528098662690597e-12,4.282912220888245e-06,8.447068334749511e-05,2.6572744125782246e-08,7.621105723831743e-07,2.3974430527441364e-10,2.7135826058819006e-07,1.3568682423048625e-07
0.00018990894717345458,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.25456277949705086,0.0,0.14109904217672586,6.509710231225153e-20,0.011483863682429207,0.013231006536158328,0.013692598399400114,0.0,0.012918896326001024,0.0,0.0,1.5503996419664152e-07,0.0,0.09098654086789384,7.137771842081327e-07,0.0,1.1147692734499988e-05,0.0,2.8610565897931612e-05,4.769817570191786e-09,0.0014836576200302222,2.84418407535651e-11,6.4585187331886395e-06,5.9881435949151564e-12,3.6977267112044075e-06,6.794675326588451e-05,4.062324220537498e-06,0.029468309241501366,4.160466152495592e-06,1.7563637156174017e-08,3.6110781100266435e-06,1.9378918878724443e-13,7.529140811429758e-12,4.305609326339149e-06,8.483533326211664e-05,2.667630050504544e-08,7.65116069389378e-07,2.405891686384138e-10,2.7365202300256513e-07,1.3683379715070762e-07
0.00019070386284655386,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2544564577033602,0.0,0.14096340742979924,6.572051045789818e-20,0.011545838246475227,0.01327786227736769,0.01377048140085015,0.0,0.012925443754311927,0.0,0.0,1.5572376807222047e-07,0.0,0.09090212202132532,7.153449305675793e-07,0.0,1.115638165336713e-05,0.0,2.8572082000984253e-05,4.765523739007871e-09,0.0014856546945324017,2.8374048970356774e-11,6.454048903580133e-06,5.972579434812961e-12,3.698036584172352e-06,6.790431172760512e-05,4.062685508931447e-06,0.029572614881376302,4.1734560278533855e-06,1.757119281907508e-08,3.6290495447571615e-06,1.948095203922486e-13,7.530096795703593e-12,4.3282909725848275e-06,8.520028964931926e-05,2.6779870718925706e-08,7.681139158939147e-07,2.414309577473701e-10,2.75952876819487e-07,1.3798431661397004e-07
0.00019149877851965314,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2543502630192242,0.0,0.14082787319260667,6.634662712376673e-20,0.011607842425532573,0.01332462068998937,0.01384837252601445,0.0,0.012931844000826483,0.0,0.0,1.564070640323523e-07,0.0,0.09081784221091702,7.169038324223838e-07,0.0,1.1165011215336205e-05,0.0,2.853367822082502e-05,4.7612348363096695e-09,0.0014876402989494626,2.8306585381769024e-11,6.449603208346058e-06,5.9571113797008596e-12,3.6983316955211575e-06,6.786190140567565e-05,4.063000865484766e-06,0.02967680489881187,4.186405108606814e-06,1.7578608847691005e-08,3.6470158279782344e-06,1.958291432861424e-13,7.530967556271956e-12,4.350956888249708e-06,8.556555115354694e-05,2.6883454368833276e-08,7.711041187388127e-07,2.422696789621442e-10,2.782607871462427e-07,1.3913836517756604e-07
0.00019229369419275242,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2542441952178503,0.0,0.1406924395860393,6.697544478026705e-20,0.011669875661446023,0.013371281756677084,0.013926270828232194,0.0,0.012938098495268308,0.0,0.0,1.5708984634928463e-07,0.0,0.09073370095373384,7.184539409931843e-07,0.0,1.117358181734301e-05,0.0,2.8495354285953386e-05,4.756950856381742e-09,0.0014896145001199298,2.8239447397151318e-11,6.445181442684265e-06,5.94173844738415e-12,3.6986121490828186e-06,6.781952162254042e-05,4.063270796520591e-06,0.029780879453956292,4.199313445888904e-06,1.7585886307690822e-08,3.664976798680689e-06,1.9684804543876598e-13,7.531754024329236e-12,4.373606805620792e-06,8.593111640897342e-05,2.6987051053728698e-08,7.740866850560771e-07,2.4310533872219225e-10,2.8057571919788794e-07,1.4029592545265652e-07
0.0001930886098658517,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.25413825407419716,0.0,0.14055710673015218,6.760695587513971e-20,0.011731937400250398,0.013417845463304585,0.01400417537096364,0.0,0.012944208653647798,0.0,0.0,1.5777210935226718e-07,0.0,0.09064969777043108,7.199953072430607e-07,0.0,1.1182093852198883e-05,0.0,2.845710992666934e-05,4.752671793539138e-09,0.001491577364392168,2.8172632454212557e-11,6.440783404071462e-06,5.926459670728865e-12,3.6988780477161587e-06,6.777717171602539e-05,4.0634958031913094e-06,0.029884838705694063,4.212181091737715e-06,1.7593026255792736e-08,3.6829322974470285e-06,1.9786621498284443e-13,7.532457121605483e-12,4.396240460609056e-06,8.629698403984432e-05,2.7090660370237272e-08,7.770616222609439e-07,2.439379435433222e-10,2.8289763829778405e-07,1.4145698010453948e-07
0.00019388352553895098,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2540324393649608,0.0,0.14042187474415485,6.824115283408543e-20,0.011794027092137335,0.013464311798933754,0.014082085227691167,0.0,0.012950175878401813,0.0,0.0,1.584538474280641e-07,0.0,0.09056583218521363,7.215279818767054e-07,0.0,1.1190547708570849e-05,0.0,2.841894487505617e-05,4.748397642126997e-09,0.0014935289576115851,2.8106138019991524e-11,6.436408892308127e-06,5.911274093833886e-12,3.6991294932861947e-06,6.773485103920426e-05,4.063676381533683e-06,0.029988682811672118,4.225008099084873e-06,1.7600029739551658e-08,3.7008821664366924e-06,1.9888364021219175e-13,7.533077760466819e-12,4.418857592709489e-06,8.666315266081629e-05,2.7194281912755308e-08,7.800289380451157e-07,2.4476750001537253e-10,2.8522650987811155e-07,1.4262151185290666e-07
0.00019459894964474032,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2539373140448674,0.0,0.14030025229835094,6.881422023349154e-20,0.011849931263628304,0.013506048242281615,0.014152207884444523,0.0,0.012955425320715513,0.0,0.0,1.5906695828910085e-07,0.0,0.09049047041446537,7.228999994153331e-07,0.0,1.1198106754741423e-05,0.0,2.8384663916646545e-05,4.744555100478428e-09,0.0014952758088012108,2.8046564992260036e-11,6.4324917834684035e-06,5.8976859837431745e-12,3.699343520366411e-06,6.76967868986705e-05,4.0638013217158275e-06,0.030082044186746,4.236517704230807e-06,1.7606217056806803e-08,3.7170321058740144e-06,1.9979867698285107e-13,7.533566580099937e-12,4.439198672082442e-06,8.699296061377267e-05,2.7287551417321405e-08,7.826930125110571e-07,2.4551150000625563e-10,2.87328410188953e-07,1.4367254910578398e-07
