Time (s),Volume (m^3),N2,Ne,X(1),H2(2),H(3),NH3(4),H2X(49),HX(5)
3.422262859080004e-07,0.03101298056,0.33333333333333331,0.0,0.0218941696913908,0.63175001532826391,3.6453898122910687e-29,0.0,0.0017898287441991722,0.066253645188410051
3.4319423577231024e-07,0.03101298056,0.33333333333333331,0.0,0.021893434502096965,0.63174967972841656,3.654358526032368e-29,0.0,0.0017897647546001767,0.066254444367302864
3.441621856366201e-07,0.03101298056,0.33333333333333331,0.0,0.021892713097593202,0.63174935042099345,3.6633128428044968e-29,0.0,0.001789701964942511,0.066255228561464291
3.460980853652398e-07,0.03101298056,0.33333333333333331,0.0,0.021891310612817544,0.63174871021319712,3.681178355822841e-29,0.0,0.0017895798957593815,0.066256753115423075
3.4784039512099757e-07,0.03101298056,0.33333333333333331,0.0,0.021890092975122347,0.6317481543843918,3.6972082570087828e-29,0.0,0.0017894739156750386,0.066258076733202637
3.4958270487675533e-07,0.03101298056,0.33333333333333331,0.0,0.021888916120087927,0.6317476171719234,3.7131917875735674e-29,0.0,0.0017893714855774278,0.066259356018334659
3.513250146325131e-07,0.03101298056,0.33333333333333331,0.0,0.021887778680407574,0.63174709795166051,3.7291290521799753e-29,0.0,0.0017892724864231107,0.066260592457169351
3.5306732438827086e-07,0.03101298056,0.33333333333333331,0.0,0.021886679334707254,0.63174659612043715,3.7450201561731683e-29,0.0,0.001789176803169334,0.066261787486123408
3.548096341440286e-07,0.03101298056,0.33333333333333331,0.0,0.021885616805995593,0.63174611109534651,3.7608652055488628e-29,0.0,0.0017890843246389199,0.066262942493365493
3.565519438997864e-07,0.03101298056,0.33333333333333331,0.0,0.021884589860167291,0.63174564231305697,3.7766643069225022e-29,0.0,0.0017889949433898169,0.066264058820442909
3.5829425365554414e-07,0.03101298056,0.33333333333333331,0.0,0.021883597304556853,0.6317451892291519,3.7924175674993622e-29,0.0,0.0017889085555890553,0.066265137763854121
3.600365634113019e-07,0.03101298056,0.33333333333333331,0.0,0.021882637986542497,0.63174475131749397,3.8081250950455787e-29,0.0,0.0017888250608910636,0.066266180576566469
3.6177887316705966e-07,0.03101298056,0.33333333333333331,0.0,0.021881710792197345,0.63174432806960679,3.8237869978600848e-29,0.0,0.0017887443623201295,0.066267188469482527
3.635211829228174e-07,0.03101298056,0.33333333333333331,0.0,0.021880814644986368,0.631743918994083,3.8394033847473976e-29,0.0,0.0017886663661568374,0.066268162612856826
3.652634926785752e-07,0.03101298056,0.33333333333333331,0.0,0.021879948504507179,0.63174352361600783,3.8549743649912323e-29,0.0,0.0017885909818283459,0.066269104137664486
