Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),CH3OO(77)
1.4508234760795328e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32918599579045826,0.11291201956891074,0.021508196216540664,0.0,1.0572879360136244e-10,1.5746269955924855e-06,0.0,7.7865216946790019e-10,0.0,1.2361957871695655e-05,2.4643571909436529e-21,1.3442279419283284e-08,6.7011132785429803e-17,4.1468724971846577e-13,0.0,0.0,8.373281262712049e-13,1.2773657012503291e-16,0.0057455121044825272,0.0026267381115113505,6.8785225439192564e-08,6.2302388388867749e-10,9.2247460299269725e-06,2.3039269221070899e-08,2.0557555868195881e-09
1.4580780605296557e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3291735355561427,0.11291210487922759,0.021501894007402735,0.0,1.0826515199380682e-10,1.6039648164536913e-06,0.0,7.9686517147400613e-10,0.0,1.2477860157461587e-05,2.574002830816612e-21,1.3526584053287743e-08,6.9039843476950736e-17,4.2395811118289174e-13,0.0,0.0,8.508433067427541e-13,1.3215791123098213e-16,0.0057453104632874917,0.0026393424829786499,6.9158685068038252e-08,6.2987833066546205e-10,9.28143450670432e-06,2.3474521768651373e-08,2.0744530719256941e-09
1.4653326449797785e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32916108064753552,0.11291219020298701,0.021495594121608303,0.0,1.1084498910021781e-10,1.6336329142980409e-06,0.0,8.1541528144282884e-10,0.0,1.259426928905962e-05,2.688017196727276e-21,1.3610958769158677e-08,7.1121080155292693e-17,4.3338139335964751e-13,0.0,0.0,8.6448750976643936e-13,1.3671281877026758e-16,0.0057451083007196806,0.002651942207543328,6.9532481284496359e-08,6.3675777478572672e-10,9.3379602000448045e-06,2.3914763005035995e-08,2.0932239933930003e-09
1.4725872294299014e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32914863103517311,0.11291227551237364,0.021489296557976139,0.0,1.1346870090236291e-10,1.6636316440580163e-06,0.0,8.3430707577381618e-10,0.0,1.2711184736037925e-05,2.806554164835612e-21,1.3695400086051359e-08,7.3255971412590942e-17,4.4295861636669194e-13,0.0,0.0,8.7826084952086858e-13,1.4140474349683003e-16,0.005744905645116807,0.0026645372875680009,6.9906613167436898e-08,6.4366195623429487e-10,9.3943218686716422e-06,2.4359998922190909e-08,2.112068194699042e-09
1.4798418138800243e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32913618669092692,0.11291236078096813,0.02148300131532685,0.0,1.1613668233349851e-10,1.6939613287860232e-06,0.0,8.5354516978015566e-10,0.0,1.2828605967356202e-05,2.9297723196456069e-21,1.3779904539447909e-08,7.5445664990462526e-17,4.5269130380012191e-13,0.0,0.0,8.9216343258149317e-13,1.4623721014427292e-16,0.0057447025234211241,0.0026771277254116457,7.0281079798634121e-08,6.5059061789327199e-10,9.4505183355441396e-06,2.4810235011719363e-08,2.1309855193771779e-09
1.487096398330147e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32912374758793567,0.11291244598367832,0.021476708392482807,0.0,1.1884932725799819e-10,1.7246222600787618e-06,0.0,8.7313421780523304e-10,0.0,1.2946532451392595e-05,3.0578350760823268e-21,1.3864468682064233e-08,7.7691328013316321e-17,4.6258098270099495e-13,0.0,0.0,9.0619535803433951e-13,1.512138186781642e-16,0.0057444989612481208,0.0026897135234297035,7.0655880262604575e-08,6.5754350558963635e-10,9.5065484870024883e-06,2.5265476271109271e-08,2.1499758110177612e-09
1.49435098278027e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32911131370054142,0.11291253109667411,0.021470417788268078,0.0,1.2160702845230872e-10,1.7556146985095034e-06,0.0,8.9307891333841636e-10,0.0,1.306496365595021e-05,3.1909108041495767e-21,1.3949089084732772e-08,7.9994147223268654e-17,4.7262918352378461e-13,0.0,0.0,9.2035671759048145e-13,1.5633824556355182e-16,0.0057442949829518333,0.0027022946839741773,7.103101364644598e-08,6.6452036813943763e-10,9.5624112718962092e-06,2.5725727210117025e-08,2.1690389132692544e-09
1.5016055672303928e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32909888500422735,0.11291261609732516,0.02146412950150843,0.0,1.2441017758721508e-10,1.7869388740677868e-06,0.0,9.1338398913016778e-10,0.0,1.3183899048263339e-05,3.3291729562105396e-21,1.4033762337260972e-08,8.2355329216665878e-17,4.8283744010643765e-13,0.0,0.0,9.3464759570116789e-13,1.6161424504780197e-16,0.0057440906116869505,0.0027148712093937278,7.140647903967971e-08,6.7152095738728728e-10,9.6181057006970965e-06,2.619099185727975e-08,2.1881746698392823e-09
1.5088601516805157e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32908646147556014,0.11291270096414195,0.021457843531031234,0.0,1.2725916521139661e-10,1.8185949866060551e-06,0.0,9.3405421730648225e-10,0.0,1.3303338095003272e-05,3.4728001969336938e-21,1.4118485049265489e-08,8.4776100682214806e-17,4.932072896420127e-13,0.0,0.0,9.4906806967353081e-13,1.670456504588668e-16,0.0057438858694678404,0.0027274431020337599,7.1782275534096286e-08,6.7854502824542066e-10,9.6736308445977839e-06,2.6661273766548807e-08,2.2073829244956212e-09
1.5161147361306385e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32907404309213423,0.11291278567671961,0.021451559875665459,0.0,1.3015438073626238e-10,1.8505832062927485e-06,0.0,9.5509440948265173e-10,0.0,1.3423280262283824e-05,3.6219765359463935e-21,1.4203253850982167e-08,8.7257708640720965e-17,5.0374027265190211e-13,0.0,0.0,9.6361820978678606e-13,1.72636375519084e-16,0.0057436807772246763,0.0027400103642365083,7.215840222360065e-08,6.855923387298653e-10,9.7289858345968182e-06,2.7136576024036748e-08,2.2266635210671377e-09
1.5233693205807614e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32906162983251996,0.11291287021568457,0.021445278534241614,0.0,1.3309621242203804e-10,1.8829036740713784e-06,0.0,9.7650941687635494e-10,0.0,1.3543725015666519e-05,3.7768914632388546e-21,1.4288065394051808e-08,8.9801420686435405e-17,5.1443793296058355e-13,0.0,0.0,9.7829807940885558e-13,1.7839041567461196e-16,0.0057434753548568137,0.0027525729983411168,7.2534858204062249e-08,6.9266264999098195e-10,9.7841698605712854e-06,2.7616901254870371e-08,2.2460163034446573e-09
1.5306239050308843e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32904922167621309,0.11291295456264387,0.021438999505591704,0.0,1.3608504736508576e-10,1.9155565021251084e-06,0.0,9.9830413042007142e-10,0.0,1.3664671820165417e-05,3.9377400873620054e-21,1.4372916352281845e-08,9.2408525230010147e-17,5.2530181767188895e-13,0.0,0.0,9.9310773511332999e-13,1.8431184944060332e-16,0.0057432696212835165,0.0027651310066837188,7.2911642573168875e-08,6.9975572634423679e-10,9.8391821703378934e-06,2.8102251630142534e-08,2.2654411155817943e-09
1.537878489481007e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32903681860358747,0.11291303870013683,0.021432722788549224,0.0,1.3912127148644519e-10,1.9485417743463884e-06,0.0,1.0204834808728217e-09,0.0,1.3786120140251664e-05,4.1047232764631906e-21,1.4457803422383886e-08,9.5080331743063024e-17,5.3633347714678974e-13,0.0,0.0,1.0080472267966946e-12,1.904048397622243e-16,0.0057430635944921912,0.0027776843915975026,7.328875443027881e-08,7.0687133529894815e-10,9.8940220687034834e-06,2.859262887395542e-08,2.2849378014957108e-09
1.54513307393113e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32902442059585069,0.11291312261158917,0.021426448381949095,0.0,1.4220526952156366e-10,1.9818595468111836e-06,0.0,1.043052438931233e-09,0.0,1.3908069439857701e-05,4.2780478022042023e-21,1.4542723324687317e-08,9.7818171004352339e-17,5.4753446498264502e-13,0.0,0.0,1.0231165977957491e-12,1.9667363539162281e-16,0.0057428572915842625,0.0027902331554127847,7.3666192876278415e-08,7.1400924758013654e-10,9.9486889165058991e-06,2.9088034270548133e-08,2.3045062052678306e-09
1.5523876583812528e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32901202763500026,0.11291320628126951,0.021420176284627619,0.0,1.4533742501119208e-10,2.0155098482573453e-06,0.0,1.0660160153399219e-09,0.0,1.4030519182381172e-05,4.457926486606483e-21,1.4627672803829031e-08,1.006233953475616e-16,5.5890633799388003e-13,0.0,0.0,1.0383158850051478e-12,2.0312257228095146e-16,0.0057426507288187616,0.0028027773004570752,7.4043957013445047e-08,7.2116923715119538e-10,1.000318212964613e-05,2.9588468671501598e-08,2.3241461710445022e-09
1.5596422428313757e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32899963970378404,0.11291328969424783,0.021413906495422512,0.0,1.485181202934394e-10,2.0494926805666961e-06,0.0,1.0893792610012077e-09,0.0,1.4153468830688535e-05,4.6445783518687309e-21,1.4712648629419337e-08,1.0349737891069449e-16,5.7045065619412031e-13,0.0,0.0,1.0536451189949857e-12,2.0975607499154935e-16,0.0057424439216537939,0.0028153168290551375,7.4422045945306697e-08,7.2835108123595789e-10,1.0057501178112627e-05,3.0093932503013629e-08,2.3438575430375975e-09
