Time (s),Volume (m^3),Ar,Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),HeX(44),C2H4X(59)
1.1310645256660743e-11,0.0009467769729032257,0.0,0.0,0.0,0.002720944377808922,0.49998077157469772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999451958169205,1.922842530245726e-05,5.4804183079745602e-06
1.150594148707521e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027205453807689654,0.49998044109644624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999944510629038,1.9558903554009151e-05,5.5489370963800055e-06
1.1701237717489677e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027201471482208033,0.49998011066800613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999438325879569,1.9889331994082384e-05,5.6167412044682397e-06
1.1896533947904144e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027197496727724086,0.49997978028928486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999431616206846,2.0219710715378402e-05,5.6838379315678688e-06
1.2091830178318611e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027193529471071743,0.49997944996019056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999424976549761,2.0550039809704613e-05,5.7502345024753647e-06
1.2287126408733078e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027189569639831544,0.4999791196806323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999418406193191,2.0880319367983468e-05,5.8159380682160884e-06
1.2482422639147545e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027185617162322952,0.49997878945052004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999411904429325,2.1210549480261546e-05,5.8809557067975664e-06
1.2677718869562012e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027181671967596807,0.49997845926976464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999405470557601,2.1540730235718421e-05,5.9452944239550367e-06
1.2873015099976479e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027177733985427896,0.4999781291382776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999399103884623,2.1870861722675559e-05,6.008961153889435e-06
1.3068311330390946e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027173803146307521,0.49997779905597162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999392803724013,2.2200944028605065e-05,6.0719627599977978e-06
1.3263607560805413e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027169879381436198,0.49997746902276013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999386569396448,2.2530977240138335e-05,6.1343060355962289e-06
1.345890379121988e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027165962622716444,0.49997713903855717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999380400229537,2.2860961443074647e-05,6.1959977046354871e-06
1.3654200021634347e-11,0.0009467769729032257,0.0,0.0,0.0,0.002716205280274555,0.4999768091032778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999374295557764,2.3190896722389648e-05,6.2570444224092617e-06
1.3849496252048814e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027158149854808553,0.49997647921683802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999368254722376,2.3520783162243744e-05,6.317452776255205e-06
1.4044792482463281e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027154253712871152,0.49997614937915436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999936227707138,2.3850620845990453e-05,6.377229286248834e-06
1.4240088712877748e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027150364311572792,0.49997581959014414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999356361959418,2.4180409856184607e-05,6.4363804058903179e-06
1.4435384943292215e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027146481586219789,0.49997548984972567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999935050874772,2.4510150274590498e-05,6.4949125227842667e-06
1.4630681173706682e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027142605472778515,0.49997516015781807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999344716804073,2.4839842182189967e-05,6.5528319593125846e-06
1.482597740412115e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027138735907868633,0.49997483051434105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999338985502673,2.5169485659190387e-05,6.6101449733004401e-06
1.5021273634535616e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027134872828756466,0.49997450091921519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999333314224131,2.5499080785032517e-05,6.6668577586754418e-06
1.5216569864950084e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027131016173348355,0.49997417137236183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999327702355389,2.5828627638398401e-05,6.7229764461200789e-06
1.541186609536455e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027127165880184174,0.49997384187370308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999322149289632,2.6158126297219044e-05,6.7785071037175195e-06
1.5607162325779018e-11,0.0009467769729032257,0.0,0.0,0.0,0.002712332188843081,0.49997351242316163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999316654426251,2.6487576838682119e-05,6.8334557375907798e-06
