Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),H2OX(23),COX(50),CO2X(24),CHOX(53)
7.6433136247225e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4286904365894934,0.05566490984617194,0.0023980947064428273,1.0138045721262022e-05,9.340693828067934e-05,0.11280339626737367,0.040727029888360404,2.114664634067035e-05,1.2599282580989215e-09,0.0013562986126844415,3.4331692046542545e-11,0.0006272566781213138,2.683752533498433e-09,9.940317685496055e-09,4.6450790067690455e-09,1.6370946278960866e-10,3.448337063480697e-08,3.556287521915166e-05,0.0038715793481009443,6.416440452452047e-07,0.0007436622047390759,6.488279764763061e-11,8.091746550393526e-10,1.4444049243347865e-08,3.953311567469771e-08,0.00043212150671086293,0.01637629927160034,5.412106143275385e-06,0.0021869429603411203,5.627943114856625e-05,4.057305781179099e-09,1.2215052381940293e-07,2.5363625867945553e-12,9.164112744211501e-10
7.646584081370647e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42867771744689903,0.05564878894848611,0.002395892899540804,1.0134514477952336e-05,9.338420117924623e-05,0.11283778887608252,0.04073146374097148,2.1135465833878396e-05,1.2607999426464376e-09,0.001355940556289666,3.4322667373111556e-11,0.0006273083612196382,2.683755774447045e-09,9.934563592901344e-09,4.645966889162165e-09,1.636888783448332e-10,3.447301675560366e-08,3.557083349538696e-05,0.003870343231960722,6.407915444795728e-07,0.000743750219014401,6.48064039807458e-11,8.082182903844693e-10,1.4451151022040037e-08,3.95758745591419e-08,0.00043252491521294346,0.016389161392138817,5.412527012480471e-06,0.0021875450488354946,5.6292025486955004e-05,4.056197869733746e-09,1.2216019750033898e-07,2.5353564376438864e-12,9.166182023808763e-10
7.649854538018794e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4286649990950898,0.055632672792196206,0.00239369324467225,1.0130984563349488e-05,9.3361470818144e-05,0.11287217130653712,0.040735893278992956,2.11242911602557e-05,1.2616715976123524e-09,0.0013555825915394569,3.4313645168437515e-11,0.00062736002365924,2.68375902723522e-09,9.928813683984671e-09,4.646854209652473e-09,1.6366827370806417e-10,3.4462666886052355e-08,3.5578786746520034e-05,0.0038691075191088706,6.399407619349353e-07,0.0007438381792132575,6.473015380560658e-11,8.072630983362617e-10,1.4458258460503296e-08,3.961864604637605e-08,0.00043292837051536764,0.01640202255767839,5.4129472916016805e-06,0.002188146904398057,5.6304611872938074e-05,4.055090317105938e-09,1.2216985767769698e-07,2.5343509142459752e-12,9.168249911329092e-10
7.653124994666941e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4286522815370032,0.05561656137592496,0.002391495739609779,1.0127455976941067e-05,9.333874719522647e-05,0.11290654356168257,0.04074031850688654,2.1113122316744975e-05,1.2625432227435134e-09,0.0013552247184097299,3.430462543117824e-11,0.0006274116654519237,2.6837622918174394e-09,9.923067951928176e-09,4.647740968665234e-09,1.6364764891443585e-10,3.445232102416618e-08,3.558673497513617e-05,0.003867872209440919,6.390916931690795e-07,0.0007439260853763674,6.465404679428978e-11,8.063090774036353e-10,1.4465371554892478e-08,3.966143012036337e-08,0.000433331872483878,0.016414882765390073,5.413366981323078e-06,0.002188748527122179,5.63171903105751e-05,4.053983123208731e-09,1.221795043669595e-07,2.533346015684542e-12,9.170316408364638e-10
7.656395451315088e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42863956477557213,0.0556004546982955,0.0023893003821284036,1.0123928718214763e-05,9.331603030834752e-05,0.11294090564446335,0.0407447394291091,2.1101959300290713e-05,1.2634148177870704e-09,0.0013548669368764101,3.429560815999341e-11,0.0006274632866094842,2.6837655681483306e-09,9.917326389943304e-09,4.648627166625383e-09,1.6362700399903717e-10,3.44419791679626e-08,3.559467818382882e-05,0.0038666373028523647,6.382443337539724e-07,0.0007440139375443844,6.457808259635404e-11,8.053562260973863e-10,1.4472490301346933e-08,3.9704226765045454e-08,0.0004337354209842759,0.01642774201244934,5.413786082309256e-06,0.0021893499171012037,5.632976080391458e-05,4.052876287963281e-09,1.221891375836414e-07,2.5323417409634277e-12,9.172381516725293e-10
7.659665907963235e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.428626848813724,0.055584352757931214,0.0023871071700055347,1.0120402786658388e-05,9.329332015536095e-05,0.11297525755782337,0.040749156050112756,2.1090802107839166e-05,1.2642863824904729e-09,0.001354509246915435,3.428659335354455e-11,0.0006275148871437048,2.683768856183145e-09,9.911588991270609e-09,4.64951280395751e-09,1.6360633899691216e-10,3.4431641315463506e-08,3.5602616375142694e-05,0.003865402799238672,6.373986792757216e-07,0.0007441017357591398,6.450226083425949e-11,8.044045429314038e-10,1.4479614696081241e-08,3.974703596436596e-08,0.00043413901588132777,0.016440600296037163,5.41420459522868e-06,0.002189951074428448,5.634232335705091e-05,4.051769811250599e-09,1.2219875734305693e-07,2.5313380893540354e-12,9.174445236106107e-10
7.662936364611383e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42861413365438267,0.05556825555345596,0.002384916101020978,1.011687818175986e-05,9.32706167341205e-05,0.11300959930470571,0.040753568374344754,2.1079650736338376e-05,1.265157916601471e-09,0.001354151648502751,3.4277581010495044e-11,0.0006275664670663578,2.6837721558768167e-09,9.905855749179631e-09,4.650397881085886e-09,1.6358565394305987e-10,3.44213074646951e-08,3.561054955163531e-05,0.0038641686984952736,6.365547253344189e-07,0.000744189480061779,6.442658117521605e-11,8.034540264209984e-10,1.4486744735287764e-08,3.978985770231852e-08,0.00043454265704064807,0.016453457613338177,5.414622520769222e-06,0.0021905519991972035,5.635487797406272e-05,4.050663692963161e-09,1.2220836366054152e-07,2.5303350600889776e-12,9.176507567060815e-10
7.66620682125953e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.428601419300468,0.05555216308349379,0.0023827271729569307,1.011335490300721e-05,9.324792004247992e-05,0.11304393088805303,0.0407579764062476,2.106850518273815e-05,1.266029419868114e-09,0.0013537941416143177,3.426857112951014e-11,0.0006276180263892052,2.6837754671839466e-09,9.900126656968696e-09,4.65128239843447e-09,1.6356494887243436e-10,3.4410977613687916e-08,3.561847771591193e-05,0.003862935000517569,6.35712467544117e-07,0.0007442771704923803,6.435104329815757e-11,8.025046750823588e-10,1.4493880415076585e-08,3.983269196286999e-08,0.00043494634432887056,0.016466313961540455,5.415039859601907e-06,0.0021911526915007373,5.636742465897796e-05,4.04955793303489e-09,1.2221795655161066e-07,2.52933265210826e-12,9.178568512215122e-10
7.669477277907677e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4285887057548949,0.05553607534666924,0.002380540383597978,1.0109832949888582e-05,9.32252300782929e-05,0.11307825231080719,0.040762380150259,2.1057365443990067e-05,1.2669008920387544e-09,0.001353436726226105,3.425956370925696e-11,0.0006276695651239988,2.683778790059823e-09,9.894401707964775e-09,4.652166356426889e-09,1.6354422381994485e-10,3.440065176047673e-08,3.562640087053466e-05,0.0038617017052009267,6.348719015328895e-07,0.0007443648070922934,6.427564682528133e-11,8.015564874348071e-10,1.4501021731625721e-08,3.9875538729960796e-08,0.00043535007761141646,0.016479169337837756,5.415456612381643e-06,0.002191753151432289,5.637996341586484e-05,4.048452531364037e-09,1.2222753603161411e-07,2.5283308645582706e-12,9.180628072075216e-10
7.672747734555824e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4285759930205729,0.055519992341607066,0.002378355730731094,1.0106312321892237e-05,9.320254683941318e-05,0.11311256357590943,0.040766779610811855,2.1046231517047475e-05,1.267772332862041e-09,0.0013530794023140927,3.4250558748404426e-11,0.0006277210832824782,2.683782124459901e-09,9.888680895523331e-09,4.653049755486422e-09,1.6352347882045566e-10,3.439032990310061e-08,3.56343190180292e-05,0.003860468812440686,6.340330229426807e-07,0.0007444523899032583,6.420039139766024e-11,8.006094620002394e-10,1.4508168681175757e-08,3.9918397987614137e-08,0.0004357538567535732,0.016492023739428454,5.415872779789719e-06,0.002192353379085073,5.639249424882506e-05,4.047347487818626e-09,1.2223710211573047e-07,2.5273296968300833e-12,9.182686245802401e-10
7.676018191203971e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4285632811004092,0.05550391406693248,0.002376173212145638,1.010279301850654e-05,9.317987032369435e-05,0.11314686468630034,0.040771174792334254,2.1035103398865504e-05,1.2686437420869235e-09,0.0013527221698542717,3.424155624562334e-11,0.0006277725808763729,2.6837854703389792e-09,9.882964213028134e-09,4.6539325960360395e-09,1.6350271390878646e-10,3.438001203960282e-08,3.564223216098821e-05,0.0038592363221321506,6.331958274291664e-07,0.0007445399189652496,6.412527671694538e-11,7.996635973007531e-10,1.4515321259849605e-08,3.996126971984726e-08,0.0004361576816224018,0.0165048771635136,5.416288362510428e-06,0.0021929533745522764,5.6405017161890466e-05,4.046242802324958e-09,1.2224665481937972e-07,2.5263291479450496e-12,9.184743035800978e-10
7.679288647852118e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42855056999730595,0.05548784052127095,0.0023739928256333474,1.0099275039219977e-05,9.315720052899005e-05,0.11318115564491989,0.04077556569924958,2.1023981086401032e-05,1.269515119462653e-09,0.0013523650288226447,3.423255619958637e-11,0.0006278240579174028,2.6837888276522053e-09,9.877251653891118e-09,4.654814878498405e-09,1.634819291197122e-10,3.436969816803086e-08,3.565014030200883e-05,0.0038580042341705965,6.323603106618654e-07,0.0007446273943186927,6.405030243304169e-11,7.987188918605575e-10,1.4522479463753864e-08,4.0004153910584596e-08,0.0004365615520844207,0.016517729607299247,5.416703361193259e-06,0.002193553137927063,5.641753215908546e-05,4.045138474813994e-09,1.222561941580098e-07,2.5253292168348635e-12,9.186798444357667e-10
7.682559104500265e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4285378597141594,0.055471771703248345,0.0023718145689883424,1.009575838352114e-05,9.313453745315398e-05,0.11321543645470737,0.04077995233597641,2.1012864576612713e-05,1.2703864647387785e-09,0.0013520079791952252,3.422355860896798e-11,0.0006278755144172761,2.6837921963554184e-09,9.871543211552221e-09,4.65569660329583e-09,1.6346112448796302e-10,3.435938828643637e-08,3.5658043443604044e-05,0.0038567725484512667,6.315264683241037e-07,0.0007447148160056495,6.397546815376156e-11,7.977753442077589e-10,1.4529643289145252e-08,4.004705054384786e-08,0.0004369654680047839,0.016530581067997267,5.417117776500613e-06,0.0021941526693025687,5.643003924451572e-05,4.044034505144949e-09,1.222657201467226e-07,2.5243299029254034e-12,9.18885246994913e-10
