Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),COX(50),C2H6X(52)
5.61504873969483e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32313640639981489,0.11287474502829489,0.018236615262749049,0.0,0.0002501603601613018,3.3065070535574739e-05,0.00014185917679371962,5.7948591584190349e-09,4.7360509903329564e-20,1.5411401483506033e-05,8.6919683480446459e-19,3.3506598767207908e-08,4.2778858221313962e-15,1.1133095169611015e-07,6.0814984714624678e-15,4.9083366002635048e-17,5.5821242164130279e-07,3.4876619252536655e-14,0.0056374742633847489,0.0087765469755536722,1.2642948238873061e-07,6.5644808430792699e-07,1.6113741934435187e-05,1.3163953268694452e-11,5.618693239698988e-08,1.7037007772897246e-07,9.677631618119202e-11,1.2146908985602768e-08,1.1295284306742013e-10,1.4934175538277311e-11
5.626117523434514e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32312255488303659,0.11287443337280868,0.018228760084965209,0.0,0.00025122536451485119,3.3077212200284683e-05,0.00014238568991682162,5.8394541444209036e-09,4.7650420702546847e-20,1.5454662688340466e-05,8.8233376217805853e-19,3.349789242919604e-08,4.3202155112366955e-15,1.119161898265126e-07,6.102641609163035e-15,4.9370368314390438e-17,5.5937556977438006e-07,3.5302972038971603e-14,0.0056372152740563836,0.0087906632091072287,1.2664084647490903e-07,6.5725426867191001e-07,1.6106963135204309e-05,1.3175270363239241e-11,5.616693641707923e-08,1.7037378492984683e-07,9.7103836358854211e-11,1.2196133924232339e-08,1.1336721243471656e-10,1.5048710532677936e-11
5.637186307174198e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32310871409016967,0.11287412070883053,0.018220908964792431,0.0,0.00025229226373116884,3.3089178042562546e-05,0.00014291306033901204,5.8842919502452255e-09,4.7941403371479018e-20,1.5497933628005772e-05,8.9563770850158472e-19,3.3489169660651712e-08,4.3628587622679588e-15,1.1250313300577861e-07,6.1238070951880583e-15,4.965847554497904e-17,5.6053702247167507e-07,3.5733538390499978e-14,0.0056369564241379247,0.0088047685766688734,1.2685206891287667e-07,6.5805897202182426e-07,1.6100188552650495e-05,1.3186580177044515e-11,5.614694720914827e-08,1.7037748205570813e-07,9.7431819516531282e-11,1.2245437071765796e-08,1.1378223219636247e-10,1.5163864802732715e-11
5.648255090913882e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32309488401254871,0.11287380703724928,0.018213061899354944,0.0,0.00025336105549431603,3.3100968986294074e-05,0.00014344128741467974,5.9293732875080023e-09,4.8233459055209478e-20,1.5541214160912128e-05,9.0911037581489522e-19,3.3480430800562527e-08,4.4058170343466268e-15,1.1309178168881432e-07,6.1449949014297177e-15,4.9947689703139691e-17,5.6169678030936727e-07,3.616834947695961e-14,0.0056366977135256886,0.0088188630869462156,1.2706314972997497e-07,6.5886219893949797e-07,1.609341824353521e-05,1.3197882739441469e-11,5.6126964971933897e-08,1.7038116908572217e-07,9.7760265251011134e-11,1.2294818316637076e-08,1.1419790178939243e-10,1.5279640127261169e-11
5.659323874653565e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32308106464151948,0.11287349235895278,0.018205218885779834,0.0,0.00025443173749282961,3.3112585952050787e-05,0.00014397037049847496,5.9746988674614317e-09,4.8526588895677099e-20,1.5584504146010019e-05,9.2275347885648335e-19,3.3471676183987699e-08,4.449091788356217e-15,1.1368213632563618e-07,6.1662049999118509e-15,5.0238012796719489e-17,5.6285484389293031e-07,3.6607436612985416e-14,0.0056364391421161314,0.0088329467486363764,1.2727408895374651e-07,6.5966395398865009e-07,1.6086652263864453e-05,1.3209178080535239e-11,5.61069899016477e-08,1.7038484599862929e-07,9.8089173157523444e-11,1.2344277547616407e-08,1.1461422065123314e-10,1.5396038283949013e-11
5.670392658393249e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32306725596843905,0.11287317667482796,0.01819737992119708,0.0,0.0002555043074197183,3.3124029857089643e-05,0.00014450030894530753,6.0202694009884893e-09,4.8820794031690775e-20,1.5627803442788436e-05,9.3656874511818025e-19,3.3462906142102022e-08,4.4926844869269318e-15,1.1427419736139184e-07,6.1874373627885404e-15,5.0529446832672478e-17,5.6401121385680192e-07,3.7050831258183477e-14,0.0056361807098058384,0.0088470195704259697,1.2748488661193386e-07,6.6046424171335638e-07,1.6079890668894852e-05,1.322046623721239e-11,5.6087022196585208e-08,1.7038851277020193e-07,9.8418542818551845e-11,1.2393814654190923e-08,1.1503118821969103e-10,1.5513061049334735e-11
5.681461442132933e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32305345798467511,0.11287285998576085,0.018189545002739529,0.0,0.00025657876297245944,3.3135301615353258e-05,0.00014503110211034893,6.0660855985975288e-09,4.9116075598944006e-20,1.5671111911273017e-05,9.5055791489983398e-19,3.3454121002239196e-08,4.5365965944202987e-15,1.1486796523638123e-07,6.2086919623427236e-15,5.0821993817058345e-17,5.6516589086405782e-07,3.7498565017303415e-14,0.0056359224164915355,0.0088610815609911353,1.2769554273248033e-07,6.6126306664102626e-07,1.6073133513147664e-05,1.3231747237372351e-11,5.6067062048390782e-08,1.7039216938119478e-07,9.8748373832022766e-11,1.2443429525611782e-08,1.1544880393297019e-10,1.5630710198796124e-11
5.692530225872616e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32303967068160699,0.11287254229263653,0.018181714127542898,0.0,0.00025765510185299557,3.3146402137469975e-05,0.00014556274934903436,6.1121481704169058e-09,4.9412434730029438e-20,1.5714429412024258e-05,9.6472274136398243e-19,3.3445321087934824e-08,4.5808295769138192e-15,1.1546344038607788e-07,6.2299687709848194e-15,5.1115655755041186e-17,5.6631887560608781e-07,3.7950669640409455e-14,0.0056356642620700795,0.0088751327289975385,1.279060573435279e-07,6.6206043328163191e-07,1.6066380850414019e-05,1.3243021108063584e-11,5.6047109644885607e-08,1.7039581581252459e-07,9.9078665797362749e-11,1.2493122051361868e-08,1.1586706722967029e-10,1.5748987506536986e-11
5.7035990096123e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32302589405062487,0.11287222359633921,0.018173887292745772,0.0,0.00025873332176772919,3.3157332330754422e-05,0.00014609525001706028,6.1584578261896474e-09,4.9709872554453363e-20,1.5757755806135656e-05,9.7906499059050756e-19,3.3436506718968764e-08,4.6253849021856615e-15,1.1606062324114933e-07,6.2512677612513676e-15,5.1410434650888141e-17,5.6747016880227378e-07,3.8407177023049791e-14,0.0056354062464384598,0.0088891730831003862,1.281164304734168e-07,6.6285634612490811e-07,1.6059632733758501e-05,1.3254287886904323e-11,5.602716517839918e-08,1.7039945204015255e-07,9.9409418294439937e-11,1.254289212185394e-08,1.1628597754876733e-10,1.5867894745573799e-11
5.714667793351984e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32301212808312968,0.11287190389775208,0.018166064495489583,0.0,0.00025981342042751942,3.316809309920792e-05,0.00014662860347038588,6.2050152752681201e-09,5.0008390198650161e-20,1.5801090955231956e-05,9.9358644163127518e-19,3.3427678211407059e-08,4.6702640396993584e-15,1.1665951422747794e-07,6.2725889058036866e-15,5.1706332507968168e-17,5.6861977119967138e-07,3.8868119206424528e-14,0.005635148369493804,0.008903202631944435,1.2832666215068496e-07,6.6365080964429261e-07,1.6052889215535224e-05,1.3265547600842748e-11,5.6007228834104504e-08,1.7040307804620145e-07,9.9740630921497579e-11,1.259273962717609e-08,1.1670553432963522e-10,1.5987433687722597e-11
5.724629698717699e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32299974782256752,0.11287161531279516,0.018159027427696237,0.0,0.0002607871136599673,3.3177633677073451e-05,0.00014710935017772498,6.2471294286758938e-09,5.0277980252867015e-20,1.584009996099018e-05,1.0068104460019633e-18,3.341972072437097e-08,4.7109333387861541e-15,1.1719997691555054e-07,6.2917968553191944e-15,5.1973598946254106e-17,5.6965296836385908e-07,3.9286785525644938e-14,0.0056349163987360505,0.0089158199945442874,1.2851574974197934e-07,6.6436459132388478e-07,1.6046824023496209e-05,1.3275675322589898e-11,5.5989293217002076e-08,1.7040633269862437e-07,1.0003911536982746e-10,1.2637668497971959e-08,1.1708368769419596e-10,1.6095560305245395e-11
5.734591604083413e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32298737618622092,0.1128713259173408,0.018151993625918076,0.0,0.00026176232516279948,3.3187038404735222e-05,0.00014759078665056724,6.2894453854727056e-09,5.0548446687907925e-20,1.5879115846500075e-05,1.0201823707406999e-18,3.3411752263376731e-08,4.7518671909888925e-15,1.1774182383481671e-07,6.3110227080050174e-15,5.2241774824327135e-17,5.7068479719124597e-07,3.9709093668504303e-14,0.0056346845401567093,0.0089284286181656441,1.2870472280100439e-07,6.6507720589623857e-07,1.6040762635195682e-05,1.3285797367676946e-11,5.5971364459334065e-08,1.7040957904097218e-07,1.0033797189703737e-10,1.2682659922710049e-08,1.1746236383085831e-10,1.6204201326412622e-11
5.744553509449128e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3229750131678441,0.11287103571203096,0.018144963088077146,0.0,0.00026273905327647373,3.3196307934330004e-05,0.00014807291241995571,6.3319636619437759e-09,5.0819790318618473e-20,1.591813851198257e-05,1.0337035399450192e-18,3.3403773051284546e-08,4.7930666709873598e-15,1.1828505528588456e-07,6.3302664441852779e-15,5.251086160077205e-17,5.717152582826813e-07,4.0135067296310126e-14,0.0056344527936810626,0.0089410285090888719,1.2889358134897173e-07,6.6578865658435181e-07,1.6034705087344467e-05,1.3295913759271551e-11,5.5953442694749228e-08,1.7041281705838138e-07,1.0063720020262556e-10,1.2727713822086519e-08,1.1784156233173085e-10,1.6313358040331817e-11
5.754515414814842e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32296265876119867,0.11287074469750702,0.018137935812097349,0.0,0.00026371729634436182,3.3205442915823245e-05,0.00014855572701710966,6.3746847741049079e-09,5.1092011957864529e-20,1.5957167858002644e-05,1.0473752863594995e-18,3.339578330861978e-08,4.8345328545291301e-15,1.1882967156627386e-07,6.3495280442627085e-15,5.2780860733581111e-17,5.7274435225639273e-07,4.0564730166341728e-14,0.0056342211592344798,0.0089536196735875099,1.2908232540721837e-07,6.664989466033208e-07,1.6028651416209443e-05,1.3306024507963477e-11,5.5935528045859847e-08,1.7041604674401271e-07,1.0093680000974672e-10,1.2772830116232591e-08,1.1822128278919951e-10,1.642303173529038e-11
5.762470952600676e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32295279876202093,0.11287051171374336,0.018132326198803051,0.0,0.00026449960424163792,3.3212641880393584e-05,0.00014894179520901431,6.4089477006469549e-09,5.1310038178114322e-20,1.5988341269050762e-05,1.0584025276854552e-18,3.338939531555004e-08,4.8678398442859577e-15,1.1926559469804299e-07,6.3649230973929349e-15,5.2997137169944026e-17,5.735652011825775e-07,4.0910522718073185e-14,0.0056340362572983973,0.0089636686642939212,1.2923297344794626e-07,6.6706534995187881e-07,1.6023819786823907e-05,1.3314094878216952e-11,5.5921226677069931e-08,1.7041861996264594e-07,1.0117632581337135e-10,1.2808904566037243e-08,1.1852490061162839e-10,1.6510988855322862e-11
5.77042649038651e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32294294424787823,0.11287027821463369,0.018126718663400408,0.0,0.00026528287641375899,3.3219755778273096e-05,0.00014932830216721983,6.4433405782508074e-09,5.1528625282487262e-20,1.6019518827134081e-05,1.0695273429869518e-18,3.3383000855849523e-08,4.9013181613413555e-15,1.1970240134882881e-07,6.3803295209669969e-15,5.3213997138132666e-17,5.7438517895816333e-07,4.125869550811039e-14,0.0056338514267240082,0.0089737120968597667,1.2938354849689297e-07,6.676310167420838e-07,1.6018990670724231e-05,1.3322161680559039e-11,5.5906929997563764e-08,1.7042118784763641e-07,1.0141608819124324e-10,1.2845018718244659e-08,1.1882885084760767e-10,1.6599277159327367e-11
