Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),CO2X(24),COX(50),CHOX(53)
3.698156614335205e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4420364540268858,0.07916048611182143,0.0075473882636860855,0.00017962299642562059,0.0012529826878933806,0.061580347879263246,0.028832258356942256,4.0262943752168355e-05,2.71312426039531e-10,0.0018697608107892578,4.793267305088193e-11,0.0005418735297042334,2.715236277214279e-09,4.180270387289042e-07,2.8412998289427143e-09,1.4992920843526125e-10,5.535245919529259e-07,2.1433271438648288e-05,0.005676892547604246,3.049159292108845e-05,0.0005733868192951215,9.807029097544432e-09,3.510778413086645e-09,2.520488784047943e-09,1.9955598471046544e-10,1.2371848424469237e-05,0.0026745780132871916,7.224087303773007e-05,5.615051740499311e-08,0.0012307009642633154,3.3918679978413944e-05,1.25123820438388e-10,8.916723060432482e-08,2.144336839559112e-09
3.701926253892846e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44202559308927303,0.07913399206916133,0.007538896831312242,0.00017956011493578907,0.0012527464010713494,0.06163717814985192,0.028849692811209318,4.0238188335650837e-05,2.7198493848465786e-10,0.0018691904197811191,4.79161605681185e-11,0.0005419801119979817,2.71514133255942e-09,4.16476531442301e-07,2.843576680168053e-09,1.4998932494786726e-10,5.528408860369806e-07,2.145213070714891e-05,0.00567485389123991,3.036318961696742e-05,0.000573623503756031,9.770041751277365e-09,3.5057587018340394e-09,2.519678592823308e-09,2.005893122387333e-10,1.2430871324585005e-05,0.0026861630070641857,7.228197357184906e-05,5.6138543054767245e-08,0.001231807155040017,3.394852559992202e-05,1.248101621928958e-10,8.921895670191488e-08,2.146495222556889e-09
3.7056958934504866e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4420147202212374,0.07910750688567286,0.007530415369177674,0.00017949721822064244,0.0012525099459563499,0.06169398994446425,0.028867106589889845,4.0213451308536355e-05,2.7265812573548717e-10,0.00186862024586533,4.7899662533132874e-11,0.0005420866219577999,2.715046727653682e-09,4.149348369949878e-07,2.845851787968015e-09,1.5004928112535817e-10,5.521615171694532e-07,2.147097777615235e-05,0.005672815807515358,3.0235761516799768e-05,0.0005738599697865829,9.733328662131765e-09,3.5007464421960423e-09,2.5188688128278827e-09,2.0162490593890485e-10,1.2489987972652043e-05,0.0026977590211955615,7.232301939019299e-05,5.612656021923556e-08,0.0012329128872394773,3.39783519151935e-05,1.2449867192235924e-10,8.927061380164355e-08,2.148652333446478e-09
3.7094655330081273e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44200383546118793,0.07908103055826735,0.007521943865573628,0.00017943430660252255,0.001252273324355243,0.06175078326758261,0.0288844997246554,4.018873261839235e-05,2.7333198701608635e-10,0.00186805028840939,4.7883178864834785e-11,0.0005421930596824015,2.714952460288881e-09,4.13401905195329e-07,2.8481251540996166e-09,1.5010907726528857e-10,5.514864420904254e-07,2.1489812653551284e-05,0.00567077829682876,3.0109297929894323e-05,0.0005740962176971528,9.696886847180006e-09,3.4957416219304468e-09,2.518059443094581e-09,2.0266276511583423e-10,1.2549198255715584e-05,0.0027093660271561622,7.236401057417167e-05,5.6114568985098144e-08,0.0012340181609940427,3.400815893671909e-05,1.2418932623302373e-10,8.932220200957226e-08,2.1508081723021945e-09
3.713235172565768e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44199293884724383,0.07905456308386322,0.00751348230880318,0.0001793713804002262,0.0012520365380555016,0.06180755812369061,0.02890187224702684,4.016403221330826e-05,2.7400652155021213e-10,0.0018674805467882199,4.7866709482972664e-11,0.0005422994252702827,2.7148585282803194e-09,4.118776860866546e-07,2.8503967803091684e-09,1.5016871366344829e-10,5.508156181410853e-07,2.1508635347215222e-05,0.0056687413595740135,2.9983788318544734e-05,0.0005743322477972023,9.660713366023415e-09,3.4907442288296117e-09,2.517250482670778e-09,2.0370288907644908e-10,1.2608502061236696e-05,0.0027209839965636473,7.24049472048492e-05,5.610256943814711e-08,0.0012351229764357128,3.4037946676952866e-05,1.2388210206385155e-10,8.937372143125705e-08,2.1529627391954335e-09
3.7170048121234087e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44198203041723816,0.07902810445938577,0.007505030687181222,0.00017930843992905506,0.0012517995888254871,0.061864314517272985,0.02891922418837667,4.0139350041890184e-05,2.746817285613114e-10,0.0018669110203840685,4.7850254308125896e-11,0.0005424057188197225,2.7147649294665393e-09,4.103621299472593e-07,2.852666668332468e-09,1.5022819061389657e-10,5.501490032525983e-07,2.1527445864990777e-05,0.0056667049961408025,2.98592222953401e-05,0.0005745680603952842,9.624805320046419e-09,3.485754250720166e-09,2.5164419306180948e-09,2.0474527712964267e-10,1.2667899277084137e-05,0.0027326129011762852,7.244582936294911e-05,5.609056166327937e-08,0.0012362273336961513,3.4067715148312664e-05,1.2357697668069852e-10,8.942517217175661e-08,2.155116034194786e-09
3.7207744516810494e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4419711102087237,0.07900165468176719,0.007496588989034482,0.00017924548550086436,0.0012515624784147144,0.061921052452815685,0.028936555579931272,4.011468605325557e-05,2.753576072725218e-10,0.0018663417085864158,4.7833813261697194e-11,0.0005425119404287809,2.7146716617090784e-09,4.0885518729037225e-07,2.854934819895005e-09,1.5028750840899502e-10,5.494865559352256e-07,2.1546244214701955e-05,0.005664669206914669,2.9735589620531645e-05,0.0005748036557990519,9.589159851686566e-09,3.480771675462742e-09,2.5156337860121813e-09,2.0578992858616498e-10,1.2727389791526053e-05,0.0027442527128908063,7.248665712885949e-05,5.607854574450936e-08,0.0012373312329066913,3.4097464363180526e-05,1.2327392767061554e-10,8.947655433564e-08,2.1572680573661535e-09
3.72454409123869e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44196017825897654,0.0789752137479462,0.007488157202701531,0.00017918251742411102,0.0012513252085541184,0.061977771934805796,0.028953866452773147,4.009004019702805e-05,2.7603415690667223e-10,0.0018657726107918834,4.781738626590492e-11,0.0005426180901953008,2.7145787228922346e-09,4.0735680886409593e-07,2.857201236712146e-09,1.5034666733943974e-10,5.488282352676874e-07,2.1565030404150332e-05,0.005662633992277079,2.9612880199453455e-05,0.000575039034315265,9.553774143719164e-09,3.475796490951691e-09,2.514826047942512e-09,2.0683684275851884e-10,1.2786973493222231e-05,0.0027559034037402926,7.252743058263764e-05,5.606652176498128e-08,0.0012384346741983467,3.412719433390301e-05,1.2297293293626255e-10,8.952786802699422e-08,2.1594188087728596e-09
3.728313730796331e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4419492346050014,0.0789487816548682,0.007479735316532771,0.00017911953600390117,0.0012510877809563117,0.0620344729677316,0.028971156837843074,4.0065412423332136e-05,2.767113766862838e-10,0.0018652037264041427,4.780097324377547e-11,0.0005427241682169049,2.7144861109228176e-09,4.0586694565131704e-07,2.8594659204893256e-09,1.5040566769429323e-10,5.481740008867588e-07,2.1583804441115375e-05,0.005660599352605481,2.9491084079996752e-05,0.0005752741962497972,9.518645418557142e-09,3.470828685114818e-09,2.5140187155121788e-09,2.0788601896085034e-10,1.2846650271215989e-05,0.002767564945892119,7.256814980401503e-05,5.6054489806981346e-08,0.001239537657701822,3.415690507279167e-05,1.226739706904435e-10,8.957911334943173e-08,2.161568288475747e-09
3.7320833703539715e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44193827928353546,0.07892235839948501,0.007471323318890457,0.00017905654154203653,0.0012508501973158383,0.062091155556082515,0.028988426765942238,4.0040802682788065e-05,2.7738926583357037e-10,0.0018646350548338242,4.778457411913563e-11,0.000542830174590997,2.714393823729919e-09,4.0438554886958915e-07,2.8617288729222297e-09,1.5046450976101477e-10,5.475238129771006e-07,2.1602566333354633e-05,0.005658565288273363,2.9370191450135644e-05,0.0005755091419076421,9.48377093756456e-09,3.465868245913108e-09,2.5132117878376868e-09,2.089374565088569e-10,1.290642001492695e-05,0.0027792373116459278,7.260881487240188e-05,5.6042449951949625e-08,0.0012406401835475176,3.418659659212339e-05,1.2237701945074445e-10,8.963029040609751e-08,2.1637164965332933e-09
3.7358530099116122e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.441927312331053,0.07889594397875482,0.007462921198148691,0.0001789935343370597,0.001250612459309425,0.06214781970434908,0.0290056762677343,4.001621092650662e-05,2.780678235704395e-10,0.0018640665954984307,4.7768188816604974e-11,0.000542936109414761,2.714301859264668e-09,4.0291256997098844e-07,2.8639900956969694e-09,1.50523193825491e-10,5.468776322613133e-07,2.1621316088604027e-05,0.005656531799650316,2.9250192635503963e-05,0.0005757438715929211,9.449148000384952e-09,3.460915161340466e-09,2.5124052640487596e-09,2.0999115471968123e-10,1.2966282614143241e-05,0.0027909204734316642,7.26494258668918e-05,5.6030402280491806e-08,0.0012417422518655418,3.421626890414078e-05,1.2208205803429066e-10,8.968139929967642e-08,2.1658634330017024e-09
3.739622649469253e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4419163337837695,0.07886953838964209,0.0074545289426934305,0.00017893051468429943,0.0012503745685962279,0.062204465417023014,0.029022905373747437,3.9991637106084046e-05,2.787470491184936e-10,0.0018634983478222466,4.775181726158834e-11,0.0005430419727851601,2.7142102155000047e-09,4.0144796064194287e-07,2.8662495904902622e-09,1.5058172017206501e-10,5.462354199902103e-07,2.164005371457806e-05,0.0056544988871021,2.913107809702112e-05,0.0005759783856088896,9.414773944282604e-09,3.4559694194234513e-09,2.511599143288134e-09,2.1104711291181835e-10,1.3026237959014522e-05,0.0028026144038076355,7.268998286626626e-05,5.6018346872390894e-08,0.0012428438627857146,3.424592202105261e-05,1.2178906555260072e-10,8.973244013240008e-08,2.1680090979350176e-09
3.7433922890268936e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4419053436776458,0.07884314162911729,0.007446146540922492,0.00017886748287591485,0.0012501365268180722,0.06226109269859713,0.029040114114376344,3.9967081173596814e-05,2.794269416990302e-10,0.0018629303112362523,4.773545938026819e-11,0.000543147764798938,2.7141188904304366e-09,3.9999167280303594e-07,2.8685073589696054e-09,1.5064008908356517e-10,5.455971379333063e-07,2.1658779218970058e-05,0.00565246655099069,2.9012838428566798e-05,0.0005762126842579432,9.380646143497775e-09,3.4510310082210207e-09,2.510793424711375e-09,2.1210533040502204e-10,1.3086285940044618e-05,0.002814319075458617,7.273048594899895e-05,5.600628380661822e-08,0.0012439450164375809,3.427555595503409e-05,1.2149802140655326e-10,8.978341300605366e-08,2.170153491385202e-09
