Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(77),C2H6X(52)
6.293515593008476e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32191559497836592,0.11286373242111393,0.017765795229998483,0.0,8.2757015538019799e-05,8.2291146801381092e-06,0.0,7.5930098129770396e-07,0.0,0.00018870767693063563,2.3181380685293106e-15,1.9392477631114322e-08,9.8854730171472311e-13,5.1596810766101418e-08,0.0,0.0,3.1880568373677921e-07,7.6631988972686634e-12,0.0056158294087917393,0.010028002247500894,9.6426958286235978e-08,3.5932354601699473e-07,7.6748951000482093e-06,3.9711612449371879e-09,2.5982935452503183e-08,1.9485757795002408e-09
6.316688951906565e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32188502090484711,0.11286303840874226,0.017749899837565558,0.0,8.3392926806382932e-05,8.2286462814532955e-06,0.0,7.7230711528794501e-07,0.0,0.00018994489635854384,2.3966150377496788e-15,1.937807077237217e-08,1.0113544070894492e-12,5.2177862998842343e-08,0.0,0.0,3.1989554358423243e-07,7.8708266537336994e-12,0.0056152589410689291,0.010059154392797491,9.6880319284233218e-08,3.600579349959887e-07,7.6660410895517397e-06,4.0001160269231656e-09,2.6129957976091128e-08,1.9818266471504043e-09
6.339862310804654e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32185448267532391,0.1128623405966637,0.01773402168752565,0.0,8.4030662565216389e-05,8.228022394398725e-06,0.0,7.8548397914584345e-07,0.0,0.0001911851223541951,2.4774241533621954e-15,1.9363660169861646e-08,1.0345937533120486e-12,5.2763066124196042e-08,0.0,0.0,3.2098118432884917e-07,8.0832350884987154e-12,0.0056146889193549555,0.010090270231444782,9.7334188118598943e-08,3.6078942392699144e-07,7.65720560973187e-06,4.0291433958298527e-09,2.6277114735502585e-08,2.0155111036949758e-09
6.363035669702743e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32182398023526243,0.11286163899273678,0.017718160755258849,0.0,8.4670217087483082e-05,8.2272450028200619e-06,0.0,7.9883310378389108e-07,0.0,0.00019242834450772836,2.5606249800559248e-15,1.9349246794247974e-08,1.0582717122778225e-12,5.3352431840065256e-08,0.0,0.0,3.2206261775418562e-07,8.300514620653848e-12,0.0056141193431242728,0.010121349818371815,9.778856234958789e-08,3.6151803156478969e-07,7.648388771487827e-06,4.0582430881020049e-09,2.6424403649875079e-08,2.0496329859536516e-09
6.386209028600832e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32179351353025426,0.11286093360480336,0.017702317016192588,0.0,8.5311584674347278e-05,8.2263160723213823e-06,0.0,8.1235602676612234e-07,0.0,0.00019367455241151585,2.6462783503280415e-15,1.9334831591964787e-08,1.0823947216117043e-12,5.394597180841864e-08,0.0,0.0,3.2313985576821126e-07,8.5227569993784144e-12,0.0056135502118524888,0.010152393208384819,9.82434395383357e-08,3.6224377650271906e-07,7.6395906814389071e-06,4.087414841662866e-09,2.6571822645301967e-08,2.0841961467423079e-09
6.409382387498921e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32176308250601671,0.11286022444068861,0.017686490445801492,0.0,8.5954759655015146e-05,8.2252375503593627e-06,0.0,8.2605429229032067e-07,0.0,0.00019492373566016677,2.7344463858718329e-15,1.9320415485807667e-08,1.1069692850130167e-12,5.4543697655284932e-08,0.0,0.0,3.2421291039917945e-07,8.7500553176288959e-12,0.0056129815250163615,0.010183400456167616,9.8698817246863809e-08,3.6296667717417569e-07,7.6308114420255699e-06,4.1166583959034054e-09,2.6719369654814051e-08,2.1192044548228063e-09
6.43255574639701e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32173268710839237,0.11285951150820103,0.017670681019607302,0.0,8.6599736386575011e-05,8.2240113663388677e-06,0.0,8.3992945117001137e-07,0.0,0.00019617588385053176,2.8251925192235672e-15,1.930599937551339e-08,1.132001972599082e-12,5.5145620970747397e-08,0.0,0.0,3.2528179379157797e-07,8.9825040258984761e-12,0.0056124132820937981,0.010214371616282032,9.9154693038085104e-08,3.6368675185410722e-07,7.6220511516082846e-06,4.1459734916713618e-09,2.6867042618361403e-08,2.1546617948523047e-09
6.455729105295099e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32170232728334819,0.1128587948151327,0.017654888713178718,0.0,8.7246509253837516e-05,8.2226394317098842e-06,0.0,8.5398306081623997e-07,0.0,0.00019743098658170832,2.9185815156698923e-15,1.9291584138324935e-08,1.1574994212476714e-12,5.5751753308938359e-08,0.0,0.0,3.2634651820215752e-07,9.2201989460478312e-12,0.0056118454825638412,0.010245306743168266,9.9611064475809189e-08,3.6440401866050938e-07,7.6133099045640206e-06,4.175359871260555e-09,2.7014839482795266e-08,2.1905720673320362e-09
6.478902464193188e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32167200297697546,0.11285807436925892,0.017639113502131317,0.0,8.7895072669175579e-05,8.2211236400656926e-06,0.0,8.682166852191383e-07,0.0,0.00019868903345504659,3.0146794954173855e-15,1.9277170629543e-08,1.1834683349382603e-12,5.6362106188034167e-08,0.0,0.0,3.2740709599603874e-07,9.4632372852069669e-12,0.0056112781259066704,0.01027620589114531,1.0006792912474732e-07,3.6511849555589028e-07,7.604587791380518e-06,4.2048172784001949e-09,2.716275820185024e-08,2.2269391885555992e-09
6.502075823091278e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32164171413548881,0.11285735017833866,0.017623355362127405,0.0,8.854542107236449e-05,8.2194658672422936e-06,0.0,8.826318949292773e-07,0.0,0.00019995001407415569,3.1135539560258931e-15,1.9262759683064049e-08,1.2099154850920639e-12,5.6976691090250042e-08,0.0,0.0,3.2846353964289503e-07,9.7117176497478529e-12,0.0056107112116035888,0.010307069114411364,1.0052528455051921e-07,3.6583020034873879e-07,7.5958848987484286e-06,4.2343454582441379e-09,2.731079673612641e-08,2.2637670905567281e-09
6.525249181989367e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32161146070522617,0.11285662225011434,0.017607614268875898,0.0,8.9197548930421998e-05,8.2176679714189045e-06,0.0,8.9723026703881027e-07,0.0,0.00020121391804491103,3.2152737951072859e-15,1.9248352111905352e-08,1.2368477109108374e-12,5.7595519461835467e-08,0.0,0.0,3.2951586171321039e-07,9.9657400593275733e-12,0.0056101447391370234,0.010337896467044184,1.0098312831965693e-07,3.6653915069497808e-07,7.587201309651262e-06,4.2639441573605001e-09,2.7458953053071663e-08,2.3010597210565709e-09
6.548422540887456e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3215812426326482,0.11285589059231189,0.017591890198132253,0.0,8.9851450737448224e-05,8.2157317932195768e-06,0.0,9.1201338516240689e-07,0.0,0.00020248073497546176,3.3199093332912418e-15,1.9233948708717323e-08,1.2642719197143994e-12,5.821860271306957e-08,0.0,0.0,3.3056407487461078e-07,1.0225405961001774e-11,0.0056095787079905165,0.010368688003001527,1.0144145799961225e-07,3.6724536409939188e-07,7.5785371034533244e-06,4.2936131237209709e-09,2.7607225126964309e-08,2.3388210434104628e-09
6.571595899785545e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32155105986433752,0.11285515521264093,0.017576183125698277,0.0,9.0507121014465964e-05,8.2136591558157884e-06,0.0,9.269828394179758e-07,0.0,0.00020375045447623913,3.4275323374596623e-15,1.9219550246283526e-08,1.2921950872768691e-12,5.8845952218256741e-08,0.0,0.0,3.3160819188826931e-07,1.0490818243408089e-11,0.0056090131176487245,0.010399443776121519,1.0190027115876146e-07,3.6794885791707166e-07,7.5698923559856233e-06,4.3233521066904823e-09,2.7755610938895548e-08,2.3770550365542086e-09
6.594769258683634e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32152091234699859,0.11285441611879468,0.017560493027422071,0.0,9.1164554309260828e-05,8.2114518650299734e-06,0.0,9.4214022640718056e-07,0.0,0.00020502306615996564,3.5382160442513261e-15,1.9205157478008508e-08,1.3206242581615798e-12,5.9477579315722544e-08,0.0,0.0,3.3264822560538061e-07,1.0762081251019325e-11,0.0056084479675974049,0.010430163840123057,1.0235956536641096e-07,3.6864964935481247e-07,7.5612671396297405e-06,4.3531608570168964e-09,2.7904108476752267e-08,2.4157656949498602e-09
6.617942617581723e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32149080002745706,0.11285367331844998,0.017544819879197888,0.0,9.1823745196221751e-05,8.2091117094399946e-06,0.0,9.5748714919574975e-07,0.0,0.00020629855964166425,3.6520351838383701e-15,1.9190771138393887e-08,1.3495665460546497e-12,6.0113495307809668e-08,0.0,0.0,3.3368418896370788e-07,1.1039300798466115e-11,0.0056078832573234101,0.010460848248606205,1.0281933819280512e-07,3.6934775547252508e-07,7.5526615233999207e-06,4.3830391268204714e-09,2.805271573519993e-08,2.4549570285310155e-09
6.641115976479812e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32146072285265959,0.11285292681926744,0.017529163656966027,0.0,9.2484688276181468e-05,8.2066404604843658e-06,0.0,9.7302521729357859e-07,0.0,0.00020757692453866877,3.7690660039761787e-15,1.9176391943503023e-08,1.3790291340971863e-12,6.0753711460874319e-08,0.0,0.0,3.3471609498419674e-07,1.1322584184928713e-11,0.005607318986314694,0.010491497055052583,1.0327958720912936e-07,3.7004319318463925e-07,7.5440755730231085e-06,4.412986669584e-09,2.8201430715665582e-08,2.4946330626476216e-09
6.664289335377901e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32143068076967257,0.11285217662889137,0.017513524336712698,0.0,9.3147378176257407e-05,8.204039872568312e-06,0.0,9.8875604663462967e-07,0.0,0.00020885815047063435,3.8893862943282476e-15,1.9162020591414391e-08,1.4090192752160908e-12,6.1398239005282453e-08,0.0,0.0,3.3574395676765915e-07,1.1612040208597723e-11,0.0056067551540602938,0.010522110312825758,1.0374030998751865e-07,3.7073597926145172e-07,7.5355093510172988e-06,4.4430032401422883e-09,2.8350251426320927e-08,2.5347978380102918e-09
6.710636053174079e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32137070166799619,0.11285066520505471,0.017482296306315495,0.0,9.4477977075697338e-05,8.198457612952411e-06,0.0,1.0208024847799979e-06,0.0,0.00021142914392974712,4.1402143024822434e-15,1.9133304120649723e-08,1.4706115792911776e-12,6.2700273009622979e-08,0.0,0.0,3.3778760040681143e-07,1.220991294279217e-11,0.0056056288037760029,0.010583230395218864,1.0466316712381598e-07,3.721136628778937e-07,7.5184363266000734e-06,4.503242490682546e-09,2.8648202104510854e-08,2.6166098517808203e-09
