Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),H2OX(23),CO2X(24),COX(50),CHOX(53)
1.3632798381320641e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32933377208855386,0.11291103601615865,0.021584457984064394,6.6938397741168143e-09,1.344549593578916e-07,1.0690134637662831e-05,1.0834382396891055e-05,1.3299130505317346e-15,2.5344415077753208e-19,1.2785171270650249e-08,3.9887039317153515e-30,2.5627484229986466e-08,7.0712497025545666e-23,4.9177002893246627e-15,3.3664993173969933e-16,8.6502643552028039e-19,3.5616226013936476e-10,1.9160420600078653e-22,0.0057478233669661311,0.0024631622534392228,5.5598929784913193e-10,2.2376363700327112e-05,4.0325981530374633e-14,1.2237744248183745e-09,1.9530126537116088e-07,1.8870445011595331e-08,5.5694132501294696e-08,1.5746429401980606e-07,7.1764597002784599e-12,1.3606058201998689e-12,8.7918389933945101e-12,7.0243610836672394e-14
1.3677531001621686e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32932609133703988,0.11291108556632598,0.021580554422940292,6.7688710075816979e-09,1.3624431411992349e-07,1.0793514251298418e-05,1.0902530867881111e-05,1.342957288335489e-15,2.5715438774909314e-19,1.2828424638276839e-08,4.0615986872258339e-30,2.5737779639381643e-08,7.1540323868165522e-23,4.981022629569895e-15,3.4030425982054977e-16,8.7339925667623951e-19,3.5947061200854242e-10,1.944548734154544e-22,0.005747705301663567,0.0024708988979801885,5.5765889802436459e-10,2.2436629721931975e-05,4.0451233244359434e-14,1.2268977638873455e-09,1.9526910809522103e-07,1.8981108311034854e-08,5.5969809600586249e-08,1.5901141265797382e-07,7.2689183095008773e-12,1.3716540012107666e-12,8.8469347774081418e-12,7.0783079595534344e-14
1.372226362192273e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32931841313245708,0.11291113529621374,0.021576651749776181,6.8445096541725723e-09,1.3804954011551559e-07,1.089736591335833e-05,1.0970881635810194e-05,1.3560886211890804e-15,2.6090310727210482e-19,1.2871695457543177e-08,4.135594602106298e-30,2.5847987588322208e-08,7.2375246357731308e-23,5.0449104420629573e-15,3.439831920084934e-16,8.8182465543184661e-19,3.6279499393724565e-10,1.9733886154375768e-22,0.0057475868529446097,0.0024786335464471051,5.5932807329094402e-10,2.2496720180095931e-05,4.0576452618715691e-14,1.2300117603373976e-09,1.952371402768273e-07,1.909193141773695e-08,5.6246080878992028e-08,1.6056571929475801e-07,7.3621682163534161e-12,1.382758276421181e-12,8.9021922097400712e-12,7.1324642801389105e-14
1.3766996242223775e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32931073746004497,0.11291118519334407,0.02157274996428122,6.9207587832244691e-09,1.3987070505018295e-07,1.100168861567458e-05,1.103943463841535e-05,1.36930736836796e-15,2.6469054363535038e-19,1.2914983666461042e-08,4.2107048751773517e-30,2.5958106846700554e-08,7.3217302939954736e-23,5.1093665067826997e-15,3.4768677388780924e-16,8.9030278762640914e-19,3.6613539852731527e-10,2.0025645554370777e-22,0.0057474680333485734,0.0024863661994103739,5.6099682371401016e-10,2.2556636744047631e-05,4.0701639712588343e-14,1.2331165067242855e-09,1.9520535998891055e-07,1.9202914248612964e-08,5.6522946097711112e-08,1.6212719782435923e-07,7.4562126798841523e-12,1.3939187627586931e-12,8.9576112292698358e-12,7.1868303441803945e-14
1.381172886252482e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3293030643054391,0.11291123524562446,0.02156884906616505,6.9976214703809851e-09,1.4170787669347571e-07,1.1106481355068694e-05,1.1108189813414306e-05,1.382613849330253e-15,2.6851693178666625e-19,1.2958289202332526e-08,4.2869428221613368e-30,2.6068136209856343e-08,7.4066532136864964e-23,5.1743936078347498e-15,3.5141505077019838e-16,8.9883380905073607e-19,3.6949181838448754e-10,2.0320794211571764e-22,0.0057473488550292221,0.0024940968574394106,5.6266514935985628e-10,2.2616381072787019e-05,4.0826794586936695e-14,1.2362120949796778e-09,1.9517376533122693e-07,1.931405673024713e-08,5.6800405018159108e-08,1.6369583221098991e-07,7.5510549630712105e-12,1.4051355770239162e-12,9.0131917748744557e-12,7.2414064537995165e-14
1.3856461482825865e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32929539365466087,0.11291128544133619,0.021564949055137742,7.0751007975870086e-09,1.4356112288132779e-07,1.1211743133466477e-05,1.1177147098506166e-05,1.3960083837141087e-15,2.7238250733800047e-19,1.3001612001767688e-08,4.3643218763333561e-30,2.6178074498300885e-08,7.492297254665527e-23,5.2399945334777968e-15,3.5516806769923172e-16,9.0741787544713239e-19,3.7286424612052919e-10,2.0619360950565738e-22,0.005747229329766592,0.0025018255211026598,5.6433305029589646e-10,2.2675954814848313e-05,4.0951917304451135e-14,1.2392986163996146e-09,1.9514235442988037e-07,1.9425358798547834e-08,5.7078457401964673e-08,1.6527160649096282e-07,7.6466983329159864e-12,1.4164088358905369e-12,9.068933785428972e-12,7.296192914384775e-14
1.390119410312691e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32928772549410484,0.11291133576912277,0.021561049930909827,7.1531998530814509e-09,1.4543051151835881e-07,1.1317472958007111e-05,1.1246306431372065e-05,1.4094912913350571e-15,2.7628750657040574e-19,1.3044952000702026e-08,4.4428555891735162e-30,2.6287920557440947e-08,7.5786662843532383e-23,5.3061720761491877e-15,3.5894586945474905e-16,9.1605514250939259e-19,3.7625267435528855e-10,2.092137475079038e-22,0.0057471094689784587,0.0025095521909676136,5.6600052659063251e-10,2.2735359608074647e-05,4.1077007929471767e-14,1.2423761616335974e-09,1.9511112543685524e-07,1.9536820398405332e-08,5.7357103010966044e-08,1.6685450477468442e-07,7.7431460605336095e-12,1.4277386559053962e-12,9.1248371998068975e-12,7.3511900344946817e-14
1.3945926723427954e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32928005981052905,0.1129113862179788,0.021557151693192247,7.2319217313899935e-09,1.4731611058012738e-07,1.1423669841146636e-05,1.1315667749675821e-05,1.4230628921833782e-15,2.8023216643896559e-19,1.308830913441375e-08,4.5225576310203616e-30,2.6397673257302101e-08,7.6657641777568753e-23,5.3729290324898475e-15,3.6274850055720668e-16,9.2474576588279372e-19,3.796570957186647e-10,2.1226864746838392e-22,0.0057469892837314655,0.0025172768676008303,5.676675783136231e-10,2.2794597079403984e-05,4.1202066527908896e-14,1.2454448206742706e-09,1.9508007652955932e-07,1.9648441483355583e-08,5.7636341607207784e-08,1.6844451124855663e-07,7.8404014212411964e-12,1.4391251534885522e-12,9.1809019568807013e-12,7.4063981257617168e-14
1.3990659343728999e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32927239659104307,0.11291143677723933,0.021553254341696387,7.3112695333178143e-09,1.4921798811533692e-07,1.1530332800756045e-05,1.1385230991064579e-05,1.4367235064214804e-15,2.8421672457765521e-19,1.3131683337540818e-08,4.6034417917255121e-30,2.6507331492251599e-08,7.7535948174557229e-23,5.4402682033685204e-15,3.6657600527197583e-16,9.3348990116409246e-19,3.8307750285249519e-10,2.153586022876129e-22,0.0057468687847518768,0.0025249995515679419,5.6933420553545288e-10,2.2853668844666358e-05,4.1327093167164907e-14,1.2485046828477102e-09,1.950492059103765e-07,1.9760222015250554e-08,5.7916172952937439e-08,1.7004161017678835e-07,7.9384676946431716e-12,1.4505684449333421e-12,9.2371279955222725e-12,7.461817502797448e-14
1.4035391964030043e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32926473582309929,0.11291148743656924,0.021549357876134025,7.3912463659423452e-09,1.5113621224799424e-07,1.1637460860214026e-05,1.1454996093169413e-05,1.4504734543812856e-15,2.8824141930413333e-19,1.317507454409777e-08,4.6855219813094968e-30,2.6616894180721165e-08,7.8421620935868446e-23,5.5081923939053202e-15,3.7042842761358815e-16,9.4228770390151709e-19,3.8651388841236589e-10,2.1848390642372554e-22,0.0057467479824360448,0.0025327202434336756,5.7100040832770132e-10,2.2912576508391749e-05,4.1452087916058497e-14,1.2515558368042672e-09,1.9501851180622913e-07,1.9872161963934581e-08,5.8196596810602456e-08,1.7164578590311803e-07,8.0373481647145976e-12,1.4620686464064496e-12,9.2935152546033613e-12,7.517448483098528e-14
1.4080124584331088e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32925707749448152,0.11291153818595322,0.021545462296217361,7.4718553426060112e-09,1.5307085117951968e-07,1.1745053048494505e-05,1.1524962993605942e-05,1.4643130565616296e-15,2.9230648962446701e-19,1.3218482687492382e-08,4.7688122306187712e-30,2.6726360264929542e-08,7.9314699038310951e-23,5.5767044134946278e-15,3.7430581134993125e-16,9.5113932959476398e-19,3.8996624506934221e-10,2.2164485589550295e-22,0.0057466268868605255,0.002540438943761865,5.7266618676291391e-10,2.2971321663628846e-05,4.1577050844749857e-14,1.2545983705099963e-09,1.9498799246814934e-07,1.9984261306927298e-08,5.847761294284699e-08,1.732570228524506e-07,8.1370461198815572e-12,1.4736258739479722e-12,9.3500636729960006e-12,7.5732913869539359e-14
1.4124857204632133e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32924942159329629,0.11291158901568589,0.021541567601658977,7.5530995829089979e-09,1.5502197319081114e-07,1.1853108400249153e-05,1.1595131629974935e-05,1.4782426336256693e-15,2.9641217523778748e-19,1.326190770054208e-08,4.8533266919839455e-30,2.6835728710605058e-08,8.0215221533993334e-23,5.6458070758272854e-15,3.7820820000639186e-16,9.6004493369499415e-19,3.9343456551162591e-10,2.2484174828539315e-22,0.005746505507791883,0.0025481556531154648,5.7433154091457303e-10,2.3029905891773995e-05,4.170198202466855e-14,1.2576323712386189e-09,1.9495764617085994e-07,2.0096520029112533e-08,5.8759221112508989e-08,1.7487530553240944e-07,8.237564853099585e-12,1.4852402434714827e-12,9.4067731895729713e-12,7.6293465373531618e-14
1.4169589824933177e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32924176810796307,0.11291163991636242,0.021537673792171863,7.6349822127019865e-09,1.5698964664426e-07,1.196162595588491e-05,1.1665501939862852e-05,1.4922625063982998e-15,3.0055871654087673e-19,1.3305349515490153e-08,4.9390796398791766e-30,2.6944998506708327e-08,8.1123227550189243e-23,5.7155031989121357e-15,3.8213563686994738e-16,9.6900467160482632e-19,3.9691884244613604e-10,2.2807488274252616e-22,0.0057463838546962191,0.0025558703720565627,5.7599647085707044e-10,2.3088330762410394e-05,4.1826881528442153e-14,1.2606579255640317e-09,1.9492747121236386e-07,2.0208938122433655e-08,5.904142108261713e-08,1.7650061853480569e-07,8.3389076619291883e-12,1.4969118707641032e-12,9.4636437432081674e-12,7.6856142598956148e-14
