Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(40),HX(39),CH3X(38),CH2X(175),CHX(176),H2X(44),CX(177)
4.6162944196643677e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3290122095065226,0.1114313750611215,0.022821567692576511,0.0,2.6888953901895934e-13,0.0019278109422809077,0.0,1.5678069862378556e-08,0.0,4.6900310052821396e-06,2.5501813955836041e-18,2.0649278094381976e-06,2.2966150933977127e-14,1.8564525239295967e-16,0.0,0.0,6.8642746481267863e-13,3.4557904723398041e-13,0.0056660534464914591,0.0012922358946146633,1.0587500039776138e-06,1.7586764031144535e-07,0.0010640387971749838,2.9248217899861751e-05,0.00050254271965101502
4.632166854964294e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32900746918052082,0.11142673485920672,0.022821567692572368,0.0,2.7206949447727233e-13,0.0019364252492352311,0.0,1.5755251640168902e-08,0.0,4.7008971253875741e-06,2.5808779710727096e-18,2.0652775475428701e-06,2.3087355805667131e-14,1.8830523466946375e-16,0.0,0.0,6.9153441794355899e-13,3.4885330456427439e-13,0.0056657350738484732,0.0012922161565710997,1.0593622953244673e-06,1.7625218570479676e-07,0.0010663664371196333,2.9379100520918972e-05,0.00050516163693690671
4.6480392902642207e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32900273072476982,0.11142209574100589,0.022821567692568202,0.0,2.7527320963801237e-13,0.0019450389545232832,0.0,1.5832540917877978e-08,0.0,4.7117233530959109e-06,2.61180745500665e-18,2.065619304611719e-06,2.3208678634685136e-14,1.9099114885044654e-16,0.0,0.0,6.9665454301545903e-13,3.5214480288646623e-13,0.0056654168011272942,0.0012921956049243984,1.0599726112873577e-06,1.7663619538586566e-07,0.001068691518690068,2.95099705308374e-05,0.00050778197114975969
4.663911725564147e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32899799411998121,0.11141745770369092,0.022821567692564021,0.0,2.7850074749358343e-13,0.0019536520473537331,0.0,1.5909937440482508e-08,0.0,4.7225098299647892e-06,2.642970488738044e-18,2.0659532346819447e-06,2.3330119497349084e-14,1.9370311420495928e-16,0.0,0.0,7.0178777431208281e-13,3.5545355895894719e-13,0.0056650986277273245,0.0012921742564432871,1.0605809767936357e-06,1.7701967393490278e-07,0.0010710140600880345,2.9640827762380068e-05,0.00051040370734588866
4.679784160864074e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32899325934729706,0.11141282074446879,0.022821567692559823,0.0,2.8175217074238222e-13,0.0019622645171591293,0.0,1.5987440955554101e-08,0.0,4.7332566978588592e-06,2.6743677116316192e-18,2.0662794888530712e-06,2.3451678471906493e-14,1.9644124967577015e-16,0.0,0.0,7.0693404636565204e-13,3.5877958955108316e-13,0.0056647805530600824,0.0012921521274977706,1.0611874163593973e-06,1.7740262585903433e-07,0.0010733340792743334,2.9771672051826366e-05,0.00051302683077565961
4.6956565961640003e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32898852638827869,0.11140818486058078,0.022821567692555601,0.0,2.8502754178988158e-13,0.0019708763535906011,0.0,1.6065051213219109e-08,0.0,4.743964098929372e-06,2.7059997610811887e-18,2.0665982153401433e-06,2.3573355638366593e-14,1.9920567387801204e-16,0.0,0.0,7.1209329395677125e-13,3.6212291144347633e-13,0.0056644625765489027,0.0012921292340694586,1.0617919540968696e-06,1.7778505559367111e-07,0.0010756515939727516,2.990250323888867e-05,0.00051565132688045196
4.711529031463927e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32898379522489712,0.11140355004930196,0.022821567692551364,0.0,2.8832692274971455e-13,0.0019794875465127021,0.0,1.6142767966119079e-08,0.0,4.7546321755942238e-06,2.737867272526397e-18,2.066909559526066e-06,2.3695151078338181e-14,2.0199650509787152e-16,0.0,0.0,7.1726545211427287e-13,3.6548354142820474e-13,0.0056641446976286617,0.0012921055917616104,1.0623946137217325e-06,1.7816696750388518e-07,0.001077966621673916,3.0033321166631137e-05,0.00051827718128967168
4.7274014667638533e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32897906583952174,0.11139891630794069,0.022821567692547111,0.0,2.9165037544475674e-13,0.0019880980859983736,0.0,1.6220590969371943e-08,0.0,4.7652610705184438e-06,2.7699708794692203e-18,2.0672136640131073e-06,2.3817064874872964e-14,2.0481386129131828e-16,0.0,0.0,7.2245045611504069e-13,3.6886149630903762e-13,0.0056638269157454884,0.0012920812158089148,1.0629954185602023e-06,1.7854836588576175e-07,0.0010802791796390853,3.0164125681390606e-05,0.00052090437981781336
4.74327390206378e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32897433821491068,0.11139428363383788,0.022821567692542833,0.0,2.9499796140820918e-13,0.0019967079623240515,0.0,1.6298519980533931e-08,0.0,4.7758509265951054e-06,2.8023112134902389e-18,2.0675106686735643e-06,2.3939097112314231e-14,2.0765786008287521e-16,0.0,0.0,7.2764824148381121e-13,3.7225679290163039e-13,0.0056635092303565018,0.0012920561210869954,1.0635943915561415e-06,1.7892925496772127e-07,0.0010825892849038714,3.0294916632699504e-05,0.00052353290846157393
4.7591463373637064e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32896961233420136,0.11138965202436674,0.022821567692538541,0.0,2.9836974188468002e-13,0.0020053171659648907,0.0,1.6376554759562133e-08,0.0,4.7864018869266743e-06,2.8348889042646816e-18,2.0678007106996125e-06,2.406124787615087e-14,2.1052861876442772e-16,0.0,0.0,7.3285874399295719e-13,3.7566944803369726e-13,0.0056631916409295461,0.0012920303221216596,1.0641915552778205e-06,1.793096389118154e-07,0.0010848969542818991,3.042569387321071e-05,0.00052616275339701019
4.775018772663633e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32896488818090058,0.11138502147693198,0.022821567692534232,0.0,3.0176577783126558e-13,0.0020139256875901109,0.0,1.6454695068777698e-08,0.0,4.7969140948067746e-06,2.8677045795782365e-18,2.0680839246523406e-06,2.4183517252876395e-14,2.1342625429407247e-16,0.0,0.0,7.380818996622489e-13,3.790994785451642e-13,0.0056628741469429344,0.001292003833097902,1.0647869319248603e-06,1.7968952181499533e-07,0.0010872022043683948,3.0556457258624407e-05,0.00052879390097674845
4.790891207963559e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32896016573887543,0.11138039198896935,0.022821567692529899,0.0,3.0518612991863041e-13,0.0020225335180584707,0.0,1.6532940672829773e-08,0.0,4.8073876937023505e-06,2.9007588653426429e-18,2.0683604425099708e-06,2.4305905329853111e-14,2.1635088329500477e-16,0.0,0.0,7.4331764475859869e-13,3.8254690128830179e-13,0.0056625567478851922,0.0012919766678686575,1.0653805433346183e-06,1.8006890771035571e-07,0.0010895050515437217,3.0687206647616756e-05,0.00053142633772723614
4.806763643263486e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32895544499234441,0.11137576355794522,0.022821567692525552,0.0,3.0863085853208671e-13,0.0020311406484138411,0.0,1.6611291338659981e-08,0.0,4.8178228272362449e-06,2.9340523856110659e-18,2.0686303937153079e-06,2.4428412195181014e-14,2.1930262205444348e-16,0.0,0.0,7.4856591579578662e-13,3.8601173312783967e-13,0.0056622394432548316,0.0012919488399633205,1.0659724109890729e-06,1.8044780056835163e-07,0.0010918055119768411,3.0817941901770358e-05,0.00053406005034604444
4.822636078563412e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32895072592586888,0.11137113618135601,0.022821567692521187,0.0,3.1210002377267245e-13,0.0020397470698809107,0.0,1.6689746835467636e-08,0.0,4.8282196391701702e-06,2.9675857625932464e-18,2.0688939052223796e-06,2.4551037937571589e-14,2.2228158652259384e-16,0.0,0.0,7.5382664953416758e-13,3.8949399094106172e-13,0.0056619222325600873,0.001291920362596032,1.0665625560206898e-06,1.8082620429799131e-07,0.0010941036016287246,3.0948662885506607e-05,0.00053669502569920991
4.838508513863339e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32894600852434402,0.11136650985672769,0.022821567692516798,0.0,3.1559368545822894e-13,0.0020483527738609816,0.0,1.6768306934675476e-08,0.0,4.8385782733880648e-06,3.001359616670445e-18,2.0691511015423213e-06,2.4673782646226089e-14,2.2528789231164718e-16,0.0,0.0,7.5909978298036273e-13,3.929936916178846e-13,0.0056616051153187156,0.0012918912486737427,1.0671509992194859e-06,1.8120412274800363e-07,0.0010963993362556952,3.107936946601966e-05,0.00053933125081862617
4.854380949163265e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32894129277299083,0.11136188458161526,0.022821567692512396,0.0,3.1911190312447607e-13,0.0020569577519278892,0.0,1.6846971409896097e-08,0.0,4.8488988738798198e-06,3.035374566410173e-18,2.0694021047884844e-06,2.479664641071849e-14,2.2832165469481716e-16,0.0,0.0,7.6438525338693163e-13,3.9651085206091906e-13,0.0056612880910577468,0.0012918615108040606,1.0677377610380331e-06,1.815815597079836e-07,0.001098692731412721,3.1210061513212114e-05,0.00054196871289947414
