Time (s),Volume (m^3),Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),C2H4X(64),C2H4(48),HeX(49),C4H8a(86),HX(12),C2H3X(58),C4H6(99),C2H3(38)
6.403968085832156e-17,0.004023131612903226,0.0,0.0,0.010942917873850641,0.49999999997428013,1.6776566288423431e-50,4.012875323548775e-25,4.1477595406618736e-28,1.2409774525728079e-40,4.7597721553797526e-64,5.8519235770294351e-17,3.6884740846475452e-17,1.0798101636409728e-40,0.49999999932353179,8.5147115241505946e-11,5.9013140954555977e-10,2.5719877252434859e-11,1.1386160247657035e-18,1.1895786617455726e-12,1.1895624664272012e-12,8.1670376610788691e-23,1.1159913245090797e-16
9.373924308673385e-17,0.004023131612903226,0.0,0.0,0.010942917821349154,0.49999999996235311,6.7384497662273056e-50,8.5970962233274499e-25,8.8860707096666342e-28,3.7289368805963744e-40,2.5400617260875241e-63,8.565858302974537e-17,5.3990715860690503e-17,3.4049604162513425e-40,0.49999999900982506,1.2461815624854265e-10,8.6381544819271698e-10,3.7646962913479886e-11,2.439346004874236e-18,1.7412673092620297e-12,1.7412326127696556e-12,2.4547098074427865e-22,1.743453020439086e-16
1.2343880531514614e-16,0.004023131612903226,0.0,0.0,0.010942917768859363,0.49999999995042665,1.8496315072664322e-49,1.4907141123113739e-24,1.5408217869462574e-27,8.263057205817407e-40,8.8162798613738371e-63,1.1279792487474556e-16,7.1096696066805115e-17,7.8961724071579923e-40,0.49999999869612932,1.6407812559097315e-10,1.1374994271677793e-09,4.9573431725340462e-11,4.2297624340255282e-18,2.2929559511392463e-12,2.2928957883296149e-12,5.4399871488454659e-22,2.440563455597848e-16
1.5313836754355844e-16,0.004023131612903226,0.0,0.0,0.010942917716381265,0.49999999993850081,4.1278026930080638e-49,2.2943009573181064e-24,2.3714201438309115e-27,1.5476348056920637e-39,2.405272423555997e-62,1.3993726130529699e-16,8.8202681464818627e-17,1.5451942655512133e-39,0.4999999983824448,2.0352702632506528e-10,1.4111833464707693e-09,6.1499283719453819e-11,6.5098651643077993e-18,2.8446445873783945e-12,2.8445519931119285e-12,1.0189301527666353e-21,3.2073217596932851e-16
2.1253749200038301e-16,0.004023131612903226,0.0,0.0,0.010942917611460136,0.49999999991465094,1.4194171578065071e-48,4.41922157967625e-24,4.5677679705664414e-27,4.0287628257684523e-39,1.1565508137612078e-61,1.9421591792306006e-16,1.224146678365409e-16,4.3715696206487365e-39,0.49999999775510895,2.8239163329419226e-10,1.9585510060606038e-09,8.5349137370877472e-11,1.2539129076334578e-17,3.9480218429468315e-12,3.9478434903602357e-12,2.6525312081492778e-21,4.9497787614020377e-16
2.719366164572076e-16,0.004023131612903226,0.0,0.0,0.01094291750658574,0.49999999989080351,3.6249541985821379e-48,7.2344712012729385e-24,7.4776509616603929e-27,8.3239936351493282e-39,3.7152141133476046e-61,2.4849455288304881e-16,1.5662667497585405e-16,9.7373767052089117e-39,0.49999999712781767,3.6121200165043724e-10,2.5059184269623763e-09,1.0919652411961195e-10,2.0527136760532664e-17,5.0513990759767367e-12,5.0511071045505837e-12,5.4805202724561452e-21,6.9708170745471146e-16
3.313357409140322e-16,0.004023131612903226,0.0,0.0,0.010942917401758052,0.49999999986695864,7.7711217507410165e-48,1.0740049527564338e-23,1.1101069558379947e-26,1.4967855642633043e-38,9.5718041952065171e-61,3.0277316618527806e-16,1.9083870288275514e-16,1.8777245471015578e-38,0.49999999650057075,4.3998815716828952e-10,3.0532856091762464e-09,1.3304144423076296e-10,3.04738872096926e-17,6.1547762864779982e-12,6.1543428357205667e-12,9.8547713017484947e-21,9.2704293845929079e-16
3.907348653708568e-16,0.004023131612903226,0.0,0.0,0.010942917296977045,0.49999999984311616,1.4822253484042569e-47,1.4935956274791699e-23,1.5438024206860712e-26,2.4490376916187791e-38,2.1405397825795703e-60,3.5705175782976208e-16,2.2505075155724135e-16,3.2833329855968553e-38,0.49999999587336835,5.1872012538775299e-10,3.6006525527023717e-09,1.5688389796714205e-10,4.2379379448650487e-17,7.2581534744604146e-12,7.2575506839071777e-12,1.612416512572025e-20,1.1848608441954701e-15
5.09533114284506e-16,0.004023131612903226,0.0,0.0,0.010942917087554977,0.49999999979543869,4.2944454337782712e-47,2.5398753948763465e-23,2.625254337655335e-26,5.4205082601765603e-38,8.3198423472608611e-60,4.6560887614554919e-16,2.934749112089581e-16,8.2701859345245545e-38,0.49999999461909661,6.7605159780786224e-10,4.6953857236919852e-09,2.0456140732373035e-10,7.2066585569849801e-17,9.4649077829062559e-12,9.4638827314723961e-12,3.5686795963354909e-20,1.7840638984733669e-15
6.164515383067902e-16,0.004023131612903226,0.0,0.0,0.010942916899234517,0.49999999975253739,9.1962693441138742e-47,3.7176192298348051e-23,3.8425908253691012e-26,9.593758759626525e-38,2.1572331025842725e-59,5.6331020856040817e-16,3.5505672592061684e-16,1.6206141136046114e-37,0.4999999934904038,8.1749904998096743e-10,5.6806447612720678e-09,2.474627332930769e-10,1.0548395852827422e-16,1.1450986583588039e-11,1.1449486214838183e-11,6.3160053938116354e-20,2.4186094386569645e-15
