Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),CH2X(27),HX(19),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25)
6.081173169586399e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33754191038267956,0.11864549396325892,0.022820978187380891,0.0,1.0435813889625156e-16,9.8363506134154518e-16,2.9413746723340416e-16,4.3586060664524803e-22,3.4041181899389677e-41,6.1976608566078473e-12,8.6580592533032511e-46,6.1814050263577418e-12,5.444554352274074e-32,1.3800432860363644e-21,1.1184169814823392e-31,6.3588840949164429e-33,1.9848449284040591e-15,9.0986200603137988e-35,2.4471603821354526e-05,1.1790104451976286e-06,2.6768827644032753e-11,1.8534805181288351e-15,1.7454704855978603e-09,8.4373877788374248e-14,4.2982911191650305e-10,8.9634548810987751e-13,8.3233900984839271e-18,2.8680696613267285e-15
6.324927623876188e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33754088429409679,0.11864451520242124,0.022820954560138565,0.0,1.1540053159874144e-16,1.0397923042279667e-15,3.4482558841300003e-16,4.5519518273660237e-22,4.3392234436967931e-41,6.4460826489290215e-12,1.0226217265501635e-45,6.4290866138964462e-12,5.9321279892327225e-32,1.5212519070888121e-21,1.369144540104116e-31,7.7662659630697286e-33,2.1869241597584635e-15,1.0340554858868809e-34,2.5450346013050462e-05,1.2262648793222899e-06,2.6779231726896808e-11,1.8542008837595954e-15,1.8189799986668666e-09,8.4424344256040352e-14,4.4821581671961445e-10,9.4624788010461953e-13,8.8040679953632954e-18,3.2265216884255866e-15
6.568682078165977e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33753985837238132,0.11864353660814239,0.022820930933064375,0.0,1.2707233216613633e-16,1.0972441907558345e-15,4.017090188927678e-16,4.7454600095543574e-22,5.4792344262732945e-41,6.6945014436006519e-12,1.1998722800984905e-45,6.6767612661698496e-12,6.4408167071451745e-32,1.6702050276785826e-21,1.662928129551123e-31,9.4107689894767262e-33,2.4000020654508214e-15,1.1691279972036237e-34,2.6428921638841659e-05,1.2735189766389546e-06,2.6789635370929372e-11,1.8549212189922846e-15,1.8925173696866004e-09,8.4475540502298654e-14,4.666095768907597e-10,9.9664015822280311e-13,9.2896481071681483e-18,3.6126617157068449e-15
6.812436532455766e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33753883261750472,0.11864255818039394,0.022820907306158298,0.0,1.3938046906069269e-16,1.156005488575563e-15,4.6525585921649925e-16,4.9391311367417729e-22,6.8585877577810705e-41,6.9429172410388112e-12,1.3992648356938295e-45,6.9244289854424004e-12,6.9706338898822213e-32,1.8269828246437149e-21,2.0050820367396139e-31,1.1320751704129065e-32,2.6241846023192068e-15,1.3155408339454857e-34,2.7407330727101505e-05,1.3207727372039795e-06,2.6800038760494035e-11,1.8556415365941503e-15,1.9660826094746441e-09,8.4527499032194142e-14,4.8501039069317616e-10,1.0475101032136259e-12,9.7799934334996185e-18,4.0273752432341022e-15
7.056190986745556e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33753780702943859,0.1186415799191476,0.022820883679420315,0.0,1.5233171628291984e-16,1.2160909821752899e-15,5.3594882968860512e-16,5.1329657358176832e-22,8.5158637276066227e-41,7.1913300416656192e-12,1.6225756766352706e-45,7.1720897739789569e-12,7.5215929759577643e-32,1.9916638103166191e-21,2.4013381256055337e-31,1.3526665226274477e-32,2.8595752218788228e-15,1.4737555829050893e-34,2.8385573306198539e-05,1.3680261610717043e-06,2.68104419272941e-11,1.8563618387595349e-15,2.0396757273597987e-09,8.4580189143050751e-14,5.0341825660511915e-10,1.0988475081526223e-12,1.0274989556362675e-17,4.4715339100940831e-15
7.299945441035345e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33753678160815437,0.11864060182437498,0.022820860052850403,0.0,1.6593272311507447e-16,1.2775154727174658e-15,6.1428502009212315e-16,5.3269643345523757e-22,1.0494132696809244e-40,7.4397398459054001e-12,1.8716501830196272e-45,7.4197436340446902e-12,8.0937074588791784e-32,2.1643251487436133e-21,2.8578628323502456e-31,1.606112292048555e-32,3.1062753268283107e-15,1.6442341250013014e-34,2.9363649404496463e-05,1.4152792482948064e-06,2.6820844859698381e-11,1.8570821246837131e-15,2.1132967311000508e-09,8.4633630073467415e-14,5.2183317309740955e-10,1.1506438189382601e-12,1.0774540606961415e-17,4.9459957445322397e-15
7.543699895325134e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33753575635362382,0.11863962389604769,0.02282083642644853,0.0,1.8019003718493553e-16,1.3402937779343232e-15,7.0077565867921069e-16,5.5211274601457513e-22,1.2841294571100681e-40,7.6881466541822359e-12,2.1484028915380732e-45,7.6673905679050211e-12,8.6869908873673209e-32,2.3450429014273143e-21,3.3812731049889385e-31,1.8958964747623748e-32,3.3643846251122478e-15,1.8274386365028494e-34,3.0341559050354109e-05,1.4625319989245835e-06,2.6831247572708432e-11,1.8578023954051514e-15,2.1869456270228653e-09,8.4687819326147724e-14,5.4025513863516028e-10,1.2028918554590722e-12,1.1278566136925988e-17,5.4516053946088373e-15
7.787454349614923e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33753473126581846,0.11863864613413744,0.022820812800214679,0.0,1.9511012103857865e-16,1.4044407321548602e-15,7.9594590087096909e-16,5.7154556395227456e-22,1.5610410875325994e-40,7.9365504669204508e-12,2.4548175517448121e-45,7.9150305778255342e-12,9.3014568652968049e-32,2.5338922035025389e-21,3.9786512665516921e-31,2.225731618940483e-32,3.6340013841203878e-15,2.0238315901805684e-34,3.1319302272125491e-05,1.5097844130111519e-06,2.684165009373055e-11,1.8585226528218588e-15,2.2606224202438616e-09,8.4742756630627849e-14,5.5868415166805795e-10,1.2555856114086174e-12,1.1786998872052726e-17,5.9891943394252744e-15
8.274963258194501e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33753268159026978,0.11863669110945449,0.022820765548250958,0.0,2.2696410344528546e-16,1.5369000081740873e-15,1.0144941737781182e-15,6.1046092692152732e-22,2.265472211371084e-40,8.4333491074849923e-12,3.1649141415427022e-45,8.410289834909942e-12,1.0593991160140059e-31,2.9362822192710623e-21,5.4260594863153576e-31,3.0215834777744187e-32,4.208144384774825e-15,2.458034204812868e-34,3.3274289556801164e-05,1.6042882317501843e-06,2.6862454573293353e-11,1.8599631286742236e-15,2.4080597144339075e-09,8.4854880165641975e-14,5.9556331410442617e-10,1.3622911538401275e-12,1.281687183219349e-17,7.1635714628877029e-15
8.76247216677408e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33753063258128124,0.11863473675009939,0.022820718296959051,0.0,2.6154518387482546e-16,1.6750123082308433e-15,1.2744015090291028e-15,6.4944294433168653e-22,3.2168544693813063e-40,8.9301357710146876e-12,4.01919644046235e-45,8.9055214234238528e-12,1.1971420275398496e-31,3.3720832175791711e-21,7.2666379516885778e-31,4.0281659246923778e-32,4.8294695418875628e-15,2.9505477264734041e-34,3.5228611485258576e-05,1.6987907048953991e-06,2.6883258291476177e-11,1.8614035517623815e-15,2.5556086380185176e-09,8.4970008254190587e-14,6.3247064820497618e-10,1.4707296622108066e-12,1.3863815107824557e-17,8.4755236757751657e-15
9.249981075353658e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33752858423862581,0.11863278305584556,0.022820671046338777,0.0,2.9890328551861051e-16,1.8188969059769745e-15,1.58034882494051e-15,6.8849203822395734e-22,4.4799912857021058e-40,9.4269104609372956e-12,5.0360321508163657e-45,9.4007253614928214e-12,1.3433855023839467e-31,3.8418765897822894e-21,9.5753735513805374e-31,5.2840134809614436e-32,5.4987308234725199e-15,3.5050827336964239e-34,3.7182268284155312e-05,1.7932918328206691e-06,2.6904061190765476e-11,1.8628439181038858e-15,2.7032692060262387e-09,8.508814690349176e-14,6.6940614180828944e-10,1.5808798375981452e-12,1.4927590809257076e-17,9.931250406455964e-15
9.737489983933236e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33752653656207654,0.11863083002646636,0.022820623796389956,0.0,3.3908797210025196e-16,1.9686733412020125e-15,1.9372197753669284e-15,7.2760863044452012e-22,6.1316560171628003e-40,9.9236731806880862e-12,6.2349021329255896e-45,9.8959016672411004e-12,1.4981407099004762e-31,4.3462395484089707e-21,1.2436185311516047e-30,6.831879567955345e-32,6.2166744784096904e-15,4.1253546646256053e-34,3.9135260180071461e-05,1.8877916158930187e-06,2.6924863290824705e-11,1.8642842290604205e-15,2.8510414265534809e-09,8.5209303221143286e-14,7.0636978266281399e-10,1.6927270893773843e-12,1.6008036379748239e-17,1.1536760455928902e-14
9.999999999999999e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33752543422091957,0.11862977864967342,0.022820598353882036,0.0,3.6191442060495789e-16,2.0518062458986735e-15,2.1522508389118394e-15,7.4869993610156476e-22,7.2129736791543486e-40,1.0191161160237929e-11,6.9630346831533585e-45,1.0162528924573048e-11,1.5850017001935754e-31,4.6323456269346128e-21,1.423764992090996e-30,7.8026621566549574e-32,6.6236918738095204e-15,4.4878866627263066e-34,4.0186616777551779e-05,1.9386765692321241e-06,2.6936064330704077e-11,1.8650597747991876e-15,2.9306589148714414e-09,8.5275794981975056e-14,7.2628533193676923e-10,1.7536531200394628e-12,1.6596691675913191e-17,1.2465373817878729e-14
1.0224998892512814e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33752448955140668,0.11862887766173529,0.022820576547112406,0.0,3.8214860354483489e-16,2.1244614200482258e-15,2.3500945038452696e-15,7.6679314274791729e-22,8.2619761036531349e-40,1.0420423933711407e-11,7.6364023563377283e-45,1.0391050358791028e-11,1.6614189074629698e-31,4.8857467811371899e-21,1.5942414985665326e-30,8.7189118092767215e-32,6.9840414095599051e-15,4.8150838554162639e-34,4.108758739950969e-05,1.9822900544744903e-06,2.6945664640905276e-11,1.8657244880425034e-15,2.9989253027753252e-09,8.5333484203139021e-14,7.4336155847580922e-10,1.8062616662775133e-12,1.7105043622966287e-17,1.3297878236241644e-14
1.0712507801092393e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375224432063893,0.11862692596142595,0.022820529298505945,0.0,4.2813445111057786e-16,2.2863812152836346e-15,2.8242436092329725e-15,8.0604599696220978e-22,1.097588731955958e-39,1.0917162723463419e-11,9.2622458662848911e-45,1.0886171454262559e-11,1.8332314403958933e-31,5.4609716705058448e-21,2.0197315072758668e-30,1.0996821709583992e-31,7.8015689251503566e-15,5.5779955785570504e-34,4.3039250168895242e-05,2.0767871489235227e-06,2.6966465240019037e-11,1.867164694981807e-15,3.1469208345628287e-09,8.546069666523254e-14,7.803814569933473e-10,1.9214772770663655e-12,1.821854322681401e-17,1.5220249797635594e-14
1.1200016709671971e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33752039752679791,0.11862497492531195,0.022820482050570391,0.0,4.7709478577650237e-16,2.4545530664248814e-15,3.3651222838735754e-15,8.4536761494595424e-22,1.4394661850124482e-39,1.141388955341135e-11,1.113526477334367e-44,1.13812649717729e-11,2.013589741939201e-31,6.0724872290993077e-21,2.5314536444524605e-30,1.3722049784701195e-31,8.6699920808186032e-15,6.4178200812623266e-34,4.4990248714575981e-05,2.1712828995960048e-06,2.6987265056798489e-11,1.8686048477063774e-15,3.2950280194790977e-09,8.559094734582524e-14,8.174294659804325e-10,2.0383700335941896e-12,1.9348492903573233e-17,1.7309348682936981e-14
1.168752561825155e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33751835251240569,0.11862302455316709,0.022820434803305555,0.0,5.2907894077574866e-16,2.6290975798062026e-15,3.9783646303570205e-15,8.8475841847429968e-22,1.8657511630508124e-39,1.1910604427031534e-11,1.3279412265637602e-44,1.1876330929436297e-11,2.2025053332244841e-31,6.7208667614714021e-21,3.1418615157091018e-30,1.6955925975588009e-31,9.5900446259806605e-15,7.3382926239163571e-34,4.69405832628224e-05,2.2657773068460212e-06,2.7008064084863237e-11,1.8700449457745015e-15,3.4432468533575541e-09,8.5724243060140647e-14,8.5450557316553676e-10,2.1569377054275341e-12,2.0494869025256656e-17,1.9570481603099656e-14
1.217503452683113e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33751630816298622,0.11862107484476514,0.022820387556711265,0.0,5.8413635203342144e-16,2.8101356287391608e-15,4.6697781723413402e-15,9.2421882924201726e-22,2.3923265468443863e-39,1.2407307347809452e-11,1.5719764639277235e-44,1.2371369345363863e-11,2.3999898232325599e-31,7.4066842905962283e-21,3.8645457165818712e-30,2.0764824912263362e-31,1.0562459611814336e-14,8.3431535184850933e-34,4.8890254039827634e-05,2.360270371026329e-06,2.7028862341850988e-11,1.871484990407597e-15,3.591577330783175e-09,8.5860590702876879e-14,8.9160976624160851e-10,2.2771792409663668e-12,2.1657661249813591e-17,2.200879391880637e-14
